Frame,Name_Time (Seconds),0_X,0_Y,0_Z,1_X,1_Y,1_Z,2_X,2_Y,2_Z,3_X,3_Y,3_Z,4_X,4_Y,4_Z,5_X,5_Y,5_Z,6_X,6_Y,6_Z
0,0,-54.23008,194.564972,582.96875,-34.910454,108.951706,513.464844,-53.343773,91.063377,497.601379,-39.614037,70.289154,486.928772,-56.299053,50.857449,479.285217,-43.198704,30.841259,472.291748,-59.508015,12.651138,466.589752
1,0.008333,-54.230804,194.563721,582.96106,-34.91433,108.953171,513.463745,-53.34684,91.064468,497.602356,-39.61401,70.288185,486.925934,-56.301674,50.859016,479.278534,-43.201931,30.841614,472.296509,-59.511944,12.647697,466.582397
2,0.016667,-54.230297,194.564957,582.962524,-34.913288,108.951187,513.458008,-53.347595,91.062126,497.606018,-39.615925,70.291214,486.933014,-56.301083,50.858009,479.281219,-43.202499,30.842007,472.294708,-59.511337,12.647787,466.591705
3,0.025,-54.230614,194.564102,582.965576,-34.912033,108.949493,513.460144,-53.34721,91.060959,497.609711,-39.616879,70.28997,486.930115,-56.300926,50.854698,479.266754,-43.202503,30.840322,472.288177,-59.512516,12.645572,466.587341
4,0.033333,-54.228992,194.562378,582.968323,-34.909527,108.951027,513.470093,-53.34375,91.061348,497.610687,-39.615246,70.288979,486.933868,-56.300911,50.857151,479.285034,-43.200226,30.839634,472.296295,-59.512405,12.64756,466.595093
5,0.041667,-54.229507,194.562424,582.964111,-34.912838,108.95018,513.458252,-53.34407,91.065422,497.597748,-39.613644,70.289032,486.919586,-56.302452,50.857841,479.285919,-43.201366,30.83844,472.293243,-59.510803,12.647709,466.585297
6,0.05,-54.231087,194.566315,582.966431,-34.914597,108.96373,513.462402,-53.344547,91.070518,497.603607,-39.615131,70.293114,486.930542,-56.30262,50.857059,479.276581,-43.203701,30.846643,472.294617,-59.511906,12.650318,466.58728
7,0.058333,-54.231037,194.566544,582.966553,-34.914902,108.959572,513.472351,-53.343853,91.067726,497.594604,-39.616322,70.292313,486.915253,-56.303265,50.861538,479.277832,-43.203022,30.840902,472.299683,-59.513977,12.645795,466.576599
8,0.066667,-54.228588,194.563965,582.970947,-34.912163,108.95491,513.463196,-53.342175,91.063751,497.590454,-39.615242,70.292458,486.928528,-56.301453,50.857731,479.270721,-43.20282,30.837973,472.292511,-59.510864,12.643535,466.59082
9,0.075,-54.229622,194.564758,582.973755,-34.911724,108.952934,513.46875,-53.343822,91.064957,497.60733,-39.613338,70.291939,486.935028,-56.301006,50.858356,479.282074,-43.199509,30.841646,472.297028,-59.512321,12.648288,466.590637
10,0.083333,-54.229839,194.563797,582.966248,-34.914219,108.955368,513.472961,-53.347603,91.064468,497.608643,-39.614746,70.290741,486.934204,-56.299358,50.85825,479.281342,-43.200119,30.840782,472.294495,-59.511799,12.648978,466.580048
11,0.091667,-54.232586,194.566605,582.971863,-34.912842,108.955391,513.465759,-53.344894,91.064453,497.601196,-39.614986,70.287659,486.931091,-56.302467,50.858513,479.281677,-43.203793,30.846359,472.298889,-59.513477,12.648126,466.597626
12,0.1,-54.230049,194.563278,582.963196,-34.912514,108.952187,513.45459,-53.346077,91.065735,497.605438,-39.614025,70.28949,486.930695,-56.302174,50.858952,479.276794,-43.202324,30.841669,472.291077,-59.513145,12.652161,466.587494
13,0.108333,-54.230125,194.564926,582.967773,-34.910858,108.950722,513.4552,-53.343536,91.062447,497.604401,-39.614143,70.289345,486.934967,-56.300632,50.860195,479.280823,-43.198799,30.843849,472.29245,-59.509655,12.649133,466.591034
14,0.116667,-54.231224,194.563919,582.963806,-34.913601,108.952103,513.474182,-53.345871,91.061356,497.605438,-39.612656,70.289139,486.92334,-56.300636,50.856304,479.267548,-43.203621,30.842428,472.292297,-59.511848,12.650455,466.585846
15,0.125,-54.231503,194.561127,582.957642,-34.913025,108.949104,513.460632,-53.34589,91.063889,497.603149,-39.615067,70.289749,486.925537,-56.302959,50.85709,479.277649,-43.201485,30.844021,472.285095,-59.51162,12.648591,466.590118
16,0.133333,-54.230164,194.562469,582.965271,-34.912262,108.951103,513.456848,-53.345253,91.062561,497.607513,-39.615181,70.288712,486.927124,-56.300282,50.857002,479.275696,-43.201721,30.837126,472.293945,-59.512802,12.645105,466.587341
17,0.141667,-54.229317,194.561783,582.967163,-34.913815,108.955605,513.481079,-53.346596,91.064346,497.60791,-39.615906,70.290634,486.92627,-56.301807,50.854473,479.281921,-43.20013,30.836445,472.288361,-59.511135,12.645278,466.591858
