Format Version,1.24,Take Name,Take 2025-02-20 06.54.51 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-20 06.54.51.776 下午,Capture Start Frame,11095454,Total Frames in Take,6102,Total Exported Frames,6102,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036,Unlabeled 1037,Unlabeled 1037,Unlabeled 1037,Unlabeled 1038,Unlabeled 1038,Unlabeled 1038,Unlabeled 1039,Unlabeled 1039,Unlabeled 1039,Unlabeled 1041,Unlabeled 1041,Unlabeled 1041,Unlabeled 1043,Unlabeled 1043,Unlabeled 1043,Unlabeled 1044,Unlabeled 1044,Unlabeled 1044,Unlabeled 1045,Unlabeled 1045,Unlabeled 1045,Unlabeled 1046,Unlabeled 1046,Unlabeled 1046,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051,Unlabeled 1052,Unlabeled 1052,Unlabeled 1052,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053,Unlabeled 1055,Unlabeled 1055,Unlabeled 1055,Unlabeled 1056,Unlabeled 1056,Unlabeled 1056,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060
,ID,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,10B36D1BEF7911EF4D75BD014E00259A,"1BC4CF61EF7911EF4D75BD014E00259A","1BC4CF61EF7911EF4D75BD014E00259A","1BC4CF61EF7911EF4D75BD014E00259A","1BC4CF62EF7911EF4D75BD014E00259A","1BC4CF62EF7911EF4D75BD014E00259A","1BC4CF62EF7911EF4D75BD014E00259A","1BC4CF63EF7911EF4D75BD014E00259A","1BC4CF63EF7911EF4D75BD014E00259A","1BC4CF63EF7911EF4D75BD014E00259A","3E5EFFB0DF0EF4E11EF","3E5EFFB0DF0EF4E11EF","3E5EFFB0DF0EF4E11EF","3E6EFFB0DF0EF4E11EF","3E6EFFB0DF0EF4E11EF","3E6EFFB0DF0EF4E11EF","3E7EFFB0DF0EF4E11EF","3E7EFFB0DF0EF4E11EF","3E7EFFB0DF0EF4E11EF","3E9EFFB0DF0EF4E11EF","3E9EFFB0DF0EF4E11EF","3E9EFFB0DF0EF4E11EF","3F3EFFB0DF0EF4E11EF","3F3EFFB0DF0EF4E11EF","3F3EFFB0DF0EF4E11EF","3FAEFFB0DF0EF4E11EF","3FAEFFB0DF0EF4E11EF","3FAEFFB0DF0EF4E11EF","441EFFB0DF0EF4E11EF","441EFFB0DF0EF4E11EF","441EFFB0DF0EF4E11EF","443EFFB0DF0EF4E11EF","443EFFB0DF0EF4E11EF","443EFFB0DF0EF4E11EF","445EFFB0DF0EF4E11EF","445EFFB0DF0EF4E11EF","445EFFB0DF0EF4E11EF","446EFFB0DF0EF4E11EF","446EFFB0DF0EF4E11EF","446EFFB0DF0EF4E11EF","447EFFB0DF0EF4E11EF","447EFFB0DF0EF4E11EF","447EFFB0DF0EF4E11EF","448EFFB0DF0EF4E11EF","448EFFB0DF0EF4E11EF","448EFFB0DF0EF4E11EF","449EFFB0DF0EF4E11EF","449EFFB0DF0EF4E11EF","449EFFB0DF0EF4E11EF","44CEFFB0DF0EF4E11EF","44CEFFB0DF0EF4E11EF","44CEFFB0DF0EF4E11EF","44DEFFB0DF0EF4E11EF","44DEFFB0DF0EF4E11EF","44DEFFB0DF0EF4E11EF","44EEFFB0DF0EF4E11EF","44EEFFB0DF0EF4E11EF","44EEFFB0DF0EF4E11EF","44FEFFB0DF0EF4E11EF","44FEFFB0DF0EF4E11EF","44FEFFB0DF0EF4E11EF","451EFFB0DF0EF4E11EF","451EFFB0DF0EF4E11EF","451EFFB0DF0EF4E11EF","452EFFB0DF0EF4E11EF","452EFFB0DF0EF4E11EF","452EFFB0DF0EF4E11EF","453EFFB0DF0EF4E11EF","453EFFB0DF0EF4E11EF","453EFFB0DF0EF4E11EF","454EFFB0DF0EF4E11EF","454EFFB0DF0EF4E11EF","454EFFB0DF0EF4E11EF","455EFFB0DF0EF4E11EF","455EFFB0DF0EF4E11EF","455EFFB0DF0EF4E11EF","456EFFB0DF0EF4E11EF","456EFFB0DF0EF4E11EF","456EFFB0DF0EF4E11EF"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000124,-0.000146,-0.000194,1.000000,6.378633,117.395554,715.859619,-5.097975,98.900017,709.747559,27.261929,125.930946,719.374329,-3.028033,127.355667,718.456909,-5.092147,98.899872,709.747742,27.260900,125.925529,719.372437,-3.032864,127.361267,718.458496,30.310236,29.412243,649.902771,27.542231,-10.104541,624.671082,25.504658,-49.860600,610.661804,11.649064,-30.139368,616.790405,9.631708,-68.602753,604.819214,13.000918,10.629812,633.765137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.000165,-0.000072,-0.000193,1.000000,6.376627,117.393311,715.857178,-5.100845,98.898262,709.745361,27.260426,125.928459,719.369507,-3.029677,127.353195,718.456787,-5.094482,98.897125,709.745239,27.259590,125.922470,719.367615,-3.035238,127.360359,718.458801,30.309801,29.410006,649.894836,27.549667,-10.115149,624.731934,25.505924,-49.862324,610.652344,11.643299,-30.145636,616.780029,9.631516,-68.610168,604.813049,13.000379,10.626541,633.771118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.000343,-0.000226,-0.000092,1.000000,6.379712,117.395454,715.868591,-5.092145,98.900269,709.746582,27.260702,125.933571,719.390320,-3.029403,127.352509,718.468811,-5.089500,98.896187,709.745483,27.263266,125.930725,719.389587,-3.034653,127.359482,718.470764,30.306267,29.408596,649.882080,27.543198,-10.110997,624.684265,25.506254,-49.863674,610.671387,11.651426,-30.148085,616.790222,9.633472,-68.612091,604.812744,13.005763,10.627528,633.778687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.000711,0.000001,-0.000009,1.000000,6.380296,117.400032,715.868286,-5.091264,98.907455,709.737915,27.261465,125.939041,719.386902,-3.029291,127.353607,718.480103,-5.089851,98.899956,709.734070,27.262398,125.936714,719.383667,-3.032295,127.364441,718.483826,30.311670,29.412695,649.913818,27.554533,-10.112185,624.751282,25.503994,-49.862293,610.655457,11.648571,-30.146568,616.800110,9.632210,-68.609688,604.813477,13.000682,10.633342,633.759766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.000605,-0.000083,-0.000079,1.000000,6.378061,117.398026,715.843079,-5.095056,98.905739,709.714722,27.259832,125.934853,719.363342,-3.030573,127.353462,718.451172,-5.095310,98.897148,709.709839,27.261328,125.932487,719.359009,-3.033306,127.363045,718.449463,30.306499,29.413746,649.898865,27.541245,-10.106633,624.681213,25.502468,-49.857285,610.651001,11.640692,-30.138077,616.756470,9.630744,-68.610970,604.814270,13.003513,10.638083,633.790039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.000194,0.000328,-0.000141,1.000000,6.377483,117.400055,715.863281,-5.102951,98.904167,709.759521,27.263195,125.937180,719.359375,-3.027774,127.358810,718.470947,-5.091875,98.903755,709.760010,27.260492,125.926865,719.356079,-3.036191,127.369583,718.473938,30.310057,29.413282,649.903320,27.553980,-10.103539,624.736694,25.504320,-49.860180,610.669067,11.643489,-30.146381,616.784302,9.631927,-68.618866,604.817505,13.000440,10.633908,633.774475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
