Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,143.403015,17.1943566,420.3883180000001,126.54216319999998,-0.6442624,402.460382,138.46262819999998,-24.712054000000002,398.5041688,120.94265600000001,-42.7169946,389.5782592,131.7205352,-64.99307719999999,389.1454894,114.4073748,-81.3085706,381.7026488,105.66665640000001,-5.3936012,420.20824600000003,100.3099884,-42.0537016,408.262378,92.8344696,-80.33013,402.44840099999993
1,0.03333333333333333,143.401474,17.199303,420.3875123333333,126.54146066666665,-0.6369703333333333,402.45573933333327,138.46235166666668,-24.708420666666665,398.4945473333333,120.94095333333333,-42.720502333333336,389.5728453333333,131.718577,-65.00404099999999,389.1453246666667,114.40284966666667,-81.32329800000001,381.709137,105.66782599999999,-5.389847666666667,420.2072853333334,100.30974099999999,-42.053832,408.2527973333333,92.83138266666667,-80.33691166666667,402.4529826666667
2,0.06666666666666667,143.40242775000002,17.20057975,420.38991525,126.5430835,-0.6332494999999999,402.455971,138.4632455,-24.705173,398.49489575000007,120.9405385,-42.720366500000004,389.57075525,131.715721,-65.00675225,389.14396700000003,114.39754125,-81.32538225,381.71395125,105.66736225,-5.388446,420.2015075,100.30806150000001,-42.051494500000004,408.2494125,92.829958,-80.335926,402.4661785
3,0.1,143.40081800000002,17.192004599999997,420.38025500000003,126.5412398,-0.6476957999999999,402.4587954,138.45987240000002,-24.7162666,398.5002564,120.9395628,-42.7229378,389.5814514,131.717407,-64.99879,389.1502564,114.40203100000001,-81.31470340000001,381.71077879999996,105.66573639999999,-5.3943214,420.20750100000004,100.307744,-42.057482199999995,408.2636842,92.8301376,-80.33495020000001,402.4569944
4,0.13333333333333333,143.40138233333332,17.198676666666668,420.38549800000004,126.540545,-0.6379373333333334,402.4520466666667,138.46029666666666,-24.708933000000002,398.49485266666665,120.93822733333333,-42.72488033333334,389.57548033333336,131.71530166666668,-65.01127366666667,389.1503396666667,114.39795933333333,-81.33047233333333,381.72000133333336,105.66589866666668,-5.390709666666666,420.20141600000005,100.30907466666667,-42.05482733333333,408.2571513333333,92.82821166666668,-80.34017433333334,402.468384
5,0.16666666666666666,143.400013,17.198472000000002,420.37899025,126.54251675,-0.639452,402.4555742499999,138.46177275,-24.711042499999998,398.49679574999993,120.93922225,-42.7261515,389.57731624999997,131.7147905,-65.0101415,389.15103925,114.397501,-81.32969875,381.7192385,105.667118,-5.3904725,420.20523825,100.30836475000001,-42.055807,408.25802625,92.82768825,-80.33882925,402.46907025
6,0.2,143.4010774,17.191967999999996,420.381146,126.5402666,-0.648505,402.45622560000004,138.45948800000002,-24.7177508,398.5028932,120.9390534,-42.7247704,389.5823426,131.71758419999998,-65.00250700000001,389.1542848,114.40343,-81.3193224,381.7173342,105.665808,-5.3954392,420.20973520000007,100.30629560000001,-42.0593298,408.2618774,92.8301758,-80.3391616,402.46181020000006
7,0.23333333333333334,143.40086866666664,17.199589,420.38343299999997,126.54166399999998,-0.6389166666666667,402.4562276666666,138.460958,-24.710852666666668,398.4958903333333,120.93850200000001,-42.72538766666667,389.5771486666667,131.71438633333335,-65.01098900000001,389.150584,114.39691166666667,-81.329122,381.71925833333336,105.66647599999999,-5.391236666666667,420.20692966666667,100.30744466666665,-42.05761566666666,408.25844333333333,92.82793966666668,-80.340627,402.46958433333333
8,0.26666666666666666,143.40018824999999,17.197658500000003,420.38128675,126.54120449999999,-0.6382782499999999,402.45578774999996,138.46119325,-24.71079175,398.49933625000006,120.93823225,-42.723611,389.57578275000003,131.71540075,-65.006933,389.15084075,114.39784424999999,-81.3257885,381.718155,105.66551775,-5.390675,420.20531475,100.30610449999999,-42.056114,408.25231149999996,92.82698075,-80.33972175,402.46776575
9,0.3,143.39924019999998,17.193795,420.3813598,126.5403856,-0.6463783999999999,402.4584106,138.4601046,-24.714661,398.5028564,120.9383364,-42.72187520000001,389.5783202,131.71683360000003,-64.99822979999999,389.1489502,114.40170579999999,-81.315309,381.71044900000004,105.6644714,-5.393871800000001,420.2066406,100.3062088,-42.0570082,408.2596922,92.830124,-80.3359298,402.45723280000004
10,0.3333333333333333,143.400253,17.19970533333333,420.3797403333333,126.54199733333333,-0.637281,402.4598696666667,138.46037266666664,-24.708893333333332,398.492513,120.938634,-42.72123200000001,389.570587,131.7154846666667,-65.00620500000001,389.1437376666667,114.399208,-81.325348,381.71279899999996,105.66633866666666,-5.390433666666667,420.202403,100.308403,-42.05429966666667,408.2540183333333,92.82879866666667,-80.33890000000001,402.46034733333335
11,0.36666666666666664,143.39860149999998,17.198856250000002,420.3816985,126.54182225,-0.63630725,402.45790875,138.46213525000002,-24.70785625,398.497818,120.9393885,-42.72108575,389.5718385,131.71747975,-65.003664,389.1481855,114.40084075,-81.32278075,381.71405775,105.66662025,-5.390065,420.20560450000005,100.30825625,-42.0547485,408.25549325,92.82901199999999,-80.336321,402.4607545
12,0.4,143.3990754,17.1937602,420.38059080000005,126.5405808,-0.6435034,402.4596312,138.4609346,-24.711936199999997,398.503406,120.9396348,-42.7183494,389.5788332,131.7183534,-64.995801,389.14843779999995,114.40350040000001,-81.312259,381.7060854,105.6651444,-5.3937758,420.20986919999996,100.3063506,-42.053637800000004,408.2569032,92.8320252,-80.33381360000001,402.4548036
