Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,143.4035035,17.195872,420.3901065,126.54274,-0.6408210000000001,402.46376050000003,138.462006,-24.7095475,398.5018925,120.942665,-42.7150745,389.577362,131.719528,-64.9923135,389.1453855,114.406071,-81.30907049999999,381.70243800000003,105.6677665,-5.3910605,420.20727550000004,100.3104975,-42.0515365,408.2617645,92.8330155,-80.32855599999999,402.44863899999996
2,0.016666666666666666,143.403854,17.193588,420.391876,126.543221,-0.646419,402.462036,138.461899,-24.714424,398.505859,120.943367,-42.718483,389.582794,131.722763,-64.990303,389.14624,114.409142,-81.304321,381.703827,105.667076,-5.394674,420.209656,100.309303,-42.05336,408.264069,92.836136,-80.328781,402.448853
3,0.025,143.402107,17.1932255,420.3847505,126.5410575,-0.6466255000000001,402.45617649999997,138.463615,-24.7133755,398.50559999999996,120.9422915,-42.7181705,389.576889,131.7204285,-64.995228,389.145218,114.407795,-81.31019549999999,381.7022705,105.6653365,-5.3956055,420.2085115,100.309822,-42.0560375,408.26214600000003,92.8350905,-80.3323785,402.447937
5,0.041666666666666664,143.403839,17.194757,420.389679,126.540703,-0.641657,402.453735,138.460327,-24.711727,398.496185,120.941383,-42.719627,389.574249,131.719284,-64.999062,389.144409,114.404602,-81.318321,381.702698,105.668922,-5.392891,420.213043,100.307602,-42.053997,408.251312,92.832092,-80.334511,402.444122
6,0.05,143.4002915,17.201576,420.386429,126.5418395,-0.634627,402.4567415,138.463364,-24.7067675,398.4937285,120.94073850000001,-42.72094,389.5721435,131.7182235,-65.0065305,389.1457825,114.4019735,-81.32578649999999,381.7123565,105.66727800000001,-5.388326,420.2044065,100.3108105,-42.053749499999995,408.25354,92.831028,-80.338112,402.457413
8,0.06666666666666667,143.402634,17.203773,420.386688,126.542496,-0.629693,402.454987,138.462601,-24.702026,398.493713,120.939377,-42.719128,389.561554,131.715118,-65.009476,389.139008,114.396576,-81.328087,381.71521,105.66877,-5.387025,420.203522,100.30867,-42.050926,408.246796,92.830833,-80.338142,402.470428
9,0.075,143.4018555,17.2005535,420.389694,126.54413249999999,-0.6318485,402.45651250000003,138.464783,-24.7052745,398.49325550000003,120.941418,-42.7220095,389.5727695,131.715393,-65.006798,389.1439365,114.3978235,-81.326782,381.7152865,105.66704200000001,-5.388565,420.20043899999996,100.307766,-42.0518625,408.2464445,92.82976550000001,-80.3355295,402.4656825
11,0.09166666666666666,143.403366,17.197439,420.393585,126.541573,-0.639608,402.455872,138.460815,-24.708117,398.499359,120.939941,-42.718319,389.575928,131.71698,-65.003937,389.148987,114.397942,-81.319878,381.710022,105.666595,-5.389629,420.20163,100.308044,-42.051327,408.257965,92.829468,-80.334503,402.462921
12,0.1,143.4019625,17.191924999999998,420.3820495,126.541275,-0.645735,402.45878600000003,138.46027400000003,-24.713337000000003,398.503311,120.939964,-42.720470500000005,389.5808105,131.7178725,-64.9981995,389.15152,114.4021915,-81.31398,381.709259,105.6670075,-5.3935759999999995,420.208847,100.3075295,-42.0549165,408.260605,92.82998649999999,-80.333393,402.4572445
14,0.11666666666666667,143.400314,17.192083,420.380951,126.541969,-0.64938,402.458405,138.457626,-24.717806,398.49231,120.938812,-42.723507,389.57962,131.718475,-64.997467,389.150269,114.402649,-81.311272,381.711853,105.665955,-5.394628,420.207458,100.306725,-42.059029,408.265076,92.830124,-80.333008,402.451569
15,0.125,143.3999255,17.192045,420.37811250000004,126.54084,-0.6488145000000001,402.45899999999995,138.46059400000001,-24.7184265,398.501175,120.939537,-42.7251205,389.583008,131.7164075,-65.00004200000001,389.1489865,114.4015615,-81.3171425,381.71176149999997,105.664356,-5.3949134999999995,420.20617649999997,100.308468,-42.0592745,408.26606749999996,92.8302955,-80.3374785,402.459457
17,0.14166666666666666,143.400436,17.196873,420.385468,126.539108,-0.642391,402.448486,138.459213,-24.711533,398.495209,120.93866,-42.724472,389.575592,131.715652,-65.007957,389.147827,114.40036,-81.326752,381.71814,105.665367,-5.39231,420.200928,100.307961,-42.055538,408.256378,92.8293,-80.33905,402.466492
18,0.15,143.4018555,17.1995785,420.385513,126.5412635,-0.6357105000000001,402.45382700000005,138.4608385,-24.707633,398.4946745,120.938011,-42.7250845,389.5754245,131.7151265,-65.012932,389.151596,114.396759,-81.3323325,381.720932,105.66616450000001,-5.3899095,420.20165999999995,100.3096315,-42.054472000000004,408.257538,92.82766749999999,-80.34073649999999,402.46933
20,0.16666666666666666,143.40181,17.201847,420.386047,126.543182,-0.635431,402.454865,138.462814,-24.708719,398.495148,120.93898,-42.726589,389.576172,131.713364,-65.012451,389.149445,114.395287,-81.334427,381.724152,105.668327,-5.389729,420.205719,100.310623,-42.053379,408.256805,92.826355,-80.339867,402.476532
21,0.175,143.3997115,17.198744,420.37744150000003,126.54274000000001,-0.639588,402.45474249999995,138.462135,-24.711344,398.49823,120.93928149999999,-42.7270775,389.5762785,131.71426400000001,-65.0104525,389.149002,114.3970295,-81.3308755,381.7189945,105.6664315,-5.3903865,420.20262149999996,100.3079185,-42.0565605,408.25622599999997,92.8270455,-80.339062,402.4669035
23,0.19166666666666665,143.398819,17.194553,420.375031,126.541405,-0.643201,402.457947,138.460007,-24.712763,398.495575,120.939346,-42.723862,389.580536,131.71727,-65.00721,389.156708,114.400658,-81.322617,381.714813,105.667282,-5.391388,420.209991,100.306999,-42.056728,408.262848,92.830307,-80.337326,402.465942
24,0.2,143.40109999999999,17.1918005,420.382309,126.54155750000001,-0.648772,402.45842000000005,138.459633,-24.717466,398.5037535,120.9397355,-42.7234265,389.583023,131.71797199999997,-65.0012395,389.154633,114.404346,-81.3164865,381.7190095,105.666958,-5.3948085,420.2148895,100.306839,-42.0575025,408.26342750000003,92.83046,-80.3380315,402.4613645
26,0.21666666666666667,143.401703,17.191391,420.379028,126.540024,-0.649918,402.455566,138.458893,-24.719273,398.503693,120.939476,-42.725388,389.584717,131.717743,-65.001755,389.154694,114.404266,-81.317276,381.715546,105.664085,-5.397243,420.208344,100.305847,-42.058918,408.264191,92.832359,-80.338936,402.463562
27,0.225,143.400742,17.192424000000003,420.381042,126.539097,-0.6475315,402.454361,138.45964049999998,-24.717274500000002,398.50163299999997,120.93816000000001,-42.7258055,389.580475,131.717117,-65.0041505,389.153732,114.402096,-81.3231815,381.716553,105.6655195,-5.395168,420.20527649999997,100.3059765,-42.061363,408.2591705,92.8288,-80.3404045,402.46137999999996
29,0.24166666666666667,143.399658,17.196892,420.379486,126.542732,-0.642389,402.459778,138.461914,-24.714088,398.500519,120.937424,-42.723934,389.57489,131.714951,-65.006676,389.150513,114.397705,-81.326195,381.715454,105.666595,-5.393586,420.212311,100.308701,-42.058792,408.261017,92.829659,-80.341835,402.472809
30,0.25,143.401474,17.200937500000002,420.3854065,126.54113,-0.6371804999999999,402.4544525,138.46048,-24.709235,398.49357599999996,120.939041,-42.7261145,389.578278,131.71410400000002,-65.01314550000001,389.1506195,114.396515,-81.3305855,381.7211605,105.6664165,-5.390062,420.20423900000003,100.3068165,-42.0570275,408.2571565,92.82708,-80.340023,402.46797200000003
32,0.26666666666666666,143.402252,17.201157,420.386475,126.540497,-0.633331,402.453308,138.462906,-24.709223,398.499542,120.938293,-42.726566,389.575592,131.71405,-65.009384,389.15329,114.395973,-81.329994,381.722198,105.666992,-5.388802,420.203705,100.306267,-42.055187,408.251556,92.826073,-80.340858,402.469421
33,0.275,143.398735,17.198310499999998,420.377289,126.541561,-0.6387455,402.4534,138.46042649999998,-24.709634,398.497406,120.938591,-42.723427,389.57547,131.71636999999998,-65.00852950000001,389.1515805,114.39755650000001,-81.3265495,381.7175755,105.6655235,-5.390312,420.205765,100.30652599999999,-42.055043999999995,408.25138849999996,92.826954,-80.3396915,402.46664450000003
35,0.2916666666666667,143.401031,17.192856,420.384094,126.541199,-0.642291,402.463043,138.461014,-24.714676,398.502991,120.937454,-42.721024,389.576599,131.714813,-65.001289,389.146912,114.400291,-81.320061,381.715271,105.664032,-5.393274,420.206024,100.305099,-42.059181,408.254913,92.827942,-80.338646,402.468353
36,0.3,143.3995055,17.1933005,420.38250700000003,126.539841,-0.647127,402.45961,138.460228,-24.714959,398.504059,120.9386525,-42.721737000000005,389.58049,131.716431,-64.997501,389.148468,114.4020195,-81.314514,381.709747,105.66451649999999,-5.3944115,420.2070615,100.30498499999999,-42.055934500000006,408.25798050000003,92.82991050000001,-80.335991,402.4583435
38,0.31666666666666665,143.399155,17.194555,420.378784,126.54126,-0.647019,402.461456,138.459229,-24.716837,398.504883,120.937172,-42.72184,389.578033,131.717438,-64.995605,389.147675,114.401756,-81.312164,381.708405,105.665092,-5.392534,420.207367,100.308128,-42.05888,408.269073,92.830856,-80.334213,402.452057
39,0.325,143.3990175,17.1939095,420.3815005,126.540493,-0.6453095,402.4556885,138.460419,-24.713275000000003,398.50064050000003,120.9386025,-42.722031,389.576294,131.716934,-65.000271,389.15007,114.401367,-81.3176765,381.712173,105.664116,-5.394000999999999,420.2058565,100.306473,-42.057146,408.25671350000005,92.8299715,-80.336727,402.45871
41,0.3416666666666667,143.398788,17.197369,420.376129,126.541122,-0.642091,402.458191,138.460571,-24.710365,398.494598,120.938484,-42.721512,389.571655,131.715607,-65.005035,389.145752,114.400642,-81.322868,381.711731,105.665695,-5.393056,420.201355,100.307419,-42.053856,408.255402,92.828781,-80.339218,402.4617
42,0.35,143.4009855,17.2008735,420.38154599999996,126.542435,-0.634876,402.460709,138.4602735,-24.7081575,398.4914705,120.93870899999999,-42.721092,389.57005300000003,131.71542349999999,-65.00679,389.14273049999997,114.398491,-81.326588,381.71333300000003,105.6666605,-5.3891225,420.20292700000005,100.308895,-42.0545215,408.2533265,92.82880750000001,-80.338741,402.45967099999996
44,0.36666666666666664,143.398056,17.200838,420.382965,126.541,-0.631935,402.454407,138.461929,-24.705906,398.493103,120.939171,-42.722378,389.569977,131.71582,-65.007278,389.143829,114.400177,-81.328133,381.721893,105.665848,-5.389705,420.200775,100.30822,-42.054882,408.256348,92.826752,-80.335907,402.460632
45,0.375,143.39814,17.1990135,420.3813475,126.54209900000001,-0.6364205000000001,402.45651250000003,138.4623335,-24.7084055,398.497299,120.939442,-42.721655,389.57048050000003,131.718071,-65.0035325,389.1493375,114.399742,-81.3226245,381.710083,105.667244,-5.389305,420.20779400000004,100.307846,-42.055296,408.2542725,92.829422,-80.337395,402.46196
47,0.39166666666666666,143.40007,17.19656,420.381134,126.542091,-0.640453,402.464203,138.461945,-24.708708,398.503571,120.939499,-42.718655,389.576416,131.717957,-65.000313,389.150238,114.403702,-81.317741,381.714172,105.666145,-5.391945,420.206055,100.309113,-42.05352,408.25708,92.830452,-80.334587,402.458466
48,0.4,143.3990175,17.1944435,420.3834685,126.54048900000001,-0.6422705,402.458801,138.4611055,-24.7103015,398.5036165,120.93960200000001,-42.716956999999994,389.578171,131.718277,-64.995533,389.1481785,114.40324799999999,-81.310627,381.706284,105.6656875,-5.393765500000001,420.210632,100.306259,-42.0518685,408.255646,92.8318635,-80.3331835,402.45300299999997
