Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,58.245273999999995,25.2824185,437.37486249999995,46.9698505,10.664570000000001,415.568985,61.701328000000004,-11.0402015,411.634506,48.486378,-28.132584,395.734436,61.004152500000004,-50.321512,394.54754649999995,47.171171,-66.17950400000001,380.9728545,22.914842,2.258238,427.12145999999996,23.924571999999998,-31.736264499999997,408.736664,21.187168999999997,-69.163605,395.9711
2,0.016666666666666666,58.23716,25.280746,437.361359,46.939075,10.657349,415.56604,61.672428,-11.041211,411.613403,48.440285,-28.164387,395.737885,60.965851,-50.374428,394.541595,47.115154,-66.272194,381.004974,22.896698,2.244194,427.123322,23.903572,-31.762638,408.77478,21.159691,-69.22644,396.0672
3,0.025,58.233943999999994,25.295525499999997,437.35968,46.930980500000004,10.6578135,415.554596,61.6604275,-11.047517,411.60427849999996,48.408079,-28.181928,395.724701,60.9369965,-50.372361999999995,394.544159,47.075884,-66.26726550000001,381.012833,22.896082999999997,2.2429275000000004,427.1281285,23.888645500000003,-31.7828285,408.792664,21.139633500000002,-69.241772,396.1124115
5,0.041666666666666664,58.23539,25.301735,437.359711,46.936909,10.656446,415.551392,61.661377,-11.062947,411.602234,48.393974,-28.196831,395.729645,60.924065,-50.330379,394.556183,47.06266,-66.208214,381.004791,22.898769,2.244133,427.120605,23.878511,-31.785395,408.806,21.135948,-69.227928,396.105164
6,0.05,58.238746500000005,25.284937,437.3624575,46.937088,10.632488,415.55679299999997,61.655096,-11.078828999999999,411.618042,48.394146,-28.1789395,395.753784,60.933222,-50.276295,394.566391,47.0868565,-66.1306415,380.9796145,22.8943255,2.2351330000000003,427.130829,23.8723615,-31.785123499999997,408.818695,21.151801,-69.19761299999999,396.0640105
8,0.06666666666666667,58.237629,25.257921,437.352325,46.923874,10.592465,415.561005,61.648174,-11.08151,411.648438,48.393467,-28.14192,395.762573,60.951691,-50.220631,394.570618,47.12579,-66.071304,380.957153,22.882893,2.214556,427.145844,23.870296,-31.782534,408.826569,21.181738,-69.174789,396.009705
9,0.075,58.236549499999995,25.238059999999997,437.34213250000005,46.9169385,10.5737395,415.561874,61.6425915,-11.0766375,411.65863,48.399887,-28.119746,395.78891,60.971773,-50.1805135,394.5589145,47.168791,-66.033249,380.94125399999996,22.875971,2.1908345000000002,427.1529845,23.878436,-31.791939,408.833191,21.2234445,-69.174473,395.9925845
11,0.09166666666666666,58.232323,25.244011,437.342529,46.905308,10.571996,415.558136,61.642872,-11.064763,411.663635,48.40633,-28.106358,395.794098,60.997135,-50.148998,394.561127,47.211502,-66.000198,380.939514,22.872995,2.180392,427.15741,23.885555,-31.798187,408.84082,21.270964,-69.176697,396.005981
12,0.1,58.231428,25.263376,437.3514095,46.9107975,10.5921,415.55990599999996,61.6499785,-11.060934499999998,411.6450655,48.418604,-28.112773,395.7842105,61.0154495,-50.1319905,394.5634915,47.248093,-65.9852185,380.9585575,22.88064,2.1889645,427.153946,23.896347499999997,-31.800413,408.8275605,21.2961745,-69.1722335,395.9951325
14,0.11666666666666667,58.233021,25.277561,437.357849,46.924828,10.606184,415.560059,61.664516,-11.056997,411.644958,48.439571,-28.119787,395.78421,61.02795,-50.143566,394.561798,47.263454,-65.990822,380.965942,22.892443,2.200578,427.138123,23.909945,-31.792719,408.822815,21.302576,-69.167854,395.993988
