Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,79.4592935,14.041812,432.4081265,65.99987,-4.288425,411.93631000000005,79.0423505,-28.0690325,410.00621049999995,63.4218085,-46.6085035,398.4658355,74.66906399999999,-68.67922250000001,399.803635,58.936199,-85.510403,390.00901799999997,42.6565055,-9.5857915,426.36821,40.1226465,-46.3097285,413.919037,34.377796000000004,-84.88224,407.467163
2,0.016666666666666666,79.45829,14.040456,432.411255,65.999695,-4.288653,411.942017,79.042618,-28.066607,410.009888,63.424969,-46.60778,398.475861,74.668068,-68.679703,399.79657,58.936035,-85.514145,390.008484,42.65575,-9.584764,426.365692,40.120937,-46.308983,413.91275,34.378185,-84.881104,407.456787
3,0.025,79.45817199999999,14.041348,432.409607,66.0000915,-4.286262499999999,411.941376,79.04368600000001,-28.067754,410.01185599999997,63.4228915,-46.605718499999995,398.4649965,74.66697350000001,-68.681423,399.7990115,58.936223999999996,-85.5147095,390.005829,42.65574650000001,-9.5850075,426.3704985,40.122513,-46.309591,413.9159085,34.378292,-84.88396850000001,407.46478249999996
5,0.041666666666666664,79.45871,14.042624,432.403534,65.99955,-4.284807,411.94342,79.043861,-28.067688,410.008911,63.423908,-46.606934,398.47052,74.667877,-68.681229,399.80011,58.937103,-85.510811,390.006775,42.656048,-9.583599,426.371948,40.120972,-46.306679,413.911346,34.379494,-84.881172,407.465332
6,0.05,79.457813,14.043314,432.4039765,65.999729,-4.2871950000000005,411.939758,79.0432705,-28.0683925,410.007477,63.4240075,-46.6058765,398.47323600000004,74.669426,-68.6786385,399.8033145,58.936493,-85.5088995,390.0061035,42.65596,-9.584509,426.368149,40.121530500000006,-46.309852500000005,413.918732,34.379155999999995,-84.881294,407.466492
8,0.06666666666666667,79.457367,14.041903,432.404785,66.000313,-4.29003,411.940674,79.041206,-28.067574,410.01001,63.423977,-46.605991,398.46994,74.670113,-68.678055,399.806061,58.936207,-85.509026,390.003204,42.656319,-9.585517,426.371368,40.120766,-46.309135,413.915131,34.380005,-84.882477,407.463318
9,0.075,79.45870199999999,14.0389,432.4062195,65.998863,-4.288858,411.939148,79.04230899999999,-28.067275000000002,410.00991799999997,63.424446,-46.6048715,398.474762,74.6696435,-68.679424,399.8072815,58.9371985,-85.50856,390.0074615,42.6560075,-9.584718500000001,426.369995,40.120201,-46.309809,413.91517650000003,34.3796485,-84.8834,407.4659115
11,0.09166666666666666,79.458115,14.043233,432.404907,65.999336,-4.289399,411.934174,79.042023,-28.068806,410.008209,63.423275,-46.606186,398.470978,74.668175,-68.679108,399.801819,58.936954,-85.509499,390.007172,42.657383,-9.586492,426.371765,40.120865,-46.308949,413.919434,34.37785,-84.879036,407.45752
12,0.1,79.458057,14.0412035,432.408768,66.00070600000001,-4.287006,411.942459,79.044277,-28.06783,410.010376,63.422169,-46.6049935,398.46054100000003,74.669613,-68.6772805,399.801178,58.936089,-85.508812,390.0054625,42.656799,-9.5842665,426.36532550000004,40.1210215,-46.3109435,413.90826400000003,34.378504,-84.8810765,407.4613495
14,0.11666666666666667,79.45787,14.040426,432.409088,66.001419,-4.287344,411.93811,79.042381,-28.066313,410.008972,63.423439,-46.607098,398.468781,74.669846,-68.679649,399.800842,58.936298,-85.511314,390.007874,42.659184,-9.585594,426.370178,40.12146,-46.311234,413.915741,34.37896,-84.880821,407.456909
15,0.125,79.45773299999999,14.04256,432.410004,65.9991645,-4.2872275,411.938034,79.04273950000001,-28.0666645,410.0099945,63.424192500000004,-46.6067355,398.469513,74.669441,-68.67993949999999,399.80171199999995,58.9367465,-85.51258849999999,390.00647000000004,42.6557825,-9.58402,426.3729555,40.122257,-46.3088245,413.912323,34.3784195,-84.88183599999999,407.460709
17,0.14166666666666666,79.459061,14.043793,432.412598,66.000229,-4.286438,411.935791,79.040848,-28.066214,410.007233,63.42382,-46.60429,398.467072,74.669189,-68.679718,399.795837,58.937611,-85.511017,390.008698,42.656284,-9.58341,426.369354,40.121342,-46.310684,413.90976,34.379559,-84.880989,407.456818
18,0.15,79.458164,14.0410295,432.40625,65.99905000000001,-4.289179000000001,411.9391325,79.0421145,-28.067482,410.007828,63.424616,-46.6056745,398.473114,74.6704445,-68.678722,399.80418399999996,58.935652,-85.5088425,390.0016785,42.65592,-9.584513,426.369141,40.121519,-46.3090935,413.915924,34.379008999999996,-84.880867,407.4552615
20,0.16666666666666666,79.457329,14.040647,432.404175,66.000359,-4.288909,411.942078,79.04277,-28.068556,410.012207,63.422688,-46.60685,398.471161,74.666153,-68.677055,399.799683,58.937092,-85.508408,390.006744,42.654758,-9.584271,426.365936,40.120476,-46.311142,413.915039,34.37859,-84.879738,407.457062
21,0.175,79.4589275,14.040713,432.411026,65.9997865,-4.2874859999999995,411.94009400000004,79.0421485,-28.067296,410.0102385,63.4234065,-46.6042235,398.4730985,74.6688575,-68.67649850000001,399.80145300000004,58.936155,-85.507061,390.00291400000003,42.656853,-9.585626999999999,426.3739775,40.1201535,-46.310075999999995,413.91645800000003,34.378147,-84.879719,407.458023
23,0.19166666666666665,79.460373,14.04246,432.410553,66.002411,-4.28754,411.943054,79.043022,-28.066601,410.007233,63.42244,-46.606586,398.468567,74.667587,-68.67791,399.799744,58.937263,-85.506737,390.007935,42.655674,-9.583149,426.362091,40.121437,-46.310192,413.916199,34.378471,-84.880592,407.457886
24,0.2,79.4589885,14.0442785,432.407562,65.999737,-4.2878425,411.9395145,79.043804,-28.065716000000002,410.009323,63.424187,-46.605085,398.47184749999997,74.669403,-68.678715,399.8032075,58.936350000000004,-85.5083735,390.0051575,42.6573445,-9.582819,426.36750800000004,40.122101,-46.307327,413.91355899999996,34.378829499999995,-84.8813705,407.4607545
26,0.21666666666666667,79.458809,14.045023,432.40979,66.000824,-4.286664,411.942657,79.044304,-28.064142,410.007812,63.423492,-46.604023,398.46402,74.668816,-68.67881,399.799988,58.937702,-85.510635,390.010651,42.656876,-9.582588,426.366058,40.121593,-46.307743,413.915161,34.377644,-84.880463,407.45813
27,0.225,79.4577025,14.0400645,432.403748,66.001106,-4.288082,411.9418185,79.0442655,-28.069338000000002,410.00959750000004,63.425831,-46.6075055,398.470993,74.671177,-68.680134,399.80455,58.939228,-85.51363,390.0080565,42.657033999999996,-9.5865865,426.369858,40.12360150000001,-46.311251,413.9127655,34.379499499999994,-84.883251,407.46196
29,0.24166666666666667,79.458435,14.040647,432.401001,66.000397,-4.286221,411.935883,79.043808,-28.068115,410.00705,63.425579,-46.605942,398.471985,74.670265,-68.678825,399.804749,58.937923,-85.50985,390.005615,42.65414,-9.584398,426.36441,40.121853,-46.309265,413.914368,34.379562,-84.883224,407.462494
30,0.25,79.46044950000001,14.043108,432.407547,66.0016025,-4.288136,411.939667,79.04359099999999,-28.0678785,410.00755300000003,63.425478,-46.606628,398.4732515,74.6721005,-68.6778755,399.808853,58.938955,-85.508545,390.0060425,42.65806,-9.5837845,426.364868,40.123812,-46.3079605,413.9150085,34.380156,-84.879875,407.4593505
32,0.26666666666666666,79.458527,14.044754,432.408051,65.999657,-4.287239,411.942627,79.041939,-28.067743,410.01236,63.422604,-46.604198,398.468903,74.670479,-68.680923,399.81131,58.938869,-85.511726,390.012573,42.656425,-9.583449,426.374756,40.119991,-46.308289,413.910461,34.378216,-84.882355,407.462952
33,0.275,79.4589615,14.0401305,432.4045105,66.001255,-4.291671,411.941452,79.043045,-28.0720445,410.0108645,63.42309,-46.608961,398.4715725,74.6695595,-68.6821555,399.80607599999996,58.937351500000005,-85.5128135,390.006073,42.6570495,-9.588362499999999,426.364624,40.12136649999999,-46.3122195,413.9133455,34.378006,-84.883434,407.4604645
35,0.2916666666666667,79.461349,14.04061,432.415161,66.001663,-4.288707,411.938019,79.044769,-28.070631,410.006561,63.424492,-46.609703,398.466125,74.671448,-68.680443,399.810486,58.936497,-85.512161,390.005646,42.658852,-9.586755,426.365173,40.122574,-46.311798,413.916138,34.379528,-84.884575,407.469238
36,0.3,79.4583245,14.0439425,432.4039305,65.99995799999999,-4.2877445,411.9412385,79.0427205,-28.066617,410.008194,63.423235000000005,-46.605379,398.4680785,74.6667405,-68.6801835,399.8020175,58.934902,-85.510681,390.00521849999996,42.6563205,-9.583831,426.364853,40.120718,-46.3094615,413.916748,34.3768975,-84.88006200000001,407.4578855
38,0.31666666666666665,79.456612,14.043661,432.405334,66.000137,-4.287149,411.936981,79.041878,-28.066925,410.01062,63.423977,-46.607506,398.469818,74.669357,-68.680817,399.807465,58.935009,-85.512665,390.006439,42.656807,-9.586538,426.372162,40.120266,-46.309708,413.912323,34.375969,-84.878288,407.453888
39,0.325,79.458691,14.0391515,432.4036105,66.0010605,-4.2907364999999995,411.939209,79.044876,-28.0713035,410.0126495,63.424403999999996,-46.610115,398.4693755,74.668396,-68.682537,399.80001849999996,58.9364755,-85.513035,390.0035855,42.656960999999995,-9.5852355,426.3660585,40.122,-46.3117845,413.91374199999996,34.3775995,-84.88296500000001,407.46105950000003
41,0.3416666666666667,79.459221,14.039193,432.404785,66.000046,-4.290307,411.933685,79.04335,-28.072071,410.013123,63.422108,-46.610752,398.468658,74.669228,-68.681969,399.806793,58.935593,-85.511543,390.008301,42.656502,-9.586244,426.369995,40.120419,-46.313526,413.919495,34.375931,-84.881592,407.459686
