Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,61.661201,11.407630000000001,435.8918,49.082468000000006,-6.761242,414.8573455,62.1407125,-30.5491325,413.215454,47.0347195,-48.9385145,400.91778550000004,58.215647,-70.995159,402.42564400000003,42.984001,-87.678562,391.854553,25.171958,-12.139744,428.22430399999996,23.089868000000003,-48.832195,415.53691100000003,17.698008,-87.323433,408.361969
2,0.016666666666666666,61.661957,11.406705,435.883301,49.083462,-6.760091,414.858795,62.139454,-30.551313,413.206848,47.030525,-48.937653,400.906677,58.216015,-70.997238,402.431854,42.983429,-87.679405,391.849609,25.171951,-12.142781,428.227722,23.088818,-48.830746,415.534302,17.699135,-87.325134,408.358734
3,0.025,61.6615695,11.407292,435.88725250000005,49.082796,-6.759557,414.8564605,62.1397895,-30.548113999999998,413.2069245,47.033556000000004,-48.936479500000004,400.912994,58.2159045,-70.995724,402.428055,42.985637499999996,-87.679501,391.85522449999996,25.1722685,-12.139519,428.221954,23.0909765,-48.83116750000001,415.54127500000004,17.698412,-87.3198395,408.352112
5,0.041666666666666664,61.661461,11.409606,435.889435,49.082909,-6.762434,414.85318,62.141254,-30.549631,413.212494,47.037071,-48.938656,400.92276,58.216663,-70.994591,402.422546,42.985149,-87.67852,391.854309,25.16942,-12.139416,428.220245,23.091978,-48.831066,415.539337,17.69985,-87.324387,408.362427
6,0.05,61.6599445,11.405415999999999,435.88154599999996,49.0812455,-6.762287000000001,414.8556825,62.1411135,-30.549642,413.217987,47.0357305,-48.9395025,400.9190215,58.21566,-70.99493,402.427765,42.985825000000006,-87.6783945,391.851608,25.1732615,-12.140498000000001,428.223892,23.0896095,-48.833389499999996,415.5384675,17.6991665,-87.323017,408.3554535
8,0.06666666666666667,61.660797,11.405874,435.880615,49.083496,-6.760061,414.85556,62.139011,-30.550657,413.204132,47.035149,-48.941532,400.923767,58.215157,-70.994255,402.423035,42.986176,-87.679512,391.850159,25.172928,-12.142502,428.224854,23.090919,-48.8302,415.530518,17.698351,-87.323013,408.359619
9,0.075,61.662693000000004,11.406949000000001,435.8896635,49.082741,-6.76114,414.85182199999997,62.1401295,-30.5496065,413.2088625,47.035394999999994,-48.937889,400.9198915,58.2159425,-70.994831,402.4253995,42.98551,-87.677952,391.8500825,25.172992,-12.1421585,428.22573850000003,23.090870000000002,-48.831365500000004,415.53729250000004,17.703533,-87.32628249999999,408.373459
11,0.09166666666666666,61.658562,11.406709,435.881012,49.08392,-6.761254,414.855591,62.140667,-30.548548,413.206268,47.035713,-48.937695,400.915161,58.215816,-70.992363,402.424683,42.982811,-87.676292,391.849335,25.173176,-12.140289,428.226685,23.090326,-48.830894,415.543701,17.696932,-87.319962,408.350464
12,0.1,61.6606425,11.407236000000001,435.8824615,49.0826585,-6.7616205,414.8526305,62.140417,-30.5502325,413.211212,47.030647,-48.9369965,400.90599050000003,58.215408499999995,-70.995327,402.4259945,42.984821,-87.67846700000001,391.85465999999997,25.172371,-12.140704,428.2244415,23.0893895,-48.831251,415.5397035,17.698421500000002,-87.32253299999999,408.35965
14,0.11666666666666667,61.661655,11.406575,435.883636,49.082798,-6.7616,414.852203,62.140873,-30.548698,413.204468,47.033245,-48.94186,400.919464,58.21611,-70.995476,402.423492,42.983826,-87.678711,391.852692,25.172037,-12.140662,428.225159,23.090815,-48.831528,415.536896,17.699072,-87.322838,408.359619
