Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,36.120138,-4.5788685000000005,434.9615475,24.5138375,-22.6663675,413.07029750000004,37.803568,-46.4537505,411.832016,23.229982999999997,-64.8730775,398.6680145,34.4081345,-87.074322,400.763977,19.545424500000003,-103.8300515,389.295441,0.0154295,-28.280424500000002,425.408737,-1.409297,-64.8573035,412.1798245,-6.468133999999999,-103.38621900000001,404.6893765
2,0.016666666666666666,36.120861,-4.579527,434.963501,24.515617,-22.6696,413.075439,37.802116,-46.456097,411.835754,23.228127,-64.872719,398.668976,34.40749,-87.072525,400.761963,19.545759,-103.831345,389.299744,0.01666,-28.279869,425.406403,-1.410411,-64.85759,412.182495,-6.468421,-103.386795,404.684906
3,0.025,36.122322,-4.576833000000001,434.9624635,24.5161135,-22.666755000000002,413.072983,37.803205500000004,-46.453353500000006,411.8300785,23.2294675,-64.872303,398.66502349999996,34.408678,-87.075134,400.76495350000005,19.544843,-103.829796,389.2993465,0.0166395,-28.280392499999998,425.409851,-1.4084664999999998,-64.85802100000001,412.17880249999996,-6.469333,-103.385078,404.687775
5,0.041666666666666664,36.121868,-4.575987,434.960724,24.513958,-22.665201,413.069977,37.802452,-46.45348,411.831635,23.227575,-64.870995,398.665436,34.407101,-87.07003,400.751648,19.543518,-103.827881,389.295502,0.017008,-28.278584,425.408295,-1.409317,-64.858215,412.183136,-6.468723,-103.387611,404.688812
6,0.05,36.1196135,-4.5800795,434.96405,24.514574,-22.66637,413.0702205,37.803686,-46.454132,411.83160399999997,23.2288025,-64.8725395,398.6681975,34.4068605,-87.0743595,400.758194,19.543774,-103.831871,389.297287,0.0151035,-28.2821335,425.41265899999996,-1.4098964999999999,-64.85592249999999,412.179886,-6.4700285,-103.3873595,404.68600449999997
8,0.06666666666666667,36.120068,-4.576487,434.965302,24.517044,-22.665722,413.076996,37.802944,-46.451786,411.825195,23.230503,-64.872673,398.661469,34.408916,-87.072678,400.755371,19.543795,-103.828598,389.296173,0.015969,-28.280582,425.402283,-1.409426,-64.857674,412.178528,-6.472875,-103.381203,404.678101
9,0.075,36.1203045,-4.578110000000001,434.96283,24.513749,-22.666401,413.0688175,37.80386,-46.454115,411.8311615,23.228833,-64.8736265,398.663147,34.407257,-87.07288750000001,400.75660700000003,19.5457185,-103.82922,389.2977445,0.015596,-28.279377500000002,425.4060975,-1.4083185,-64.8580855,412.18051149999997,-6.4706455,-103.3835945,404.6810455
11,0.09166666666666666,36.121609,-4.577531,434.963318,24.513103,-22.668997,413.070465,37.803173,-46.454987,411.834503,23.229818,-64.875702,398.665833,34.409657,-87.077103,400.763824,19.544519,-103.829262,389.296356,0.014648,-28.279116,425.406097,-1.409028,-64.858597,412.184113,-6.467144,-103.387436,404.689697
12,0.1,36.121529,-4.5783915,434.9643405,24.513794,-22.66714,413.07135,37.802803,-46.4548685,411.8293915,23.229627999999998,-64.87268850000001,398.6673125,34.409172,-87.074753,400.758087,19.5463895,-103.8311235,389.302597,0.0165095,-28.2818815,425.40751650000004,-1.409384,-64.859741,412.1837765,-6.467789,-103.389553,404.69458
14,0.11666666666666667,36.12112,-4.579624,434.963928,24.515461,-22.669853,413.078339,37.801056,-46.454678,411.827148,23.229267,-64.874771,398.664948,34.407265,-87.07354,400.758453,19.54339,-103.831352,389.298126,0.016754,-28.280745,425.407501,-1.409631,-64.856613,412.180542,-6.4691,-103.387321,404.68161
15,0.125,36.121054,-4.5781089999999995,434.968201,24.5142965,-22.667778,413.070816,37.803436500000004,-46.4552575,411.8311155,23.229675,-64.873283,398.66796899999997,34.4071825,-87.07425699999999,400.7600095,19.543789500000003,-103.830425,389.2959135,0.0154415,-28.281212,425.4071505,-1.4099400000000002,-64.85850149999999,412.18019100000004,-6.469303,-103.38557449999999,404.685394
17,0.14166666666666666,36.121281,-4.579305,434.960052,24.514688,-22.668821,413.070465,37.804401,-46.455681,411.833954,23.230217,-64.871368,398.664368,34.408802,-87.074997,400.760742,19.545952,-103.831955,389.294464,0.016426,-28.280085,425.406555,-1.408282,-64.856934,412.175995,-6.469128,-103.38765,404.685974
18,0.15,36.120966,-4.578804,434.96933,24.5144965,-22.6673945,413.0717165,37.8021125,-46.455805,411.82879649999995,23.229751,-64.873253,398.66357400000004,34.4073315,-87.074173,400.758179,19.5433655,-103.8307915,389.291977,0.0162075,-28.2817435,425.4107515,-1.4095360000000001,-64.858158,412.176819,-6.4702755,-103.383667,404.68113700000004
20,0.16666666666666666,36.120823,-4.578357,434.962036,24.515194,-22.668068,413.071106,37.803654,-46.455544,411.830811,23.229713,-64.871567,398.662415,34.408092,-87.07193,400.757812,19.547392,-103.831436,389.296692,0.014649,-28.278862,425.403839,-1.410306,-64.859505,412.184235,-6.46952,-103.387085,404.684021
21,0.175,36.1211835,-4.5771495,434.960892,24.514902,-22.667604,413.07498150000004,37.803278000000006,-46.455946,411.8309785,23.230481,-64.874142,398.66873150000004,34.408105500000005,-87.073212,400.7600865,19.545783999999998,-103.83158900000001,389.2970275,0.016836999999999998,-28.279136,425.4035645,-1.4088515,-64.8585435,412.182312,-6.469827,-103.3817405,404.67654400000004
23,0.19166666666666665,36.12151,-4.577731,434.964447,24.515652,-22.666296,413.071808,37.80312,-46.453754,411.827545,23.229313,-64.872269,398.668884,34.406815,-87.075218,400.760284,19.54567,-103.829636,389.299622,0.016334,-28.282257,425.407593,-1.409638,-64.857491,412.183746,-6.467485,-103.386696,404.686554
24,0.2,36.1220555,-4.5787165000000005,434.96546950000004,24.5151435,-22.6666155,413.073303,37.803776,-46.454498,411.8301695,23.228654,-64.8716205,398.665985,34.40798,-87.072277,400.75886549999996,19.5460585,-103.8300435,389.297775,0.016413,-28.279636500000002,425.402588,-1.408464,-64.85726149999999,412.17578149999997,-6.4684314999999994,-103.38537600000001,404.6886445
26,0.21666666666666667,36.122974,-4.576741,434.968109,24.515272,-22.670053,413.066132,37.802654,-46.457211,411.831635,23.228703,-64.873505,398.66571,34.406311,-87.071983,400.753754,19.5446,-103.828621,389.302063,0.016887,-28.280651,425.404541,-1.409046,-64.858086,412.176117,-6.469217,-103.386307,404.684113
27,0.225,36.1208875,-4.5779755,434.957764,24.5152705,-22.6652345,413.0750885,37.8032075,-46.4533065,411.8303225,23.230100999999998,-64.872593,398.66752599999995,34.407642499999994,-87.072586,400.7591705,19.545780999999998,-103.8294105,389.3027035,0.016323499999999998,-28.280255,425.400223,-1.4093149999999999,-64.858227,412.18476899999996,-6.4684225,-103.387112,404.69102499999997
