Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,45.114277,-18.86742,430.010071,33.0476185,-37.2423935,408.716263,46.17997,-61.17622,407.616043,31.2478135,-79.7639085,395.216904,42.3344005,-101.9782715,397.438797,27.1735095,-118.8663825,386.7586365,8.8499035,-42.526392,421.6543425,7.0519739999999995,-79.3857235,409.22673,1.614066,-118.0118675,402.676285
2,0.016666666666666666,45.123585,-18.880854,429.996307,33.063,-37.234898,408.689423,46.193928,-61.144054,407.587402,31.266876,-79.802681,395.164948,42.362522,-101.955963,397.419861,27.225563,-118.794991,386.718781,8.863661,-42.533936,421.629883,7.073237,-79.396378,409.194702,1.653145,-118.000191,402.613403
3,0.025,45.1288205,-18.850129,429.9871975,33.07333,-37.1964225,408.68071,46.2265855,-61.101656,407.58219899999995,31.317230000000002,-79.716053,395.14590450000003,42.414741500000005,-101.908367,397.351486,27.275584000000002,-118.7319335,386.6425325,8.8756585,-42.5092145,421.6209105,7.111969,-79.356682,409.1474,1.707821,-117.954655,402.528122
5,0.041666666666666664,45.142662,-18.816778,429.996185,33.092934,-37.155296,408.665863,46.266666,-61.007641,407.594696,31.364918,-79.619438,395.098785,42.490261,-101.789619,397.302643,27.348721,-118.706985,386.538574,8.890895,-42.479649,421.604584,7.148878,-79.305962,409.093719,1.781827,-117.906944,402.407166
6,0.05,45.1483285,-18.8055195,429.99301149999997,33.1174755,-37.099697,408.640152,46.305599,-60.966835,407.52446,31.44283,-79.5665015,395.01802050000003,42.5670145,-101.74992750000001,397.20326250000005,27.4640355,-118.5659565,386.399475,8.919580499999999,-42.466307,421.561844,7.206905,-79.278942,408.9944305,1.877551,-117.8562015,402.24325550000003
8,0.06666666666666667,45.162804,-18.77445,429.980133,33.157616,-37.032497,408.623535,46.353401,-60.872135,407.472717,31.507532,-79.482323,394.922546,42.662361,-101.615997,397.072693,27.583899,-118.4366,386.231201,8.950109,-42.430927,421.518799,7.264693,-79.221046,408.88562,1.976549,-117.786003,402.066498
9,0.075,45.178415,-18.723496500000003,429.961792,33.1769825,-36.96145799999999,408.5889435,46.394682,-60.771759,407.4149625,31.5863325,-79.296154,394.8598935,42.7513335,-101.470726,396.914444,27.688718,-118.3022955,386.048538,8.9744335,-42.382392499999995,421.47091650000004,7.3328485,-79.12298200000001,408.7524565,2.0807605000000002,-117.69600650000001,401.886246
11,0.09166666666666666,45.194851,-18.701832,429.954712,33.212933,-36.886986,408.584717,46.449322,-60.65279,407.350739,31.657179,-79.195,394.768097,42.84491,-101.321609,396.729767,27.814445,-118.138229,385.831268,9.005703,-42.351048,421.44458,7.404324,-79.05368,408.606049,2.207053,-117.612671,401.660767
12,0.1,45.218948,-18.676368500000002,429.939819,33.255430000000004,-36.8217925,408.56221000000005,46.5122185,-60.5736845,407.302383,31.738073,-79.05218099999999,394.650757,42.95524,-101.171425,396.5708465,27.9545165,-117.949619,385.584015,9.047845,-42.326415999999995,421.3662565,7.4786470000000005,-79.0008695,408.5,2.3373150000000003,-117.5302505,401.427475
14,0.11666666666666667,45.243362,-18.631676,429.923767,33.288994,-36.729504,408.530975,46.568233,-60.459641,407.239899,31.817041,-78.90773,394.506226,43.055817,-100.996483,396.407959,28.08959,-117.771088,385.342285,9.081042,-42.27993,421.309692,7.552481,-78.916557,408.369995,2.461426,-117.430458,401.189575
15,0.125,45.2660735,-18.595703,429.9062195,33.3338775,-36.6333275,408.5155335,46.632877500000006,-60.3127975,407.1895295,31.9072465,-78.7592355,394.37084949999996,43.168296999999995,-100.848896,396.222305,28.21827,-117.6139065,385.13739,9.116579,-42.2269115,421.260468,7.6312275,-78.8185195,408.2484895,2.5825725,-117.3317335,400.9575805
17,0.14166666666666666,45.28767,-18.556406,429.91449,33.377777,-36.547668,408.502228,46.704391,-60.200146,407.129608,32.003807,-78.612724,394.237701,43.294086,-100.705681,396.071594,28.364923,-117.475449,384.928253,9.154387,-42.187679,421.203094,7.714915,-78.744392,408.139801,2.714986,-117.243332,400.697754
18,0.15,45.2747555,-18.5006555,429.96409600000004,33.397968,-36.4409675,408.528839,46.762884,-60.1032565,407.0835725,32.088644,-78.50896850000001,394.15254200000004,43.41008,-100.583271,395.950577,28.5135205,-117.333126,384.76072650000003,9.1747485,-42.1511665,421.188049,7.7940125,-78.6814575,408.0161895,2.8395465,-117.164551,400.4794925
20,0.16666666666666666,45.30257,-18.54537,429.892334,33.411106,-36.416065,408.470673,46.802341,-60.007263,407.034698,32.15873,-78.384827,394.095062,43.518353,-100.47982,395.84494,28.656244,-117.183716,384.603607,9.19969,-42.123192,421.157684,7.860912,-78.617531,407.890472,2.957445,-117.083656,400.284637
21,0.175,45.278469,-18.4592065,429.9760135,33.422625,-36.29846,408.5608825,46.835548,-59.870928,407.06831350000004,32.221636000000004,-78.210228,394.0609895,43.594095499999995,-100.29315199999999,395.734512,28.759957,-117.068985,384.46110550000003,9.19054,-42.079983,421.1715855,7.9147885,-78.53495000000001,407.838684,3.0552539999999997,-117.0162465,400.17129550000004
23,0.19166666666666665,45.284668,-18.395481,430.029358,33.433765,-36.394863,408.465515,46.829514,-59.912167,406.992981,32.26646,-78.220215,393.97876,43.675747,-100.251122,395.637512,28.864855,-116.9254,384.290833,9.216529,-42.113613,421.149506,7.960016,-78.547737,407.784485,3.153061,-116.98851,400.003235
24,0.2,45.2921585,-18.476350500000002,429.953659,33.448597,-36.255577,408.5725095,46.878330000000005,-59.816332,407.037277,32.278060999999994,-78.120041,393.9708405,43.698538,-100.1108055,395.590042,28.9171135,-116.81847400000001,384.21299750000003,9.2102055,-42.0798705,421.149048,7.972989,-78.5081635,407.7646485,3.2116765000000003,-116.94512549999999,399.929062
26,0.21666666666666667,45.287689,-18.367119,430.033051,33.404442,-36.351418,408.463654,46.837948,-59.790905,406.980408,32.309563,-78.082047,393.947144,43.735611,-100.105667,395.534637,28.938793,-116.762009,384.128235,9.205337,-42.084515,421.156708,8.000877,-78.475883,407.74646,3.238811,-116.89579,399.843384
27,0.225,45.274992,-18.4547155,429.969986,33.437734500000005,-36.2161385,408.563217,46.8681625,-59.760462000000004,407.00653050000005,32.279075500000005,-78.0482785,393.94104,43.714098,-100.05019,395.5343475,28.9337905,-116.7884905,384.1387785,9.205276,-42.053676499999995,421.143997,7.975702500000001,-78.4635655,407.7378995,3.2354925000000003,-116.90170649999999,399.8541105
29,0.24166666666666667,45.28191,-18.400862,430.010681,33.422844,-36.309433,408.482117,46.844429,-59.768749,406.982758,32.296608,-78.105965,393.930634,43.698441,-100.143005,395.527405,28.886854,-116.797112,384.165619,9.210791,-42.077961,421.154694,7.990013,-78.483765,407.730865,3.1953,-116.916687,399.88446
30,0.25,45.2736435,-18.446849,429.98524499999996,33.441923,-36.241392000000005,408.5513765,46.8589975,-59.825517500000004,406.9989015,32.2412015,-78.13091700000001,393.94642650000003,43.6442795,-100.1589165,395.5707395,28.828781,-116.88948400000001,384.247696,9.2091525,-42.0597135,421.13916,7.9453705,-78.4910965,407.7513275,3.1313325,-116.94462949999999,399.9743195
32,0.26666666666666666,45.281784,-18.428675,429.997406,33.411003,-36.312771,408.502747,46.813492,-59.821022,407.018005,32.216053,-78.172096,393.991394,43.59301,-100.236374,395.650116,28.744354,-116.963249,384.35257,9.190115,-42.063107,421.149017,7.912611,-78.50032,407.781708,3.048057,-116.968063,400.081818
