Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,46.3480875,-4.452863000000001,427.6401065,34.249067499999995,-22.896165500000002,406.7337035,47.356344,-46.718344,405.655548,32.5770265,-65.21876900000001,393.433365,43.7217845,-87.234539,395.546875,28.812144500000002,-103.96241,384.803604,10.140766,-28.094616000000002,419.760651,8.368025,-64.97514699999999,407.37066649999997,3.1510569999999998,-103.4386595,400.7086335
2,0.016666666666666666,46.346367,-4.451275,427.644714,34.250278,-22.89216,406.736481,47.357315,-46.713127,405.658478,32.574841,-65.216431,393.428833,43.720074,-87.231949,395.540771,28.81159,-103.960159,384.796204,10.1415,-28.092213,419.75116,8.368026,-64.971397,407.367035,3.150284,-103.438599,400.712524
3,0.025,46.3466375,-4.4531445,427.64630150000005,34.250223,-22.89548,406.7351835,47.355604,-46.7174835,405.656601,32.574026,-65.218147,393.4284665,43.719215500000004,-87.2375945,395.546417,28.8087025,-103.9621425,384.7993925,10.1406985,-28.0946685,419.755157,8.3678275,-64.97523100000001,407.377106,3.147878,-103.440231,400.7106785
5,0.041666666666666664,46.347301,-4.456218,427.643402,34.248863,-22.893124,406.737823,47.35619,-46.71566,405.661346,32.574436,-65.219254,393.435455,43.719219,-87.235626,395.546906,28.807848,-103.963333,384.796844,10.138812,-28.093046,419.748535,8.371429,-64.973068,407.376587,3.150405,-103.441635,400.715363
6,0.05,46.348135,-4.452102,427.64239499999996,34.250248,-22.895366000000003,406.73641999999995,47.355228499999996,-46.717869,405.657471,32.572561,-65.21778499999999,393.4281005,43.7191275,-87.2349395,395.547226,28.8095835,-103.95977400000001,384.798309,10.140245499999999,-28.0931375,419.7596435,8.3655915,-64.974926,407.37440449999997,3.1484085,-103.43930800000001,400.7095335
8,0.06666666666666667,46.345943,-4.454933,427.639923,34.247765,-22.894823,406.731842,47.355019,-46.718166,405.656036,32.572193,-65.214638,393.428192,43.717442,-87.233292,395.543671,28.809269,-103.958275,384.798492,10.139069,-28.094938,419.758972,8.36482,-64.973343,407.368744,3.147858,-103.439743,400.709106
9,0.075,46.3479325,-4.453390000000001,427.644165,34.2503375,-22.896175999999997,406.737869,47.355711,-46.7189525,405.6598355,32.57419,-65.2168615,393.4277495,43.719815999999994,-87.23356999999999,395.544693,28.8102665,-103.95818299999999,384.79670699999997,10.138988000000001,-28.093668,419.7542115,8.3676235,-64.975185,407.37858600000004,3.1490545,-103.4388735,400.7077785
11,0.09166666666666666,46.349804,-4.454702,427.640625,34.250084,-22.897903,406.739227,47.356544,-46.719639,405.658203,32.57719,-65.220718,393.436005,43.723263,-87.236099,395.551086,28.812439,-103.961922,384.795471,10.142723,-28.097788,419.758514,8.368849,-64.977081,407.37381,3.150332,-103.441048,400.710785
12,0.1,46.3474695,-4.453196500000001,427.642929,34.2499825,-22.89633,406.73841849999997,47.354799,-46.718908,405.6549835,32.574257,-65.2195395,393.43235749999997,43.7205315,-87.236965,395.5484465,28.8099675,-103.961609,384.79512050000005,10.139618500000001,-28.094986,419.75627099999997,8.365860000000001,-64.973938,407.37451150000004,3.148517,-103.44219949999999,400.714539
14,0.11666666666666667,46.345776,-4.451879,427.642853,34.249844,-22.895267,406.735931,47.35574,-46.718056,405.657196,32.5732,-65.219254,393.428131,43.718872,-87.234512,395.545746,28.809229,-103.962624,384.797729,10.138567,-28.095432,419.756744,8.367086,-64.972931,407.368652,3.149481,-103.437714,400.708252
15,0.125,46.3503325,-4.4510190000000005,427.64643850000004,34.250797000000006,-22.895283499999998,406.734863,47.3584,-46.718090000000004,405.6579135,32.575592,-65.2183765,393.430786,43.719631,-87.2365495,395.5431515,28.808352499999998,-103.96184149999999,384.7977445,10.1422815,-28.093663499999998,419.7569275,8.3699725,-64.976139,407.3816225,3.1500500000000002,-103.441498,400.71623250000005
17,0.14166666666666666,46.346481,-4.45419,427.641357,34.249794,-22.894146,406.740082,47.353828,-46.7192,405.653107,32.574192,-65.221138,393.432281,43.718014,-87.236229,395.546906,28.809465,-103.962837,384.801819,10.140272,-28.092903,419.753845,8.363094,-64.973549,407.362854,3.147031,-103.439621,400.710358
18,0.15,46.3484115,-4.4523345,427.6425785,34.2490485,-22.8953065,406.7353365,47.356004999999996,-46.716022499999994,405.658188,32.57572,-65.2179945,393.431503,43.719898,-87.23456949999999,395.5446625,28.810211000000002,-103.9608115,384.7960055,10.141158,-28.0945565,419.759094,8.368774,-64.9741095,407.378204,3.1493925000000003,-103.4423865,400.7160645
20,0.16666666666666666,46.347698,-4.452119,427.639374,34.250122,-22.895205,406.733063,47.356453,-46.718231,405.655914,32.575966,-65.218765,393.42865,43.721237,-87.233902,395.548615,28.812187,-103.960732,384.802643,10.139377,-28.092339,419.754333,8.368764,-64.976913,407.375153,3.150467,-103.43985,400.710327
21,0.175,46.346546000000004,-4.4558845,427.64151,34.249554,-22.8977445,406.73732,47.355320000000006,-46.719843,405.658508,32.5760115,-65.220085,393.433197,43.721176,-87.23629399999999,395.5497285,28.812068,-103.960491,384.7955475,10.139188,-28.096676000000002,419.754486,8.366272,-64.97350349999999,407.369995,3.1509735,-103.4432755,400.7093205
23,0.19166666666666665,46.347343,-4.451965,427.640198,34.248138,-22.895937,406.735016,47.355846,-46.719891,405.6586,32.574188,-65.217072,393.430603,43.721138,-87.237221,395.550568,28.812437,-103.961884,384.801453,10.140985,-28.092644,419.752777,8.366214,-64.976166,407.375671,3.149348,-103.442238,400.715546
24,0.2,46.347888999999995,-4.452897500000001,427.6342465,34.249880000000005,-22.895737500000003,406.7310945,47.35725,-46.717089,405.65650949999997,32.575342500000005,-65.2172165,393.4289855,43.721403499999994,-87.23345549999999,395.5457455,28.812295,-103.9592665,384.797867,10.141091,-28.093007,419.7531435,8.3679095,-64.97404850000001,407.370819,3.1519725000000003,-103.4397165,400.711914
26,0.21666666666666667,46.347416,-4.455771,427.640442,34.248405,-22.895428,406.728027,47.355442,-46.718784,405.657745,32.575893,-65.220352,393.43396,43.720699,-87.236275,395.546295,28.810242,-103.964264,384.798981,10.140282,-28.094299,419.752655,8.367666,-64.975861,407.376312,3.14913,-103.440369,400.703033
27,0.225,46.3476125,-4.4536975,427.6423035,34.2479745,-22.895626999999998,406.73431400000004,47.354868,-46.718014,405.6539305,32.5720345,-65.218521,393.422928,43.718723,-87.235077,395.544144,28.809457000000002,-103.96203249999999,384.80064400000003,10.138995999999999,-28.0941145,419.753418,8.367272,-64.973671,407.3675995,3.148275,-103.4381675,400.71092250000004
29,0.24166666666666667,46.347538,-4.453562,427.639709,34.249565,-22.891754,406.72699,47.356922,-46.715508,405.653442,32.577488,-65.217026,393.431305,43.722118,-87.23513,395.545929,28.81188,-103.960007,384.79834,10.140739,-28.09445,419.754303,8.366799,-64.971817,407.367584,3.151154,-103.441338,400.709503
30,0.25,46.346842,-4.451501,427.6419065,34.2466355,-22.8927755,406.73143,47.3553125,-46.7154295,405.654541,32.573766500000005,-65.216667,393.4281465,43.7198065,-87.234272,395.5450745,28.8105605,-103.958206,384.7991485,10.1398305,-28.092074500000003,419.7570955,8.365333,-64.9717445,407.365768,3.1487795,-103.4390295,400.71109
32,0.26666666666666666,46.348038,-4.453043,427.64447,34.248795,-22.896687,406.7341,47.355881,-46.716518,405.65741,32.574947,-65.216225,393.429199,43.720188,-87.23259,395.542511,28.813292,-103.959015,384.796448,10.139009,-28.091427,419.752563,8.365891,-64.972137,407.362366,3.150305,-103.439552,400.709534
33,0.275,46.3470765,-4.4543535,427.63562,34.247451999999996,-22.8963155,406.7274475,47.3546945,-46.717113499999996,405.6560665,32.5751785,-65.2186355,393.431961,43.721426,-87.2333225,395.5462645,28.810997999999998,-103.9581565,384.7953645,10.1394905,-28.094265,419.755112,8.3676075,-64.974266,407.3723755,3.1501755,-103.43962099999999,400.71049500000004
35,0.2916666666666667,46.346745,-4.451355,427.639709,34.249081,-22.894745,406.730347,47.356098,-46.717041,405.653015,32.575459,-65.217934,393.42392,43.719933,-87.234703,395.542786,28.812532,-103.960442,384.79834,10.139443,-28.096046,419.75061,8.36633,-64.974548,407.362671,3.151049,-103.439873,400.709656
36,0.3,46.3468305,-4.4540585,427.641144,34.2473145,-22.896107,406.7336425,47.3548435,-46.716720499999994,405.654663,32.573622,-65.21698,393.425568,43.719463000000005,-87.2353975,395.54447949999997,28.8110485,-103.9585075,384.797897,10.1389375,-28.0931755,419.75836200000003,8.3665015,-64.9747925,407.37149,3.1504665,-103.438534,400.711777
38,0.31666666666666665,46.347126,-4.452469,427.638092,34.24688,-22.894369,406.728546,47.354504,-46.716412,405.653229,32.575218,-65.217293,393.428406,43.717403,-87.234367,395.543304,28.810884,-103.960175,384.796509,10.14115,-28.090893,419.747314,8.367981,-64.972389,407.367859,3.149548,-103.437592,400.709167
39,0.325,46.3465365,-4.452678000000001,427.63855,34.2503015,-22.894537,406.7388765,47.355801,-46.717462499999996,405.6534575,32.574073999999996,-65.21690749999999,393.4236605,43.7181265,-87.235012,395.541702,28.8098175,-103.959236,384.79718,10.140798,-28.0933465,419.750946,8.368446500000001,-64.97454450000001,407.3738555,3.1490134999999997,-103.43906799999999,400.70822150000004
41,0.3416666666666667,46.346439,-4.45378,427.63916,34.249508,-22.89492,406.738037,47.353382,-46.716946,405.649689,32.571915,-65.215378,393.422302,43.717377,-87.233994,395.541809,28.808977,-103.957535,384.789673,10.139926,-28.094799,419.758423,8.36533,-64.972565,407.361359,3.148798,-103.440361,400.709961
42,0.35,46.3471435,-4.4530195,427.640091,34.248222,-22.894796499999998,406.73321550000003,47.355588999999995,-46.716573999999994,405.6543735,32.5744935,-65.21562549999999,393.4270325,43.720522,-87.2331355,395.5458835,28.811071499999997,-103.9604535,384.7987675,10.140093,-28.094165,419.7531585,8.367362,-64.9747925,407.3739015,3.149743,-103.438389,400.711548
44,0.36666666666666664,46.348576,-4.452601,427.64151,34.248943,-22.89753,406.735901,47.355278,-46.71925,405.654816,32.573505,-65.216553,393.424774,43.720493,-87.233719,395.547913,28.810965,-103.958893,384.797516,10.139139,-28.094057,419.754486,8.367118,-64.973167,407.373566,3.149994,-103.439278,400.710114
45,0.375,46.3471485,-4.4566435,427.63941950000003,34.248432,-22.898400000000002,406.7377625,47.355917,-46.7190705,405.656494,32.575342,-65.21780000000001,393.428787,43.720417,-87.2345045,395.5480195,28.8100745,-103.9583285,384.794281,10.140387,-28.093936,419.75471500000003,8.3675095,-64.9759255,407.375366,3.14955,-103.438011,400.711914
47,0.39166666666666666,46.347095,-4.454125,427.640564,34.248478,-22.897659,406.731598,47.35445,-46.718605,405.653503,32.574207,-65.216438,393.429535,43.720726,-87.235298,395.54953,28.808867,-103.959595,384.797424,10.140522,-28.097061,419.752106,8.369142,-64.973785,407.373993,3.149917,-103.44091,400.715668
48,0.4,46.348676499999996,-4.4537075,427.64277649999997,34.24879850000001,-22.8960285,406.73291,47.3553065,-46.717085,405.652298,32.575966,-65.2173005,393.4282685,43.7205925,-87.23592,395.545929,28.810321000000002,-103.95914099999999,384.797287,10.141573000000001,-28.0946025,419.758423,8.3675295,-64.97193949999999,407.36969,3.1499775000000003,-103.4411885,400.7107545
50,0.4166666666666667,46.345676,-4.453101,427.636353,34.24968,-22.896687,406.735474,47.353706,-46.715912,405.651062,32.57362,-65.216537,393.423767,43.719887,-87.23539,395.542603,28.808983,-103.962738,384.796173,10.140656,-28.092463,419.75531,8.369019,-64.975349,407.370697,3.147199,-103.43792,400.702484
51,0.425,46.347313,-4.45266,427.640427,34.250061,-22.895312,406.736084,47.355807999999996,-46.7186355,405.6571805,32.5747815,-65.2170025,393.425873,43.7192285,-87.2368125,395.545258,28.8100875,-103.96276850000001,384.80215450000003,10.140819,-28.095174,419.7490845,8.3668195,-64.97380050000001,407.3693545,3.147603,-103.43972,400.710205
53,0.44166666666666665,46.348869,-4.4543,427.648254,34.250465,-22.893974,406.735291,47.357586,-46.715641,405.652008,32.575176,-65.217049,393.43042,43.720535,-87.234436,395.545624,28.811544,-103.961693,384.799591,10.142049,-28.091681,419.755615,8.368063,-64.972137,407.367371,3.149886,-103.439644,400.71109
54,0.45,46.347322500000004,-4.4531905,427.64268500000003,34.249258,-22.895539,406.7317045,47.355671,-46.716156,405.65443400000004,32.574568,-65.2183495,393.4271695,43.7196255,-87.2343405,395.545563,28.810662999999998,-103.9600375,384.799561,10.141182,-28.0938405,419.754883,8.366821999999999,-64.97217950000001,407.36842349999995,3.151051,-103.4383355,400.71038799999997
56,0.4666666666666667,46.346489,-4.452725,427.638,34.248089,-22.898157,406.734375,47.356018,-46.718483,405.656525,32.57542,-65.220039,393.430603,43.722057,-87.235321,395.550964,28.811436,-103.961029,384.799133,10.140116,-28.094728,419.760712,8.368943,-64.975243,407.376343,3.150927,-103.439804,400.710602
57,0.475,46.3489895,-4.45556,427.641785,34.249855,-22.8969125,406.7330475,47.354332,-46.717993,405.651398,32.5764445,-65.221138,393.43486,43.7211495,-87.2359195,395.54576099999997,28.812089999999998,-103.960003,384.80001849999996,10.141189,-28.095821,419.748764,8.3673705,-64.9766505,407.3741,3.149875,-103.440571,400.712784
59,0.49166666666666664,46.348316,-4.453878,427.641724,34.250607,-22.896196,406.737152,47.356838,-46.719444,405.653076,32.574783,-65.218651,393.433868,43.720821,-87.234146,395.550812,28.810127,-103.961479,384.798309,10.141798,-28.095247,419.755066,8.369015,-64.977669,407.377808,3.150888,-103.441345,400.71225
60,0.5,46.347167999999996,-4.452564,427.6415865,34.248489,-22.894578,406.729874,47.355097,-46.716637,405.6555175,32.5737285,-65.21689599999999,393.4235075,43.719734,-87.2344665,395.54792799999996,28.8092105,-103.9614375,384.80148299999996,10.140064500000001,-28.093121500000002,419.757004,8.3675255,-64.973606,407.371765,3.1485825,-103.441547,400.7116545
