Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,26.1773595,9.474164,432.6181335,15.0182595,-8.86219,410.9808805,28.3290395,-32.613123,410.31596349999995,14.1135185,-51.1933155,397.27717600000005,25.2833745,-73.2585755,399.7884065,10.82203,-90.084435,388.339493,-9.630811999999999,-14.3171415,422.94206199999996,-10.690510499999998,-51.044934999999995,410.227585,-15.470193,-89.60222999999999,403.146835
2,0.016666666666666666,26.175381,9.474497,432.62204,15.020216,-8.86518,410.987183,28.328749,-32.615799,410.324127,14.113628,-51.190422,397.279633,25.282415,-73.255852,399.782593,10.822673,-90.082191,388.330872,-9.63048,-14.31646,422.941284,-10.689698,-51.046284,410.232666,-15.472297,-89.598694,403.144043
3,0.025,26.17617,9.469498999999999,432.6169125,15.0173985,-8.8687205,410.98524499999996,28.3265625,-32.616527500000004,410.3229215,14.1114165,-51.1907765,397.2792665,25.281761,-73.255268,399.7869415,10.8221485,-90.0820235,388.331192,-9.6346905,-14.3184115,422.94561799999997,-10.694467,-51.0451755,410.23349,-15.472120499999999,-89.600189,403.1390225
5,0.041666666666666664,26.178129,9.46791,432.622192,15.018123,-8.870479,410.984192,28.325672,-32.619087,410.325867,14.110406,-51.193459,397.27771,25.283602,-73.255379,399.790527,10.822104,-90.077133,388.336243,-9.63229,-14.322351,422.950378,-10.693048,-51.045517,410.227905,-15.470942,-89.598984,403.134827
6,0.05,26.1772555,9.468399000000002,432.61969,15.018765,-8.870847000000001,410.987793,28.325196,-32.6202525,410.3264465,14.111312,-51.1925085,397.28601100000003,25.281435000000002,-73.2523615,399.78395049999995,10.8235265,-90.077366,388.335419,-9.6333965,-14.3196115,422.947937,-10.6925035,-51.047508,410.2289125,-15.472104,-89.59903700000001,403.13487250000003
8,0.06666666666666667,26.177382,9.469458,432.612061,15.018242,-8.870081,410.979309,28.326591,-32.618153,410.32196,14.111698,-51.192375,397.277405,25.282728,-73.255684,399.785431,10.82182,-90.079384,388.331573,-9.633739,-14.319297,422.954163,-10.694187,-51.044228,410.225555,-15.474842,-89.60083,403.138275
9,0.075,26.178156,9.469916999999999,432.61712650000004,15.0184675,-8.8674575,410.981308,28.3279545,-32.615847,410.3187255,14.1119475,-51.193135999999996,397.277603,25.281456,-73.2587355,399.7827755,10.822386,-90.08454900000001,388.337509,-9.631439,-14.319645999999999,422.949982,-10.6951065,-51.046587,410.239258,-15.471714500000001,-89.6028025,403.138336
11,0.09166666666666666,26.176643,9.47262,432.619904,15.017473,-8.86446,410.98114,28.328081,-32.616165,410.323303,14.112375,-51.192863,397.276184,25.283035,-73.259926,399.78421,10.821616,-90.085457,388.337891,-9.631177,-14.318456,422.937927,-10.690911,-51.043743,410.223175,-15.47006,-89.603645,403.154999
12,0.1,26.178082,9.4717005,432.61607349999997,15.0189255,-8.866810000000001,410.9836425,28.3277045,-32.616867,410.31985499999996,14.112568,-51.1944675,397.2752835,25.2807585,-73.258774,399.7834625,10.820421,-90.087265,388.3375245,-9.6312565,-14.31835,422.95208749999995,-10.6946865,-51.048694499999996,410.2408905,-15.474044500000002,-89.6029205,403.1425325
14,0.11666666666666667,26.176872,9.472505,432.619904,15.017273,-8.866972,410.982819,28.32675,-32.616219,410.316772,14.112465,-51.192272,397.280945,25.28194,-73.257828,399.784088,10.820391,-90.084236,388.339325,-9.631773,-14.31672,422.95224,-10.69593,-51.045475,410.241669,-15.474073,-89.601082,403.139313
