Format Version,1.24,Take Name,Take 2025-02-24 03.33.40 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-24 03.33.40.788 下午,Capture Start Frame,790216,Total Frames in Take,6462,Total Exported Frames,6462,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Unlabeled 1773,Unlabeled 1773,Unlabeled 1773,Unlabeled 1774,Unlabeled 1774,Unlabeled 1774,Unlabeled 1775,Unlabeled 1775,Unlabeled 1775,Unlabeled 1776,Unlabeled 1776,Unlabeled 1776,Unlabeled 1777,Unlabeled 1777,Unlabeled 1777,Unlabeled 1778,Unlabeled 1778,Unlabeled 1778,Unlabeled 1779,Unlabeled 1779,Unlabeled 1779,Unlabeled 1780,Unlabeled 1780,Unlabeled 1780,Unlabeled 1781,Unlabeled 1781,Unlabeled 1781,Unlabeled 1782,Unlabeled 1782,Unlabeled 1782,Unlabeled 1783,Unlabeled 1783,Unlabeled 1783
,ID,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,"AA8D0415F28111EF4D75BD014E00259A","AA8D0415F28111EF4D75BD014E00259A","AA8D0415F28111EF4D75BD014E00259A","AA8D0416F28111EF4D75BD014E00259A","AA8D0416F28111EF4D75BD014E00259A","AA8D0416F28111EF4D75BD014E00259A","AA8D0417F28111EF4D75BD014E00259A","AA8D0417F28111EF4D75BD014E00259A","AA8D0417F28111EF4D75BD014E00259A","1685F0F692E6EF7911EF","1685F0F692E6EF7911EF","1685F0F692E6EF7911EF","1687F0F692E6EF7911EF","1687F0F692E6EF7911EF","1687F0F692E6EF7911EF","168CF0F692E6EF7911EF","168CF0F692E6EF7911EF","168CF0F692E6EF7911EF","1693F0F692E6EF7911EF","1693F0F692E6EF7911EF","1693F0F692E6EF7911EF","1694F0F692E6EF7911EF","1694F0F692E6EF7911EF","1694F0F692E6EF7911EF","1695F0F692E6EF7911EF","1695F0F692E6EF7911EF","1695F0F692E6EF7911EF","169AF0F692E6EF7911EF","169AF0F692E6EF7911EF","169AF0F692E6EF7911EF","169BF0F692E6EF7911EF","169BF0F692E6EF7911EF","169BF0F692E6EF7911EF","16A4F0F692E6EF7911EF","16A4F0F692E6EF7911EF","16A4F0F692E6EF7911EF","16A6F0F692E6EF7911EF","16A6F0F692E6EF7911EF","16A6F0F692E6EF7911EF","16A7F0F692E6EF7911EF","16A7F0F692E6EF7911EF","16A7F0F692E6EF7911EF"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000034,-0.000067,-0.000048,1.000000,-1.693247,115.774719,461.347809,-11.703955,97.775505,451.478882,-9.778132,127.118317,458.864990,16.402346,122.430367,473.699646,-11.703271,97.777985,451.479462,-9.779390,127.115501,458.862885,16.402832,122.429771,473.700897,-6.703311,-79.972298,390.632812,22.759190,-41.513000,383.833252,35.884586,19.206602,418.957428,19.167469,-80.550209,374.997223,34.060703,-63.657791,386.020416,37.410995,-22.878590,396.464508,-0.295726,-4.660985,410.283173,-1.676458,-41.408272,397.439240,24.020027,0.878976,397.587982,,,,,,
1,0.008333,0.000285,0.000128,0.000077,1.000000,-1.695382,115.771530,461.336548,-11.705430,97.776108,451.460022,-9.784069,127.114700,458.864105,16.403353,122.423836,473.685608,-11.707931,97.770050,451.454987,-9.781468,127.117935,458.867798,16.402435,122.425499,473.683685,-6.702634,-79.971443,390.630249,22.757885,-41.511856,383.828857,35.883511,19.203873,418.959351,19.166668,-80.550903,375.000122,34.062447,-63.656406,386.020233,37.410568,-22.880110,396.463806,-0.298219,-4.661402,410.281189,-1.677649,-41.407158,397.443207,24.019192,0.879693,397.589386,,,,,,
2,0.016667,0.000051,0.000110,-0.000005,1.000000,-1.692948,115.776939,461.349701,-11.705625,97.778557,451.481232,-9.779672,127.120285,458.871674,16.406452,122.432014,473.696289,-11.703962,97.779099,451.482483,-9.778997,127.121178,458.871979,16.404112,122.430550,473.694641,-6.702015,-79.967445,390.625702,22.758488,-41.509686,383.828796,35.882378,19.205881,418.959869,19.165995,-80.549263,375.000061,34.058990,-63.655922,386.018585,37.410320,-22.877647,396.459991,-0.295017,-4.659682,410.284790,-1.679500,-41.405060,397.429657,24.020506,0.878767,397.593597,,,,,,
3,0.025000,0.000103,-0.000009,0.000035,1.000000,-1.693483,115.775757,461.348267,-11.702358,97.777580,451.475555,-9.780530,127.118706,458.869446,16.402441,122.431023,473.699829,-11.704054,97.775284,451.473999,-9.779741,127.119377,458.870148,16.403343,122.432617,473.700806,-6.702639,-79.968605,390.630615,22.759855,-41.510143,383.829224,35.882160,19.205990,418.958557,19.166691,-80.547180,374.996521,34.060501,-63.658012,386.023285,37.411449,-22.878939,396.460602,-0.296116,-4.661892,410.280975,-1.678328,-41.406643,397.438232,24.019077,0.880071,397.591156,,,,,,
4,0.033333,-0.000013,-0.000015,-0.000020,1.000000,-1.693460,115.775421,461.347443,-11.704165,97.776062,451.478760,-9.779240,127.118675,458.865906,16.403025,122.431564,473.697723,-11.703420,97.778603,451.480988,-9.779523,127.117264,458.864960,16.402716,122.430641,473.696564,-6.703267,-79.970482,390.625214,22.759644,-41.510899,383.829346,35.882526,19.207758,418.957672,19.167801,-80.552040,375.001892,34.060295,-63.656704,386.020508,37.411144,-22.874525,396.456879,-0.296435,-4.662409,410.272186,-1.676934,-41.408371,397.441956,24.019302,0.880222,397.591858,,,,,,
5,0.041667,0.000329,0.000023,0.000090,1.000000,-1.694265,115.774666,461.347321,-11.701779,97.779869,451.467102,-9.782722,127.117844,458.874176,16.401707,122.426331,473.700775,-11.706611,97.772957,451.461365,-9.779293,127.120407,458.878448,16.402935,122.430656,473.702484,-6.704346,-79.971283,390.634125,22.757627,-41.513161,383.823029,35.883778,19.206160,418.958160,19.165834,-80.548950,374.993622,34.061470,-63.656769,386.021088,37.410603,-22.876778,396.465729,-0.295789,-4.661010,410.277985,-1.676688,-41.410557,397.439301,24.019724,0.879233,397.592316,,,,,,
