Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,35.8840485,19.205237500000003,418.9583895,24.0196095,0.8793344999999999,397.588684,37.4107815,-22.87935,396.464157,22.758537500000003,-41.512428,383.83105450000005,34.061575,-63.657098500000004,386.0203245,19.1670685,-80.550556,374.9986725,-0.2969725,-4.6611934999999995,410.282181,-1.6770535,-41.407714999999996,397.4412235,-6.7029725,-79.9718705,390.6315305
2,0.016666666666666666,35.882378,19.205881,418.959869,24.020506,0.878767,397.593597,37.41032,-22.877647,396.459991,22.758488,-41.509686,383.828796,34.05899,-63.655922,386.018585,19.165995,-80.549263,375.000061,-0.295017,-4.659682,410.28479,-1.6795,-41.40506,397.429657,-6.702015,-79.967445,390.625702
3,0.025,35.882343,19.206874,418.95811449999997,24.0191895,0.8801464999999999,397.591507,37.4112965,-22.876731999999997,396.4587405,22.7597495,-41.510521,383.829285,34.060398000000006,-63.657358,386.0218965,19.167246,-80.54961,374.9992065,-0.2962755,-4.6621505,410.2765805,-1.6776309999999999,-41.407507,397.44009400000004,-6.702953,-79.9695435,390.6279145
5,0.041666666666666664,35.883778,19.20616,418.95816,24.019724,0.879233,397.592316,37.410603,-22.876778,396.465729,22.757627,-41.513161,383.823029,34.06147,-63.656769,386.021088,19.165834,-80.54895,374.993622,-0.295789,-4.66101,410.277985,-1.676688,-41.410557,397.439301,-6.704346,-79.971283,390.634125
6,0.05,35.8837775,19.207326000000002,418.9589385,24.0193215,0.880191,397.5896605,37.410858000000005,-22.8793385,396.46286,22.7590525,-41.5113065,383.8264465,34.059822,-63.6579,386.0167545,19.165655,-80.5522195,374.9964755,-0.29747100000000004,-4.6609085,410.2768095,-1.677777,-41.408873,397.4401855,-6.7033755,-79.9736975,390.6296695
8,0.06666666666666667,35.883266,19.20517,418.959961,24.021164,0.880336,397.588715,37.411068,-22.878159,396.460327,22.760069,-41.513096,383.828827,34.059597,-63.658497,386.017944,19.166842,-80.548439,374.997681,-0.296707,-4.663723,410.279938,-1.680259,-41.405315,397.428925,-6.704375,-79.969475,390.63327
9,0.075,35.8836995,19.2054345,418.9618835,24.019899,0.87914,397.5939025,37.4104995,-22.878419,396.458847,22.759218500000003,-41.5124285,383.8275145,34.0599515,-63.657482,386.0238955,19.166114,-80.55027749999999,374.99801649999995,-0.29541,-4.662086,410.2773745,-1.676254,-41.40984,397.44229099999995,-6.7038845,-79.97100449999999,390.63081350000004
11,0.09166666666666666,35.882198,19.207016,418.954102,24.018682,0.879139,397.59024,37.410103,-22.880775,396.457672,22.758915,-41.510937,383.82785,34.058689,-63.657738,386.018036,19.166706,-80.550255,375.002045,-0.294639,-4.663262,410.280701,-1.680183,-41.405231,397.425842,-6.704069,-79.97184,390.636475
12,0.1,35.884262,19.2069525,418.958267,24.020313,0.878743,397.59385699999996,37.411001,-22.876997000000003,396.46200550000003,22.7587835,-41.511179,383.8288425,34.0596065,-63.656400500000004,386.02004999999997,19.1666715,-80.5505255,375.002701,-0.29579500000000003,-4.6601745,410.2816315,-1.6767575,-41.408068,397.44006349999995,-6.7031695,-79.9688835,390.628006
14,0.11666666666666667,35.883217,19.2069,418.962006,24.017778,0.878859,397.586456,37.410618,-22.876724,396.460205,22.75864,-41.509846,383.826324,34.058735,-63.655296,386.016052,19.164724,-80.549728,374.999359,-0.297021,-4.661356,410.281311,-1.677263,-41.405048,397.44577,-6.703466,-79.967735,390.626343
15,0.125,35.882923000000005,19.2075775,418.955826,24.020273,0.8800355,397.590607,37.4104575,-22.877889500000002,396.46110550000003,22.759057,-41.512209,383.827896,34.0595665,-63.6564595,386.02232349999997,19.165498499999998,-80.5494615,374.99917600000003,-0.2968765,-4.6585845,410.2780765,-1.677628,-41.409696499999995,397.43907149999995,-6.7048095,-79.97100449999999,390.6329805
17,0.14166666666666666,35.882748,19.209906,418.959167,24.019413,0.880789,397.587616,37.41082,-22.87812,396.457306,22.761591,-41.510693,383.835724,34.058949,-63.657364,386.014984,19.165348,-80.548477,375.001282,-0.29592,-4.657057,410.277313,-1.679352,-41.40686,397.434662,-6.703406,-79.966026,390.63031
18,0.15,35.8827955,19.207604000000003,418.95488,24.020394,0.8805935,397.592041,37.410412,-22.8781525,396.45678699999996,22.759766499999998,-41.510519,383.8284455,34.0590495,-63.655697,386.0193175,19.166705999999998,-80.550049,374.999054,-0.2969535,-4.660036,410.2823635,-1.6786385,-41.4049895,397.4315795,-6.704139,-79.969124,390.63188149999996
20,0.16666666666666666,35.88345,19.205065,418.957153,24.02013,0.878622,397.590363,37.410812,-22.876831,396.466339,22.759485,-41.513519,383.830933,34.060345,-63.658447,386.022583,19.165918,-80.550987,375.003326,-0.297347,-4.663559,410.278137,-1.677114,-41.410336,397.442108,-6.704731,-79.969452,390.633759
21,0.175,35.883789,19.2056555,418.95329300000003,24.0184765,0.879605,397.5902255,37.4100725,-22.8788815,396.4594575,22.758224499999997,-41.5117875,383.8281555,34.058626000000004,-63.657135,386.020401,19.1660555,-80.551052,375.0043945,-0.29680850000000003,-4.6612065000000005,410.279785,-1.6792835,-41.407087,397.432312,-6.703567,-79.9708215,390.6325835
23,0.19166666666666665,35.885067,19.207344,418.959961,24.021341,0.87813,397.590759,37.408951,-22.878641,396.459167,22.758919,-41.512505,383.829834,34.058971,-63.65712,386.019928,19.166245,-80.552872,375.00238,-0.294999,-4.663488,410.280243,-1.677492,-41.409466,397.442688,-6.702342,-79.970093,390.63385
24,0.2,35.883177,19.204533499999997,418.9548495,24.020151,0.8769834999999999,397.59210199999995,37.40933,-22.8785155,396.461899,22.7593565,-41.5141165,383.8309325,34.058406500000004,-63.6584795,386.01934800000004,19.1655635,-80.55382549999999,375.007492,-0.2961695,-4.662183499999999,410.28274550000003,-1.6777955,-41.409595499999995,397.434311,-6.703461,-79.97307599999999,390.6277465
26,0.21666666666666667,35.88419,19.205206,418.961365,24.019968,0.876715,397.5914,37.41058,-22.878279,396.461823,22.757763,-41.515697,383.830444,34.06068,-63.661842,386.0271,19.164997,-80.553352,375.003418,-0.296221,-4.664009,410.281921,-1.678284,-41.409908,397.439941,-6.703867,-79.973831,390.633728
27,0.225,35.8834365,19.2057095,418.9582065,24.0195225,0.878969,397.592453,37.410188500000004,-22.879244,396.461838,22.758959,-41.513254,383.8289185,34.058401,-63.658785,386.02194199999997,19.165047,-80.5511475,375.0008695,-0.2960085,-4.6619435,410.283066,-1.6776555,-41.408869,397.4393615,-6.7039275,-79.971058,390.6330565
29,0.24166666666666667,35.8843,19.205597,418.959137,24.02103,0.877503,397.591949,37.409454,-22.880465,396.459595,22.757969,-41.516094,383.829529,34.058899,-63.661411,386.017151,19.16436,-80.55201,375.000427,-0.296792,-4.664074,410.280029,-1.676639,-41.41021,397.434631,-6.705291,-79.97197,390.635559
30,0.25,35.883045499999994,19.20533,418.9603425,24.0194565,0.8785510000000001,397.58990500000004,37.408874499999996,-22.879093,396.457138,22.7582475,-41.5138225,383.83136,34.0583265,-63.658909,386.020401,19.1650675,-80.551186,375.00088500000004,-0.298131,-4.6622475,410.276794,-1.6788715,-41.4096165,397.43580599999996,-6.7039605,-79.97219849999999,390.62644950000004
32,0.26666666666666666,35.884846,19.206917,418.961731,24.01977,0.877555,397.593323,37.411396,-22.87998,396.462372,22.75913,-41.510956,383.825073,34.058521,-63.655823,386.019196,19.166239,-80.552208,375.006561,-0.298051,-4.661503,410.276672,-1.677614,-41.41008,397.439545,-6.705732,-79.971619,390.638367
33,0.275,35.8838195,19.20368,418.957092,24.0194615,0.8775895,397.58912699999996,37.4099025,-22.880245000000002,396.4604795,22.75949,-41.513107500000004,383.830017,34.0604095,-63.658103999999994,386.0223845,19.1656305,-80.5505025,375.000656,-0.296222,-4.6626155,410.2874605,-1.6772645,-41.410204,397.4447935,-6.7030545,-79.9724045,390.63200400000005
35,0.2916666666666667,35.881836,19.205753,418.956604,24.021372,0.875861,397.589966,37.411488,-22.879719,396.458282,22.759531,-41.515335,383.832245,34.060314,-63.658646,386.027466,19.166569,-80.54911,374.997223,-0.297185,-4.660923,410.278748,-1.680347,-41.412281,397.431061,-6.701571,-79.969353,390.629761
36,0.3,35.883919,19.205945999999997,418.96015950000003,24.020680499999997,0.879353,397.5912475,37.410881,-22.8787785,396.46029699999997,22.760700999999997,-41.512893500000004,383.830719,34.0603925,-63.657263,386.02621450000004,19.1673915,-80.55088,375.00325050000004,-0.29647199999999996,-4.6612745,410.280716,-1.6776315,-41.406307,397.435913,-6.7039165,-79.97039050000001,390.631012
38,0.31666666666666665,35.881748,19.206228,418.958313,24.020838,0.878418,397.589447,37.4105,-22.877687,396.458435,22.759556,-41.512398,383.831757,34.059998,-63.658489,386.023804,19.164417,-80.552925,375.002502,-0.296255,-4.662253,410.28421,-1.681423,-41.411583,397.448608,-6.703942,-79.971031,390.635284
39,0.325,35.8834055,19.204669000000003,418.961945,24.0208205,0.879527,397.5928805,37.4102115,-22.877717,396.4582825,22.759632,-41.511709499999995,383.828232,34.0598985,-63.656002,386.0182035,19.1666335,-80.54982749999999,375.0028835,-0.2946315,-4.661916,410.28472899999997,-1.6779375,-41.407292999999996,397.4299165,-6.7018795,-79.9711875,390.630188
41,0.3416666666666667,35.885044,19.207958,418.960876,24.020618,0.881952,397.586334,37.4128,-22.875515,396.457794,22.760077,-41.505592,383.827515,34.059216,-63.653976,386.023529,19.167675,-80.551445,374.999115,-0.295329,-4.657411,410.281921,-1.677627,-41.403633,397.437469,-6.704043,-79.969833,390.633636
42,0.35,35.883197499999994,19.2060575,418.9585875,24.01977,0.878862,397.5899965,37.40938,-22.8775245,396.4594575,22.7588425,-41.5093825,383.826691,34.05978,-63.655556000000004,386.023468,19.1669835,-80.549297,374.99971,-0.2966975,-4.6601205,410.281647,-1.6779264999999999,-41.40620800000001,397.434311,-6.7039145,-79.96827300000001,390.6319275
44,0.36666666666666664,35.883789,19.206306,418.957886,24.019291,0.879528,397.592621,37.408943,-22.878321,396.46051,22.759697,-41.509899,383.826111,34.061707,-63.656876,386.02536,19.16996,-80.552208,375.00412,-0.295728,-4.659727,410.279144,-1.676937,-41.407066,397.430878,-6.703012,-79.969048,390.631805
45,0.375,35.8848075,19.207064,418.9585875,24.0207165,0.877373,397.5871125,37.4111805,-22.876793,396.46295150000003,22.7600825,-41.510391,383.8295445,34.061077,-63.6546095,386.0191345,19.167943,-80.548851,375.0004275,-0.294574,-4.6609549999999995,410.28060949999997,-1.6785015,-41.4047925,397.43075550000003,-6.701045499999999,-79.97176350000001,390.6294255
47,0.39166666666666666,35.882996,19.206364,418.955994,24.020937,0.88091,397.591583,37.411709,-22.877476,396.466095,22.758644,-41.51078,383.821899,34.061394,-63.654102,386.020996,19.167187,-80.548058,375.001038,-0.297001,-4.66,410.282837,-1.677391,-41.405155,397.441223,-6.701757,-79.967163,390.628021
48,0.4,35.883356,19.205827,418.9585725,24.0199405,0.878613,397.594223,37.410365999999996,-22.87833,396.460724,22.759388,-41.510679499999995,383.82612600000004,34.0594745,-63.655778999999995,386.01821900000004,19.168626,-80.54970900000001,375.00338750000003,-0.2963885,-4.662122,410.278992,-1.678052,-41.406923500000005,397.43129,-6.703125,-79.9699745,390.6325685
50,0.4166666666666667,35.882141,19.204292,418.956543,24.020052,0.88017,397.592712,37.410847,-22.877001,396.458313,22.759447,-41.511829,383.830627,34.060951,-63.657612,386.018372,19.16732,-80.551315,375.008118,-0.296635,-4.661856,410.279633,-1.681509,-41.406689,397.429199,-6.701393,-79.969543,390.62027
