Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,20.6413185,34.0715485,419.94782999999995,10.191969,14.7972295,398.63806150000005,24.668076499999998,-8.284967,398.0369565,11.144445000000001,-27.8310185,385.45689400000003,23.456582,-49.245977499999995,388.09110999999996,9.6386295,-66.99471650000001,377.171463,-14.0136645,8.242989999999999,410.9447175,-13.410537999999999,-28.769378,398.838257,-16.418219,-67.561714,392.4322355
2,0.016666666666666666,20.643353,34.073494,419.960388,10.192909,14.795742,398.629974,24.666784,-8.285382,398.034454,11.144361,-27.830967,385.455322,23.45649,-49.244694,388.088196,9.638886,-66.992058,377.168915,-14.013453,8.245071,410.943512,-13.410131,-28.767843,398.829651,-16.417419,-67.56263,392.431976
3,0.025,20.6410475,34.071512,419.953125,10.192612,14.7966985,398.6355285,24.6682405,-8.285187,398.041016,11.144432,-27.8313065,385.4478305,23.4560585,-49.244930499999995,388.09060650000004,9.637253000000001,-66.99337,377.1734315,-14.0123155,8.2430375,410.944336,-13.4103885,-28.7686575,398.83592250000004,-16.416576,-67.562115,392.4330295
5,0.041666666666666664,20.641191,34.072365,419.956909,10.194044,14.797428,398.639465,24.667767,-8.282595,398.034302,11.144295,-27.829254,385.454376,23.456703,-49.24477,388.086792,9.639014,-66.995514,377.1763,-14.013121,8.243608,410.937469,-13.410574,-28.770811,398.833405,-16.417421,-67.563538,392.433716
6,0.05,20.641658,34.071512,419.951889,10.1934035,14.796529,398.635437,24.667809499999997,-8.283269,398.037277,11.1442255,-27.830595,385.457123,23.456377,-49.246410499999996,388.085663,9.637008000000002,-66.996353,377.1754915,-14.0145995,8.243428999999999,410.9412995,-13.409455999999999,-28.769803000000003,398.8331295,-16.4177455,-67.564194,392.4358215
8,0.06666666666666667,20.643688,34.072586,419.958649,10.192917,14.798931,398.63974,24.667187,-8.282106,398.035645,11.145056,-27.829792,385.448792,23.45553,-49.245499,388.088165,9.636179,-66.991997,377.172302,-14.013085,8.245036,410.954254,-13.40989,-28.768898,398.837891,-16.416479,-67.560226,392.424896
9,0.075,20.641119000000003,34.072708000000006,419.950073,10.192912,14.797865999999999,398.6369475,24.666458499999997,-8.281864500000001,398.0330965,11.143768999999999,-27.8296615,385.45152299999995,23.454688,-49.2436005,388.08644100000004,9.6354245,-66.992695,377.16967750000003,-14.0139745,8.246635000000001,410.94207800000004,-13.4092595,-28.769533000000003,398.8349915,-16.417642,-67.558678,392.4282835
11,0.09166666666666666,20.641491,34.071796,419.949951,10.193291,14.796212,398.635193,24.668152,-8.281933,398.034241,11.14492,-27.829075,385.451904,23.454517,-49.24295,388.087585,9.636101,-66.990753,377.165741,-14.012187,8.244111,410.939819,-13.411419,-28.769196,398.834106,-16.4151,-67.559525,392.426727
12,0.1,20.6420855,34.070758999999995,419.954254,10.1929685,14.7966915,398.63648950000004,24.667163000000002,-8.282484,398.0346985,11.144602500000001,-27.8291455,385.44949299999996,23.45619,-49.2448675,388.0885315,9.6371295,-66.99284,377.16755650000005,-14.0127975,8.2433895,410.944122,-13.4103805,-28.768434499999998,398.8336795,-16.417351500000002,-67.559807,392.4272915
14,0.11666666666666667,20.641806,34.071762,419.954498,10.193073,14.798192,398.639618,24.669003,-8.283697,398.033112,11.142761,-27.828751,385.44989,23.456213,-49.244534,388.083282,9.638092,-66.992599,377.173645,-14.012167,8.245644,410.945709,-13.410384,-28.769142,398.84021,-16.414665,-67.560776,392.430359
15,0.125,20.642826,34.07155,419.9531865,10.194122499999999,14.7977655,398.6305235,24.66654,-8.2828975,398.0313415,11.1460425,-27.8305625,385.4490505,23.4562035,-49.2426165,388.08429,9.637644000000002,-66.9908025,377.1702575,-14.011936500000001,8.245408,410.93855299999996,-13.41024,-28.7702285,398.84191899999996,-16.4181165,-67.5610165,392.435959
17,0.14166666666666666,20.643953,34.073536,419.952972,10.192636,14.797688,398.630096,24.66659,-8.284681,398.034943,11.146126,-27.829836,385.456268,23.455349,-49.244736,388.082275,9.637951,-66.993729,377.167511,-14.013369,8.243569,410.940582,-13.408913,-28.770964,398.836975,-16.416595,-67.56134,392.425323
18,0.15,20.642313,34.07073,419.95193500000005,10.193341,14.796409,398.6383975,24.666923500000003,-8.2810575,398.0361785,11.1445705,-27.829072,385.4529725,23.455553000000002,-49.244170999999994,388.0852355,9.636858,-66.9939385,377.1691585,-14.0142425,8.2444215,410.94184900000005,-13.412064,-28.7689885,398.83139,-16.4161765,-67.5597305,392.427734
20,0.16666666666666666,20.642368,34.071842,419.949799,10.193027,14.797651,398.638824,24.667398,-8.282049,398.032532,11.143987,-27.828722,385.453186,23.455881,-49.244156,388.084869,9.638027,-66.992935,377.171112,-14.0144,8.244879,410.940735,-13.409116,-28.768328,398.8284,-16.418268,-67.559029,392.426392
21,0.175,20.641875,34.0724565,419.952789,10.193132,14.7997945,398.6368255,24.6677635,-8.283057,398.033615,11.144958500000001,-27.830075,385.454071,23.456194,-49.243229,388.0844725,9.638784999999999,-66.9912185,377.1697995,-14.012599,8.245455499999998,410.938049,-13.410718,-28.769136500000002,398.829483,-16.417332000000002,-67.5600925,392.429123
23,0.19166666666666665,20.641287,34.072449,419.954468,10.192814,14.797699,398.63797,24.66643,-8.28336,398.035889,11.146646,-27.82926,385.452942,23.456352,-49.241871,388.085876,9.637405,-66.992172,377.16684,-14.012498,8.244335,410.943634,-13.408607,-28.768656,398.830719,-16.414709,-67.559151,392.425262
24,0.2,20.6414985,34.0719645,419.951996,10.192707500000001,14.7984455,398.640961,24.6671775,-8.282614500000001,398.036957,11.145240000000001,-27.8294945,385.45529150000004,23.4570315,-49.242649,388.0841825,9.6396765,-66.991619,377.16755650000005,-14.01309,8.244588,410.944992,-13.4098115,-28.768121999999998,398.83432,-16.416545499999998,-67.560192,392.42686449999997
26,0.21666666666666667,20.640966,34.070602,419.955719,10.191744,14.796556,398.637512,24.668169,-8.284232,398.03479,11.145995,-27.829313,385.452301,23.4585,-49.245392,388.087128,9.637892,-66.991348,377.165558,-14.012104,8.24343,410.947754,-13.409403,-28.768667,398.836121,-16.416113,-67.562317,392.429108
27,0.225,20.641753,34.072632,419.952942,10.193551,14.797218999999998,398.6333165,24.6679175,-8.283319,398.03175350000004,11.1445225,-27.830176,385.450714,23.457304,-49.243202499999995,388.0866855,9.6397195,-66.9920275,377.1709745,-14.012278,8.245037499999999,410.940155,-13.411200000000001,-28.769272,398.82989499999996,-16.414283,-67.55955900000001,392.427887
29,0.24166666666666667,20.643154,34.072567,419.950623,10.194829,14.799126,398.637878,24.667343,-8.281505,398.03479,11.145308,-27.827549,385.454163,23.455841,-49.243458,388.084747,9.638038,-66.991386,377.167938,-14.01295,8.243572,410.937744,-13.407915,-28.767052,398.832489,-16.416981,-67.559555,392.424438
30,0.25,20.6408765,34.0744175,419.95378100000005,10.191727,14.799087499999999,398.6360015,24.666602,-8.281637,398.035141,11.144807,-27.8296385,385.45245350000005,23.455924,-49.243679,388.084549,9.637865999999999,-66.994053,377.171585,-14.012806000000001,8.2458625,410.936264,-13.4094645,-28.770405,398.8370665,-16.418318,-67.561764,392.43220499999995
32,0.26666666666666666,20.643255,34.072231,419.960754,10.191298,14.797279,398.641602,24.667032,-8.282465,398.036041,11.144387,-27.829533,385.454407,23.454075,-49.245464,388.08197,9.637226,-66.996346,377.171539,-14.013425,8.243533,410.94632,-13.411112,-28.768162,398.82962,-16.419846,-67.562096,392.437164
33,0.275,20.642312,34.073227,419.95158349999997,10.1931765,14.7976175,398.6397095,24.667965,-8.283309,398.03501900000003,11.1459405,-27.830593999999998,385.4505765,23.4556715,-49.244564,388.08845499999995,9.6369825,-66.9920655,377.172058,-14.0128535,8.243337,410.94114649999995,-13.41094,-28.7686865,398.8317715,-16.418128,-67.5615535,392.433533
35,0.2916666666666667,20.6401,34.072235,419.951294,10.19241,14.798309,398.638,24.66853,-8.280946,398.035004,11.144647,-27.82793,385.45343,23.454027,-49.241299,388.081848,9.637362,-66.989937,377.168457,-14.013933,8.247567,410.936218,-13.410797,-28.765982,398.833588,-16.418737,-67.559975,392.428589
36,0.3,20.6414205,34.070772000000005,419.953842,10.1932705,14.7960465,398.6379395,24.666859,-8.283955,398.0348355,11.1454555,-27.8302335,385.451721,23.456091,-49.243391,388.08114650000005,9.6390375,-66.994461,377.171112,-14.013317,8.243353500000001,410.9477845,-13.4099455,-28.769964,398.8344875,-16.419629,-67.561966,392.4284825
