Format Version,1.24,Take Name,Take 2025-02-24 08.41.33 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-24 08.41.34.183 下午,Capture Start Frame,3007193,Total Frames in Take,7172,Total Exported Frames,7172,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Unlabeled 1927,Unlabeled 1927,Unlabeled 1927,Unlabeled 1928,Unlabeled 1928,Unlabeled 1928,Unlabeled 1929,Unlabeled 1929,Unlabeled 1929,Unlabeled 1930,Unlabeled 1930,Unlabeled 1930,Unlabeled 1931,Unlabeled 1931,Unlabeled 1931,Unlabeled 1932,Unlabeled 1932,Unlabeled 1932,Unlabeled 1933,Unlabeled 1933,Unlabeled 1933,Unlabeled 1934,Unlabeled 1934,Unlabeled 1934,Unlabeled 1935,Unlabeled 1935,Unlabeled 1935
,ID,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,"AD8D6B63F2AC11EF4D75BD014E00259A","AD8D6B63F2AC11EF4D75BD014E00259A","AD8D6B63F2AC11EF4D75BD014E00259A","AD8D6B62F2AC11EF4D75BD014E00259A","AD8D6B62F2AC11EF4D75BD014E00259A","AD8D6B62F2AC11EF4D75BD014E00259A","AD8D6B64F2AC11EF4D75BD014E00259A","AD8D6B64F2AC11EF4D75BD014E00259A","AD8D6B64F2AC11EF4D75BD014E00259A","16F2F0F692E6EF7911EF","16F2F0F692E6EF7911EF","16F2F0F692E6EF7911EF","16F3F0F692E6EF7911EF","16F3F0F692E6EF7911EF","16F3F0F692E6EF7911EF","16F4F0F692E6EF7911EF","16F4F0F692E6EF7911EF","16F4F0F692E6EF7911EF","16F5F0F692E6EF7911EF","16F5F0F692E6EF7911EF","16F5F0F692E6EF7911EF","16F6F0F692E6EF7911EF","16F6F0F692E6EF7911EF","16F6F0F692E6EF7911EF","16F7F0F692E6EF7911EF","16F7F0F692E6EF7911EF","16F7F0F692E6EF7911EF","16F8F0F692E6EF7911EF","16F8F0F692E6EF7911EF","16F8F0F692E6EF7911EF","16F9F0F692E6EF7911EF","16F9F0F692E6EF7911EF","16F9F0F692E6EF7911EF","16FAF0F692E6EF7911EF","16FAF0F692E6EF7911EF","16FAF0F692E6EF7911EF"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.006130,-0.000748,0.028297,0.999581,-11.737659,129.075729,460.919312,-20.695671,110.419518,451.261078,-20.448002,139.911911,458.289764,5.930693,136.895813,473.207214,-20.707209,110.428101,451.256592,-20.463736,139.892471,458.276794,5.959473,136.906235,473.224609,-6.342455,-67.423149,392.723419,-3.210610,-28.610851,398.937103,-3.563667,8.391956,411.145477,19.380505,-66.863487,376.878357,21.058929,-27.693491,385.110870,20.388403,14.951510,398.321014,31.269503,34.253113,419.419281,33.443874,-49.111118,387.518677,34.853058,-8.131959,397.391754
1,0.008333,-0.006140,-0.000738,0.028270,0.999581,-11.736859,129.075439,460.923431,-20.696062,110.419502,451.265747,-20.446669,139.912018,458.293823,5.932151,136.894836,473.210815,-20.707451,110.427139,451.261261,-20.461044,139.894272,458.281677,5.958919,136.904770,473.228699,-6.342418,-67.424217,392.708252,-3.209968,-28.614031,398.940735,-3.562154,8.391066,411.143524,19.384417,-66.866631,376.887817,21.060472,-27.695473,385.109863,20.388374,14.946849,398.323486,31.268131,34.250988,419.412079,33.445904,-49.108799,387.516205,34.855762,-8.130321,397.396698
2,0.016667,-0.006027,-0.000778,0.028376,0.999579,-11.737748,129.075623,460.921692,-20.692289,110.419983,451.259125,-20.449663,139.910950,458.293915,5.928704,136.895950,473.212158,-20.706503,110.423225,451.251373,-20.464294,139.894821,458.281586,5.958025,136.908920,473.232574,-6.342637,-67.424370,392.729279,-3.209229,-28.614447,398.942200,-3.561253,8.387721,411.145050,19.379875,-66.865097,376.880768,21.060982,-27.699018,385.111481,20.387381,14.949513,398.319427,31.268347,34.254036,419.414062,33.444668,-49.112877,387.521332,34.852268,-8.128679,397.394196
3,0.025000,-0.006067,-0.000703,0.028336,0.999580,-11.737860,129.075729,460.919037,-20.695305,110.420013,451.259308,-20.449299,139.911545,458.291626,5.931021,136.895706,473.206207,-20.708603,110.425591,451.253784,-20.462940,139.894775,458.279175,5.958592,136.906952,473.224030,-6.345068,-67.423782,392.715790,-3.210337,-28.613981,398.940857,-3.563281,8.389943,411.145752,19.378372,-66.859726,376.876404,21.059427,-27.697754,385.117401,20.387552,14.951330,398.322571,31.265680,34.256989,419.417694,33.443897,-49.111252,387.522797,34.852444,-8.128475,397.397308
4,0.033333,-0.006036,-0.000737,0.028313,0.999581,-11.736397,129.077072,460.921448,-20.694096,110.422386,451.259979,-20.447151,139.913467,458.294159,5.932054,136.895416,473.210266,-20.707800,110.428452,451.253845,-20.461596,139.895645,458.281433,5.961372,136.907608,473.230804,-6.341744,-67.421410,392.721313,-3.208133,-28.610722,398.938416,-3.561144,8.391281,411.137665,19.379719,-66.862259,376.878265,21.060513,-27.697218,385.108795,20.388329,14.951431,398.318970,31.267132,34.257137,419.411346,33.446144,-49.111042,387.525726,34.854729,-8.129100,397.394470
5,0.041667,-0.006217,-0.000857,0.028260,0.999581,-11.736203,129.078339,460.924347,-20.693405,110.421158,451.267242,-20.445168,139.914703,458.291016,5.929962,136.899200,473.214905,-20.706905,110.428856,451.262482,-20.461147,139.895065,458.276184,5.960049,136.911423,473.236084,-6.342052,-67.421265,392.721191,-3.208911,-28.610880,398.935791,-3.560767,8.393185,411.138458,19.379972,-66.862564,376.884125,21.060143,-27.697033,385.111389,20.389463,14.952078,398.323395,31.267076,34.255684,419.418762,33.447399,-49.109871,387.525574,34.855217,-8.129108,397.391541
