timestamp,sensor_id,w,x,y,z
20:41:42.557926,1,1.0,0.0,-0.0,0.03
20:41:42.557926,2,1.0,-0.0,0.0,-0.08
20:41:49.178098,2,1.0,0.0,0.0,-0.0
20:41:49.247329,2,1.0,0.0,0.0,-0.0
20:41:49.304920,1,1.0,0.0,0.0,-0.0
20:41:49.316774,2,1.0,0.0,0.0,-0.0
20:41:49.374516,1,1.0,0.0,0.0,-0.0
20:41:49.386364,2,1.0,0.0,0.0,-0.0
20:41:49.443805,1,1.0,0.0,0.0,-0.0
20:41:49.456676,2,1.0,0.0,0.0,-0.0
20:41:49.514068,1,1.0,0.0,0.0,-0.0
20:41:49.525895,2,1.0,0.0,0.0,-0.0
20:41:49.583337,1,1.0,0.0,0.0,-0.0
20:41:49.595143,2,1.0,0.0,0.0,-0.0
20:41:49.652719,1,1.0,0.0,0.0,-0.0
20:41:49.722854,1,1.0,0.0,0.0,-0.0
20:41:50.087375,2,1.0,0.0,0.0,-0.0
20:41:50.143852,1,1.0,0.0,0.0,-0.0
20:41:50.156896,2,1.0,0.0,0.0,-0.0
20:41:50.213657,1,1.0,0.0,0.0,-0.0
20:41:50.226546,2,1.0,0.0,0.0,-0.0
20:41:50.284115,1,1.0,0.0,0.0,-0.0
20:41:50.295971,2,1.0,0.0,0.0,-0.0
20:41:50.353335,1,1.0,0.0,0.0,-0.0
20:41:50.365173,2,1.0,0.0,0.0,-0.0
20:41:50.422813,1,1.0,0.0,0.0,-0.0
20:41:50.435729,2,1.0,0.0,0.0,-0.0
20:41:50.492918,1,1.0,0.0,0.0,-0.0
20:41:50.504662,2,1.0,0.0,0.0,-0.0
20:41:50.562087,1,1.0,0.0,0.0,-0.0
20:41:50.574044,2,1.0,0.0,0.0,-0.0
20:41:50.996362,2,1.0,0.0,0.0,-0.0
20:41:51.053934,1,1.0,0.0,0.0,-0.0
20:41:51.065932,2,1.0,0.0,0.0,-0.0
20:41:51.123630,1,1.0,0.0,0.0,-0.0
20:41:51.135428,2,1.0,0.0,0.0,-0.0
20:41:51.192753,1,1.0,0.0,0.0,-0.0
20:41:51.205577,2,1.0,0.0,0.0,-0.0
20:41:51.262931,1,1.0,0.0,0.0,-0.0
20:41:51.274803,2,1.0,0.0,0.0,-0.0
20:41:51.332294,1,1.0,0.0,0.0,-0.0
20:41:51.344182,2,1.0,0.0,0.0,-0.0
20:41:51.401765,1,1.0,0.0,0.0,-0.0
20:41:51.413737,2,1.0,0.0,0.0,-0.0
20:41:51.483433,2,1.0,0.0,0.0,-0.0
20:41:51.893003,1,1.0,0.0,0.0,-0.0
20:41:51.962586,1,1.0,0.0,0.0,-0.0
20:41:51.975525,2,1.0,0.0,0.0,-0.0
20:41:52.032915,1,1.0,0.0,0.0,-0.0
20:41:52.044667,2,1.0,0.0,0.0,-0.0
20:41:52.101773,1,1.0,0.0,0.0,-0.0
20:41:52.114571,2,1.0,0.0,0.0,-0.0
20:41:52.171881,1,1.0,0.0,0.0,-0.0
20:41:52.183871,2,1.0,0.0,0.0,-0.0
20:41:52.241239,1,1.0,0.0,0.0,-0.0
20:41:52.254291,2,1.0,0.0,0.0,-0.0
20:41:52.323615,2,1.0,0.0,0.0,-0.0
20:41:52.392995,2,1.0,0.0,-0.0,-0.0
20:41:52.462144,2,1.0,0.01,-0.0,-0.0
20:41:52.732874,1,1.0,-0.06,-0.01,-0.01
20:41:52.803141,1,1.0,-0.09,-0.01,-0.01
20:41:52.872655,1,0.99,-0.11,-0.02,-0.01
20:41:52.884498,2,1.0,0.09,-0.0,0.02
20:41:52.942033,1,0.99,-0.11,-0.02,-0.02
20:41:52.953837,2,1.0,0.09,-0.0,0.02
20:41:53.011725,1,0.99,-0.11,-0.02,-0.02
20:41:53.023592,2,1.0,0.09,-0.01,0.03
20:41:53.081310,1,0.99,-0.1,-0.02,-0.0
20:41:53.093078,2,1.0,0.09,-0.01,0.03
20:41:53.163527,2,1.0,0.07,-0.0,0.04
20:41:53.232856,2,1.0,0.06,-0.0,0.04
20:41:53.302151,2,1.0,0.05,-0.0,0.05
