Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,31.268817,34.252050499999996,419.41568,20.388388499999998,14.9491795,398.32225,34.85441,-8.13114,397.394226,21.059700499999998,-27.694482,385.1103665,33.444889,-49.1099585,387.517441,19.382461,-66.865059,376.883087,-3.5629105,8.391511000000001,411.14450050000005,-3.210289,-28.612441,398.938919,-6.3424365,-67.423683,392.7158355
2,0.016666666666666666,31.268347,34.254036,419.414062,20.387381,14.949513,398.319427,34.852268,-8.128679,397.394196,21.060982,-27.699018,385.111481,33.444668,-49.112877,387.521332,19.379875,-66.865097,376.880768,-3.561253,8.387721,411.14505,-3.209229,-28.614447,398.9422,-6.342637,-67.42437,392.729279
3,0.025,31.266406,34.257063,419.41452,20.3879405,14.951380499999999,398.3207705,34.8535865,-8.1287875,397.395889,21.05997,-27.697485999999998,385.113098,33.4450205,-49.111147,387.5242615,19.3790455,-66.8609925,376.87733449999996,-3.5622125000000002,8.390612,411.14170850000005,-3.209235,-28.6123515,398.9396365,-6.343406,-67.422596,392.7185515
5,0.041666666666666664,31.267076,34.255684,419.418762,20.389463,14.952078,398.323395,34.855217,-8.129108,397.391541,21.060143,-27.697033,385.111389,33.447399,-49.109871,387.525574,19.379972,-66.862564,376.884125,-3.560767,8.393185,411.138458,-3.208911,-28.61088,398.935791,-6.342052,-67.421265,392.721191
6,0.05,31.265626,34.253958,419.406586,20.387462499999998,14.950752000000001,398.3216555,34.8531495,-8.1290275,397.391922,21.0609685,-27.696359,385.112549,33.4442405,-49.112491500000004,387.52430749999996,19.378931,-66.86539450000001,376.880936,-3.561588,8.391623,411.1439055,-3.209439,-28.612732,398.940018,-6.3414095,-67.4236675,392.7203825
8,0.06666666666666667,31.2666,34.254303,419.410645,20.387766,14.953418,398.321106,34.850903,-8.128427,397.388794,21.058701,-27.696569,385.114288,33.444492,-49.109951,387.52359,19.378962,-66.864037,376.877686,-3.561017,8.393526,411.1474,-3.209095,-28.610842,398.939606,-6.343584,-67.422707,392.713531
9,0.075,31.2674905,34.255032,419.41864050000004,20.387815500000002,14.951044,398.3210605,34.854212000000004,-8.1298995,397.393799,21.059883,-27.696373,385.112793,33.4448545,-49.1092185,387.52275050000003,19.3810585,-66.863888,376.884445,-3.5619655,8.391198,411.145035,-3.2101915,-28.612090000000002,398.9418795,-6.3443695,-67.42462549999999,392.71884150000005
11,0.09166666666666666,31.267229,34.252686,419.40918,20.387535,14.946612,398.320587,34.852947,-8.132098,397.391937,21.059937,-27.7006,385.118896,33.444416,-49.110832,387.520569,19.379108,-66.864616,376.879364,-3.562905,8.391435,411.144989,-3.210925,-28.614353,398.936615,-6.345927,-67.425224,392.711395
12,0.1,31.268572499999998,34.254999,419.415024,20.387552,14.950867500000001,398.320282,34.8526995,-8.130164,397.395218,21.060032,-27.69497,385.1116945,33.445359999999994,-49.11092,387.52151449999997,19.38112,-66.863098,376.8837735,-3.5631135,8.390004000000001,411.14599599999997,-3.209421,-28.6115155,398.941101,-6.3426895000000005,-67.4231795,392.7198335
14,0.11666666666666667,31.266329,34.251892,419.416016,20.387661,14.947909,398.320251,34.85202,-8.129857,397.394348,21.06024,-27.693541,385.110168,33.44556,-49.109222,387.523529,19.38093,-66.862961,376.877167,-3.561313,8.389741,411.149078,-3.208484,-28.610739,398.942352,-6.343101,-67.424568,392.720734
