Format Version,1.24,Take Name,Take 2025-02-24 08.47.50 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-24 08.47.50.430 下午,Capture Start Frame,3052347,Total Frames in Take,8217,Total Exported Frames,8217,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Unlabeled 1987,Unlabeled 1987,Unlabeled 1987,Unlabeled 1988,Unlabeled 1988,Unlabeled 1988,Unlabeled 1989,Unlabeled 1989,Unlabeled 1989,Unlabeled 1990,Unlabeled 1990,Unlabeled 1990,Unlabeled 1991,Unlabeled 1991,Unlabeled 1991,Unlabeled 1992,Unlabeled 1992,Unlabeled 1992,Unlabeled 1993,Unlabeled 1993,Unlabeled 1993,Unlabeled 1994,Unlabeled 1994,Unlabeled 1994,Unlabeled 1995,Unlabeled 1995,Unlabeled 1995
,ID,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,A3C7983AF28111EF4D75BD014E00259A,"8DD03A8CF2AD11EF4D75BD014E00259A","8DD03A8CF2AD11EF4D75BD014E00259A","8DD03A8CF2AD11EF4D75BD014E00259A","8DD03A8BF2AD11EF4D75BD014E00259A","8DD03A8BF2AD11EF4D75BD014E00259A","8DD03A8BF2AD11EF4D75BD014E00259A","8DD03A8DF2AD11EF4D75BD014E00259A","8DD03A8DF2AD11EF4D75BD014E00259A","8DD03A8DF2AD11EF4D75BD014E00259A","16F2F0F692E6EF7911EF","16F2F0F692E6EF7911EF","16F2F0F692E6EF7911EF","16F3F0F692E6EF7911EF","16F3F0F692E6EF7911EF","16F3F0F692E6EF7911EF","16F4F0F692E6EF7911EF","16F4F0F692E6EF7911EF","16F4F0F692E6EF7911EF","16F5F0F692E6EF7911EF","16F5F0F692E6EF7911EF","16F5F0F692E6EF7911EF","16F6F0F692E6EF7911EF","16F6F0F692E6EF7911EF","16F6F0F692E6EF7911EF","16F7F0F692E6EF7911EF","16F7F0F692E6EF7911EF","16F7F0F692E6EF7911EF","16F8F0F692E6EF7911EF","16F8F0F692E6EF7911EF","16F8F0F692E6EF7911EF","16F9F0F692E6EF7911EF","16F9F0F692E6EF7911EF","16F9F0F692E6EF7911EF","16FAF0F692E6EF7911EF","16FAF0F692E6EF7911EF","16FAF0F692E6EF7911EF"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.005498,-0.009032,0.028214,0.999546,-37.264194,109.498505,464.479797,-46.062244,90.859703,454.642578,-45.929375,120.339867,461.725403,-19.800964,117.295975,477.071533,-46.072636,90.872993,454.641174,-45.950138,120.318085,461.707550,-19.769152,117.304062,477.091431,-30.823219,-86.962311,396.262329,-27.769165,-48.094418,402.574860,-28.315956,-11.144222,414.735718,-4.847716,-86.462440,380.783600,-3.253692,-47.204796,389.065796,-4.182870,-4.564692,402.224823,6.430382,14.735150,423.616180,9.101949,-68.676132,391.668335,10.357307,-27.631378,401.597260
1,0.008333,-0.005452,-0.008908,0.028239,0.999547,-37.264362,109.502075,464.476898,-46.063980,90.863686,454.640259,-45.930771,120.343246,461.725586,-19.798342,117.299339,477.064880,-46.073330,90.880020,454.638336,-45.950882,120.319191,461.707611,-19.768705,117.306755,477.084778,-30.829531,-86.964523,396.276398,-27.770281,-48.090199,402.568665,-28.316387,-11.143132,414.737793,-4.852349,-86.470467,380.786713,-3.257769,-47.202293,389.055573,-4.184514,-4.563077,402.230988,6.428680,14.741514,423.616241,9.097230,-68.681717,391.669495,10.357240,-27.626560,401.600128
2,0.016667,-0.005385,-0.008942,0.028237,0.999547,-37.265266,109.501915,464.478210,-46.064285,90.864868,454.638519,-45.931480,120.343468,461.727844,-19.800039,117.297440,477.068390,-46.074005,90.879570,454.636108,-45.951248,120.320107,461.710449,-19.770561,117.304832,477.089508,-30.831417,-86.963417,396.279449,-27.772139,-48.092293,402.576538,-28.316502,-11.141063,414.738739,-4.855593,-86.471245,380.793518,-3.259677,-47.206547,389.054047,-4.184624,-4.560841,402.231232,6.427236,14.740247,423.618958,9.098046,-68.682083,391.680969,10.354937,-27.630308,401.599060
3,0.025000,-0.005424,-0.009056,0.028245,0.999545,-37.266495,109.504730,464.480469,-46.062943,90.866837,454.640076,-45.932251,120.345947,461.727325,-19.804289,117.301445,477.074097,-46.074581,90.881096,454.636292,-45.952557,120.321732,461.708984,-19.772024,117.311172,477.096313,-30.836140,-86.964302,396.285645,-27.775015,-48.093441,402.575195,-28.316574,-11.141996,414.735321,-4.859493,-86.469711,380.799438,-3.261327,-47.214787,389.070068,-4.184893,-4.566513,402.230560,6.428803,14.742570,423.615753,9.090833,-68.685379,391.686218,10.355241,-27.639235,401.609924
4,0.033333,-0.005524,-0.009108,0.028238,0.999545,-37.265858,109.503235,464.475342,-46.061516,90.863541,454.637634,-45.931145,120.344040,461.719116,-19.804920,117.302147,477.069336,-46.072887,90.876556,454.633453,-45.951344,120.320305,461.700043,-19.772511,117.311310,477.090454,-30.839325,-86.970650,396.293182,-27.777058,-48.100258,402.586700,-28.318727,-11.145722,414.741699,-4.862716,-86.469696,380.808838,-3.266837,-47.222168,389.068665,-4.184482,-4.575065,402.229095,6.429657,14.734225,423.608490,9.084002,-68.688927,391.689575,10.352913,-27.646936,401.605621
5,0.041667,-0.005373,-0.009161,0.028284,0.999543,-37.268250,109.498154,464.480408,-46.061134,90.860596,454.636200,-45.934315,120.338959,461.726593,-19.809307,117.294937,477.078491,-46.076443,90.870758,454.629089,-45.953026,120.314987,461.709473,-19.774752,117.308701,477.103027,-30.844997,-86.973946,396.302460,-27.786661,-48.110195,402.585846,-28.320673,-11.153860,414.748871,-4.866495,-86.478386,380.819336,-3.272137,-47.227291,389.074371,-4.186756,-4.590156,402.237579,6.429794,14.724934,423.607147,9.081126,-68.694229,391.698517,10.347958,-27.659544,401.610504
6,0.050000,-0.005355,-0.009107,0.028298,0.999544,-37.269417,109.493797,464.481537,-46.062908,90.856354,454.637634,-45.936066,120.334473,461.729065,-19.809280,117.290611,477.077972,-46.078632,90.863014,454.629547,-45.953533,120.313576,461.713409,-19.775501,117.304909,477.102142,-30.847916,-86.979576,396.307404,-27.790653,-48.115749,402.579590,-28.324390,-11.160858,414.745483,-4.871754,-86.483383,380.817993,-3.276638,-47.234673,389.092072,-4.188902,-4.602023,402.241638,6.425982,14.717836,423.614349,9.075606,-68.703064,391.705536,10.343956,-27.667618,401.618408
7,0.058333,-0.005441,-0.009185,0.028241,0.999544,-37.267601,109.490181,464.479706,-46.061619,90.852081,454.637512,-45.932568,120.331383,461.724030,-19.808613,117.287117,477.077667,-46.074818,90.861801,454.631470,-45.952930,120.309959,461.705139,-19.773602,117.298683,477.102020,-30.853600,-86.983658,396.309265,-27.794867,-48.126518,402.593262,-28.324686,-11.165392,414.756897,-4.874671,-86.496017,380.830444,-3.280467,-47.239971,389.097046,-4.190542,-4.610780,402.244324,6.428709,14.712272,423.608063,9.074166,-68.709633,391.717072,10.341397,-27.676188,401.620056
8,0.066667,-0.005329,-0.009148,0.028273,0.999544,-37.267506,109.491013,464.484131,-46.061085,90.854523,454.638519,-45.933411,120.332260,461.731567,-19.808031,117.286293,477.082397,-46.076229,90.860191,454.630432,-45.953197,120.313171,461.714935,-19.772438,117.299789,477.107483,-30.854029,-86.987907,396.319000,-27.791609,-48.122803,402.598328,-28.323210,-11.164829,414.745270,-4.877395,-86.499077,380.837097,-3.282015,-47.247028,389.097260,-4.186973,-4.608671,402.235107,6.428153,14.710705,423.613434,9.071256,-68.715454,391.727173,10.342211,-27.679708,401.620819
9,0.075000,-0.005396,-0.009214,0.028266,0.999543,-37.265991,109.499893,464.483551,-46.058506,90.862251,454.639160,-45.931362,120.340904,461.728394,-19.808105,117.296570,477.083191,-46.071983,90.873955,454.633362,-45.952072,120.318756,461.708740,-19.772850,117.309601,477.107452,-30.859312,-86.986816,396.329102,-27.794643,-48.123505,402.595245,-28.321306,-11.161876,414.744965,-4.882409,-86.504524,380.850189,-3.281263,-47.251324,389.102844,-4.187919,-4.606312,402.233490,6.431735,14.720816,423.615662,9.068565,-68.721611,391.728302,10.342723,-27.681868,401.614319
10,0.083333,-0.005551,-0.009373,0.028116,0.999545,-37.264641,109.504204,464.482727,-46.059570,90.866264,454.641052,-45.925838,120.347008,461.721466,-19.808523,117.299362,477.085754,-46.074383,90.882835,454.635956,-45.949215,120.317520,461.699860,-19.769842,117.311996,477.112701,-30.863411,-86.986595,396.339264,-27.794531,-48.125080,402.598358,-28.321218,-11.157278,414.743073,-4.888910,-86.509911,380.861511,-3.284280,-47.256241,389.096130,-4.186546,-4.602404,402.235657,6.430457,14.724295,423.608276,9.064176,-68.725853,391.742371,10.342735,-27.680208,401.618042
11,0.091667,-0.005664,-0.008975,0.028142,0.999548,-37.262924,109.501526,464.479706,-46.064751,90.860756,454.649597,-45.926807,120.343246,461.722656,-19.797222,117.300613,477.066986,-46.073051,90.876900,454.649567,-45.948799,120.319237,461.704895,-19.766544,117.306343,477.083954,-30.872732,-86.999176,396.369049,-27.796806,-48.125919,402.596252,-28.320265,-11.157223,414.746124,-4.894267,-86.526741,380.868469,-3.284113,-47.263065,389.094421,-4.187488,-4.603427,402.230347,6.431679,14.723942,423.611115,9.062228,-68.740227,391.743713,10.341884,-27.684748,401.620392
12,0.100000,-0.005393,-0.009095,0.028257,0.999545,-37.264118,109.501541,464.485168,-46.059341,90.864052,454.642883,-45.929935,120.342720,461.732056,-19.803091,117.297890,477.080658,-46.071304,90.874184,454.636200,-45.950787,120.321365,461.716278,-19.770561,117.308456,477.105438,-30.878132,-87.003960,396.365173,-27.797909,-48.127392,402.596924,-28.321127,-11.162577,414.746582,-4.897911,-86.542252,380.880310,-3.288669,-47.264256,389.103516,-4.188637,-4.604802,402.237335,6.429446,14.721148,423.611633,9.059103,-68.750710,391.746521,10.340493,-27.685261,401.619629
13,0.108333,-0.005393,-0.009097,0.028238,0.999545,-37.265793,109.495369,464.482056,-46.061680,90.858238,454.639740,-45.931190,120.336884,461.728973,-19.804512,117.291031,477.077606,-46.074280,90.866997,454.633911,-45.951176,120.315712,461.711884,-19.772272,117.300797,477.099670,-30.885822,-87.010544,396.379303,-27.801498,-48.132156,402.598907,-28.323660,-11.164664,414.755127,-4.906537,-86.552643,380.883057,-3.291355,-47.271450,389.108337,-4.189547,-4.610656,402.241333,6.429516,14.714212,423.613739,9.052853,-68.757576,391.743042,10.337809,-27.692131,401.619690
14,0.116667,-0.005520,-0.009140,0.028214,0.999545,-37.266701,109.497696,464.482269,-46.062622,90.858536,454.643829,-45.931293,120.338951,461.725616,-19.806192,117.295647,477.077484,-46.075958,90.872612,454.639465,-45.953148,120.313477,461.705902,-19.770967,117.307556,477.102020,-30.888121,-87.007126,396.391876,-27.803946,-48.136208,402.601257,-28.326263,-11.165375,414.753754,-4.912357,-86.549110,380.891144,-3.294963,-47.278042,389.114288,-4.189940,-4.610361,402.236053,6.427960,14.719063,423.610748,9.046288,-68.762154,391.755432,10.336985,-27.694859,401.620850
15,0.125000,-0.005360,-0.009098,0.028346,0.999542,-37.267693,109.504021,464.479736,-46.059544,90.865593,454.636261,-45.935444,120.343819,461.727295,-19.808094,117.302696,477.075745,-46.073814,90.878975,454.629089,-45.953499,120.318169,461.710999,-19.775692,117.316757,477.098633,-30.894537,-87.008003,396.402130,-27.810757,-48.135448,402.617096,-28.325872,-11.162822,414.753632,-4.919375,-86.547340,380.895508,-3.300384,-47.282127,389.114441,-4.191931,-4.613819,402.242065,6.428877,14.716237,423.617218,9.042505,-68.760628,391.762756,10.333913,-27.701660,401.629395
16,0.133333,-0.005475,-0.009201,0.028232,0.999544,-37.267052,109.502937,464.479614,-46.061069,90.864342,454.638367,-45.931732,120.344109,461.722931,-19.808361,117.300385,477.077667,-46.073704,90.877991,454.634369,-45.952377,120.319336,461.703613,-19.774443,117.310448,477.101349,-30.896872,-87.009201,396.407776,-27.812592,-48.136421,402.621826,-28.326559,-11.162916,414.748077,-4.921680,-86.545250,380.898041,-3.302789,-47.285614,389.119171,-4.189764,-4.618514,402.236389,6.429217,14.717411,423.608185,9.039733,-68.762337,391.766449,10.332925,-27.706802,401.628052
17,0.141667,-0.005506,-0.009295,0.028229,0.999543,-37.267006,109.503250,464.483032,-46.059265,90.864159,454.641174,-45.931099,120.344322,461.724060,-19.810661,117.301300,477.083923,-46.073689,90.878036,454.635773,-45.952724,120.317245,461.704651,-19.774092,117.314072,477.110321,-30.899242,-87.012115,396.401001,-27.815744,-48.140804,402.626282,-28.327209,-11.169032,414.752686,-4.921983,-86.545906,380.901398,-3.304993,-47.289837,389.127289,-4.190746,-4.623204,402.237457,6.429739,14.709567,423.606720,9.037207,-68.761230,391.770691,10.331368,-27.710722,401.628937
