Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,6.429531,14.738332,423.61621049999997,-4.183692000000001,-4.5638845,402.2279055,10.3572735,-27.628969,401.598694,-3.2557305000000003,-47.2035445,389.0606845,9.0995895,-68.6789245,391.66891499999997,-4.8500325,-86.4664535,380.78515649999997,-28.3161715,-11.143677,414.7367555,-27.769723,-48.0923085,402.5717625,-30.826375,-86.96341699999999,396.2693635
2,0.016666666666666666,6.427236,14.740247,423.618958,-4.184624,-4.560841,402.231232,10.354937,-27.630308,401.59906,-3.259677,-47.206547,389.054047,9.098046,-68.682083,391.680969,-4.855593,-86.471245,380.793518,-28.316502,-11.141063,414.738739,-27.772139,-48.092293,402.576538,-30.831417,-86.963417,396.279449
3,0.025,6.4292300000000004,14.738397500000001,423.6121215,-4.1846875,-4.5707889999999995,402.2298275,10.354077,-27.643085499999998,401.6077725,-3.264082,-47.218477500000006,389.0693665,9.0874175,-68.687153,391.68789649999997,-4.8611045,-86.46970350000001,380.80413799999997,-28.3176505,-11.143858999999999,414.73851,-27.7760365,-48.0968495,402.5809475,-30.8377325,-86.967476,396.2894135
5,0.041666666666666664,6.429794,14.724934,423.607147,-4.186756,-4.590156,402.237579,10.347958,-27.659544,401.610504,-3.272137,-47.227291,389.074371,9.081126,-68.694229,391.698517,-4.866495,-86.478386,380.819336,-28.320673,-11.15386,414.748871,-27.786661,-48.110195,402.585846,-30.844997,-86.973946,396.30246
6,0.05,6.4273454999999995,14.715054,423.61120600000004,-4.189722,-4.6064015000000005,402.242981,10.3426765,-27.671903,401.619232,-3.2785525,-47.237322,389.094559,9.074886,-68.70634849999999,391.711304,-4.8732125,-86.4897,380.82421850000003,-28.324538,-11.163125,414.75118999999995,-27.79276,-48.1211335,402.58642599999996,-30.850758,-86.981617,396.3083345
8,0.06666666666666667,6.428153,14.710705,423.613434,-4.186973,-4.608671,402.235107,10.342211,-27.679708,401.620819,-3.282015,-47.247028,389.09726,9.071256,-68.715454,391.727173,-4.877395,-86.499077,380.837097,-28.32321,-11.164829,414.74527,-27.791609,-48.122803,402.598328,-30.854029,-86.987907,396.319
9,0.075,6.431096,14.722555499999999,423.611969,-4.1872325,-4.6043579999999995,402.2345735,10.342728999999999,-27.681038,401.61618050000004,-3.2827715,-47.2537825,389.099487,9.0663705,-68.723732,391.7353365,-4.8856595,-86.5072175,380.85585000000003,-28.321261999999997,-11.159576999999999,414.744019,-27.794587,-48.124292499999996,402.59680149999997,-30.8613615,-86.9867055,396.334183
11,0.09166666666666666,6.431679,14.723942,423.611115,-4.187488,-4.603427,402.230347,10.341884,-27.684748,401.620392,-3.284113,-47.263065,389.094421,9.062228,-68.740227,391.743713,-4.894267,-86.526741,380.868469,-28.320265,-11.157223,414.746124,-27.796806,-48.125919,402.596252,-30.872732,-86.999176,396.369049
12,0.1,6.429481,14.71768,423.612686,-4.1890920000000005,-4.607729,402.239334,10.339151000000001,-27.688696,401.6196595,-3.290012,-47.267853,389.1059265,9.055978,-68.754143,391.7447815,-4.902224,-86.5474475,380.8816835,-28.3223935,-11.1636205,414.7508545,-27.7997035,-48.129774,402.5979155,-30.881977,-87.007252,396.37223800000004
14,0.11666666666666667,6.42796,14.719063,423.610748,-4.18994,-4.610361,402.236053,10.336985,-27.694859,401.62085,-3.294963,-47.278042,389.114288,9.046288,-68.762154,391.755432,-4.912357,-86.54911,380.891144,-28.326263,-11.165375,414.753754,-27.803946,-48.136208,402.601257,-30.888121,-87.007126,396.391876
