Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,67.286247,8.0074155,416.62471,54.293918500000004,-11.380538999999999,396.66583249999996,68.379425,-34.704624499999994,394.57385250000004,53.347989999999996,-54.256163,383.8503265,65.637581,-75.7355,385.2335965,50.5764105,-93.3265495,376.1858215,31.6511155,-17.663265,411.7198945,30.527507999999997,-54.773476,399.927826,26.4753905,-93.596409,394.306717
2,0.016666666666666666,67.286804,8.006763,416.623596,54.293251,-11.38113,396.664429,68.37664,-34.705399,394.566498,53.346703,-54.256866,383.846924,65.638832,-75.735428,385.234314,50.575508,-93.328232,376.184662,31.650715,-17.662411,411.714447,30.528656,-54.772758,399.930389,26.474804,-93.597618,394.305573
3,0.025,67.28567899999999,8.006052,416.6259305,54.2937375,-11.3799485,396.66648899999996,68.37937550000001,-34.705595,394.5691375,53.3493215,-54.2583335,383.853607,65.636326,-75.7353215,385.231186,50.576122,-93.3289565,376.193283,31.6504355,-17.662669,411.715164,30.527793,-54.774538,399.9291535,26.4730585,-93.5946885,394.301941
5,0.041666666666666664,67.286629,8.007758,416.625641,54.292889,-11.379867,396.662109,68.377815,-34.705086,394.566376,53.346523,-54.258511,383.849182,65.636375,-75.735718,385.232605,50.57386,-93.327126,376.188385,31.651728,-17.662409,411.714508,30.526392,-54.773968,399.928986,26.474983,-93.593605,394.30368
6,0.05,67.28564850000001,8.007165,416.6259305,54.293457000000004,-11.3783935,396.6645355,68.377411,-34.7026195,394.56719999999996,53.3468,-54.256395,383.84921299999996,65.63537600000001,-75.7355575,385.23326099999997,50.573997500000004,-93.32700750000001,376.1875305,31.649116499999998,-17.661136499999998,411.7149965,30.527145,-54.772991000000005,399.92996200000005,26.472454,-93.594856,394.304535
8,0.06666666666666667,67.285851,8.008348,416.622131,54.29459,-11.382511,396.660431,68.376305,-34.705307,394.568756,53.349644,-54.259705,383.852631,65.636719,-75.735054,385.229919,50.574276,-93.328712,376.188995,31.650684,-17.662865,411.716125,30.526218,-54.775227,399.928955,26.472904,-93.598419,394.302002
9,0.075,67.2875325,8.0068705,416.63108850000003,54.294304,-11.379311000000001,396.6642765,68.37825050000001,-34.7054465,394.569519,53.3465535,-54.2573205,383.848389,65.6359785,-75.734711,385.2332765,50.575373,-93.32637399999999,376.18859899999995,31.6503455,-17.6636765,411.7107545,30.52795,-54.774099,399.9272615,26.473115,-93.594791,394.30101
11,0.09166666666666666,67.286156,8.008719,416.621796,54.292793,-11.382071,396.661469,68.377808,-34.704464,394.570526,53.349953,-54.256958,383.854645,65.636909,-75.734406,385.23288,50.57568,-93.327835,376.189087,31.649389,-17.662491,411.712952,30.527138,-54.773018,399.928772,26.474682,-93.596611,394.306641
12,0.1,67.2860715,8.008962499999999,416.622116,54.294182,-11.3806555,396.666702,68.3790435,-34.704421999999994,394.5711215,53.346569,-54.254942,383.8475035,65.63782900000001,-75.73407399999999,385.234421,50.576280499999996,-93.326149,376.1907195,31.6509125,-17.6620485,411.7177585,30.5283035,-54.774041999999994,399.932541,26.475352,-93.593887,394.30267349999997
14,0.11666666666666667,67.28598,8.006244,416.623993,54.294147,-11.380322,396.663361,68.378883,-34.708328,394.569885,53.348343,-54.259846,383.847626,65.637619,-75.736946,385.229065,50.575485,-93.327034,376.18338,31.650274,-17.663473,411.714142,30.52796,-54.777031,399.930298,26.476206,-93.598228,394.304535
15,0.125,67.28624350000001,8.006676,416.6197965,54.294109,-11.381675999999999,396.6634825,68.377861,-34.7064535,394.56912250000005,53.347769,-54.2580795,383.845123,65.637802,-75.73569900000001,385.23239149999995,50.575936999999996,-93.3291435,376.18823199999997,31.6496345,-17.6642665,411.71061699999996,30.529094,-54.7755525,399.9309385,26.4753485,-93.59486749999999,394.30053699999996
17,0.14166666666666666,67.285278,8.007577,416.624817,54.295567,-11.376731,396.661224,68.378677,-34.704128,394.568085,53.346874,-54.256004,383.845612,65.635414,-75.736794,385.227203,50.57642,-93.327011,376.189423,31.649307,-17.662645,411.711792,30.526321,-54.774384,399.929474,26.47603,-93.59449,394.303101
18,0.15,67.2868805,8.008857500000001,416.62797550000005,54.293196,-11.3769025,396.66545099999996,68.377613,-34.702013,394.56578049999996,53.350277000000006,-54.254827500000005,383.850479,65.636646,-75.733181,385.23368849999997,50.5752065,-93.3261985,376.185974,31.6499455,-17.6603395,411.7152865,30.5270545,-54.772402,399.9297335,26.473943,-93.5930865,394.3039245
20,0.16666666666666666,67.285683,8.007521,416.62204,54.29417,-11.379042,396.668243,68.379219,-34.703594,394.56662,53.348228,-54.258091,383.847931,65.636993,-75.734764,385.229645,50.575916,-93.32756,376.188293,31.650398,-17.663946,411.717102,30.527864,-54.774643,399.926086,26.47463,-93.596794,394.305023
21,0.175,67.2865295,8.006833499999999,416.621933,54.294035,-11.380692,396.6630095,68.378128,-34.703711999999996,394.5663455,53.348257000000004,-54.2551215,383.850861,65.63668050000001,-75.734116,385.22938550000003,50.576952,-93.3275225,376.185852,31.650239,-17.663666499999998,411.7138975,30.528014,-54.77417,399.926376,26.474649499999998,-93.594212,394.300186
23,0.19166666666666665,67.284561,8.008871,416.619476,54.29509,-11.378525,396.665405,68.379051,-34.702675,394.565399,53.348724,-54.254631,383.850433,65.636055,-75.730705,385.226837,50.576416,-93.320412,376.186676,31.649645,-17.660624,411.713867,30.526314,-54.77121,399.929749,26.476419,-93.596146,394.307648
24,0.2,67.28697199999999,8.0076535,416.625488,54.293751,-11.3793705,396.665207,68.37862799999999,-34.703539,394.567642,53.3476845,-54.254442,383.8460085,65.637806,-75.73321899999999,385.2296295,50.5764655,-93.323128,376.1894075,31.650617500000003,-17.6636285,411.718338,30.528136500000002,-54.772055,399.92951949999997,26.475297,-93.5931515,394.30102550000004
26,0.21666666666666667,67.286156,8.005868,416.625885,54.292854,-11.381845,396.665588,68.378021,-34.705681,394.563934,53.350224,-54.25629,383.853241,65.636726,-75.734085,385.226593,50.576378,-93.325592,376.184967,31.649862,-17.662968,411.708191,30.528898,-54.77174,399.928345,26.476007,-93.594955,394.30069
27,0.225,67.28603749999999,8.006869,416.622452,54.295023,-11.378727999999999,396.6649475,68.3792915,-34.7032795,394.56559749999997,53.348969999999994,-54.2559435,383.8488465,65.63800850000001,-75.7340585,385.2288665,50.5767515,-93.325527,376.183136,31.6512625,-17.6606585,411.7132875,30.5276775,-54.774586,399.927002,26.474418999999997,-93.5942345,394.298813
29,0.24166666666666667,67.285995,8.011162,416.625397,54.294052,-11.376947,396.66333,68.378906,-34.701744,394.572418,53.349922,-54.254044,383.851868,65.636612,-75.732834,385.226837,50.574898,-93.326279,376.183136,31.649773,-17.660101,411.712982,30.527067,-54.771027,399.925873,26.474892,-93.591949,394.298706
30,0.25,67.28560999999999,8.008891,416.62293999999997,54.293251,-11.37723,396.66200249999997,68.37852849999999,-34.7019825,394.565567,53.34733,-54.2552625,383.845291,65.637291,-75.7330665,385.2275695,50.577034,-93.32484450000001,376.189865,31.649835500000002,-17.6600045,411.710159,30.5275735,-54.7715245,399.9295505,26.4751785,-93.593025,394.302765
32,0.26666666666666666,67.285263,8.009385,416.618439,54.294159,-11.376947,396.661041,68.378227,-34.702099,394.564758,53.347561,-54.254692,383.839813,65.638046,-75.732933,385.231018,50.576706,-93.324478,376.187439,31.649559,-17.662439,411.710999,30.528116,-54.772461,399.92627,26.476261,-93.593864,394.299377
33,0.275,67.2861635,8.006775999999999,416.6254275,54.2942125,-11.378121499999999,396.661926,68.3793755,-34.7037925,394.5727995,53.349951,-54.2549955,383.85208150000005,65.638599,-75.733326,385.232285,50.576822,-93.3229025,376.1837615,31.651162499999998,-17.662470499999998,411.7114715,30.5280445,-54.771722999999994,399.925583,26.476652,-93.592022,394.29769899999997
35,0.2916666666666667,67.286125,8.009483,416.62085,54.294323,-11.382089,396.667175,68.377968,-34.702271,394.56662,53.350151,-54.253693,383.852509,65.640411,-75.730804,385.232452,50.577854,-93.321182,376.187012,31.650249,-17.659834,411.716248,30.528788,-54.772652,399.930206,26.476793,-93.591881,394.301422
36,0.3,67.2880365,8.005857,416.6273345,54.294075,-11.3789285,396.66337599999997,68.37891350000001,-34.703504499999994,394.5700375,53.3487205,-54.256364500000004,383.84968549999996,65.6383625,-75.7325705,385.2322545,50.577843,-93.325428,376.18721,31.650002999999998,-17.661005,411.7115635,30.528207000000002,-54.7726555,399.9270935,26.477107,-93.5953025,394.30278
38,0.31666666666666665,67.286514,8.007024,416.621643,54.296619,-11.382784,396.666565,68.380333,-34.706795,394.571228,53.350574,-54.259815,383.849854,65.638329,-75.734901,385.230072,50.578724,-93.327805,376.19104,31.64975,-17.662071,411.708344,30.530594,-54.776844,399.930511,26.478489,-93.596657,394.297516
39,0.325,67.2863275,8.008315,416.62567149999995,54.294002500000005,-11.379476,396.660782,68.379074,-34.704367000000005,394.5685425,53.350513500000005,-54.257619500000004,383.851532,65.6376955,-75.7349625,385.22843950000004,50.576231,-93.32703,376.1850895,31.6509265,-17.664004499999997,411.7112885,30.528036999999998,-54.773634,399.9224395,26.475516,-93.59465,394.30026250000003
41,0.3416666666666667,67.286507,8.009471,416.617035,54.294117,-11.375436,396.659088,68.378799,-34.703163,394.565765,53.348938,-54.256821,383.848358,65.637268,-75.735764,385.230957,50.576809,-93.32724,376.186829,31.65127,-17.661604,411.713806,30.527819,-54.772911,399.934082,26.475004,-93.592918,394.298431
42,0.35,67.28676200000001,8.0096365,416.6239925,54.293608,-11.376449999999998,396.663055,68.37844849999999,-34.702532,394.570587,53.348072,-54.254453999999996,383.847397,65.6356545,-75.73322300000001,385.228241,50.575249,-93.3262635,376.187073,31.6508845,-17.660273500000002,411.70800799999995,30.528411,-54.771524,399.93032800000003,26.473950000000002,-93.59346400000001,394.30134599999997
44,0.36666666666666664,67.286766,8.007656,416.621887,54.294983,-11.378161,396.661926,68.378181,-34.703728,394.566071,53.349827,-54.25732,383.852631,65.637611,-75.734512,385.230896,50.575676,-93.326065,376.185303,31.650364,-17.663269,411.705017,30.52739,-54.772648,399.930206,26.475391,-93.595451,394.305359
45,0.375,67.286522,8.00837,416.62417600000003,54.293749000000005,-11.3781675,396.66304,68.38023000000001,-34.705786,394.57019,53.3479235,-54.2571905,383.84916699999997,65.63720699999999,-75.7339245,385.2340395,50.5759965,-93.3261645,376.1871795,31.6513185,-17.6613365,411.716812,30.528575,-54.773258,399.9256435,26.4765455,-93.59539000000001,394.30366549999997
