Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,65.086731,16.729201,415.548172,52.065792,-2.991269,395.8094785,66.0580105,-26.493325,394.2749635,50.83943,-46.1943415,383.81874100000005,62.9830515,-67.8182335,385.714111,47.6969035,-85.562798,377.0170595,29.278037,-8.845279,410.88804600000003,27.93373,-46.1928465,399.8272705,23.5300275,-85.118088,395.052185
2,0.016666666666666666,65.085991,16.726183,415.552887,52.066734,-2.994401,395.818207,66.057259,-26.49461,394.273132,50.838936,-46.196537,383.822205,62.983757,-67.82093,385.720612,47.696701,-85.564735,377.015961,29.277777,-8.845691,410.889008,27.934561,-46.194183,399.834961,23.531406,-85.122879,395.052826
3,0.025,65.0853345,16.7274095,415.54873699999996,52.066614,-2.9935400000000003,395.8135985,66.0573805,-26.494419,394.2697755,50.838396,-46.195351,383.81703200000004,62.9826335,-67.8204805,385.720856,47.695982,-85.5647625,377.01773049999997,29.277654,-8.8455245,410.8851925,27.9340395,-46.1952305,399.83519,23.5300235,-85.11858000000001,395.047806
5,0.041666666666666664,65.087128,16.726482,415.552704,52.06686,-2.994052,395.818237,66.054657,-26.495819,394.273529,50.836975,-46.193756,383.813995,62.982418,-67.822525,385.719421,47.693993,-85.565529,377.019958,29.277742,-8.844204,410.890686,27.934074,-46.193439,399.836548,23.53023,-85.122406,395.057495
6,0.05,65.085735,16.727535000000003,415.55229199999997,52.067322000000004,-2.9927295000000003,395.81649749999997,66.056221,-26.493858,394.2718965,50.838370999999995,-46.194841499999995,383.8190765,62.9836975,-67.8214225,385.7193605,47.694246,-85.564705,377.0142975,29.277358,-8.845659999999999,410.8867035,27.9345175,-46.1935135,399.8393555,23.529627,-85.1202545,395.0540615
8,0.06666666666666667,65.086769,16.725863,415.546234,52.065617,-2.992426,395.80835,66.056152,-26.493864,394.274048,50.839355,-46.194225,383.816956,62.982864,-67.820892,385.716003,47.696266,-85.566833,377.021576,29.277233,-8.846099,410.881165,27.934488,-46.193558,399.831696,23.53101,-85.122498,395.06665
9,0.075,65.086773,16.7294065,415.55107150000003,52.067381,-2.9921735,395.817459,66.05715950000001,-26.493463499999997,394.27104199999997,50.838543,-46.1936795,383.81961049999995,62.982815,-67.819252,385.7161255,47.6961345,-85.5628925,377.017288,29.278286,-8.843892,410.88662750000003,27.934062,-46.19327199999999,399.832382,23.5315755,-85.1181225,395.0533905
11,0.09166666666666666,65.08741,16.727943,415.553467,52.069118,-2.992579,395.815002,66.056007,-26.494608,394.272125,50.837563,-46.193848,383.818756,62.98391,-67.820808,385.717407,47.696266,-85.562477,377.015961,29.278631,-8.846478,410.885071,27.933828,-46.192688,399.832001,23.531321,-85.120895,395.053864
12,0.1,65.08753999999999,16.726853499999997,415.5559845,52.0664655,-2.9944319999999998,395.8167265,66.0567435,-26.4948785,394.27297999999996,50.8392795,-46.1944445,383.8197635,62.984188,-67.8210335,385.7211455,47.697942999999995,-85.564133,377.0149535,29.2779925,-8.844727500000001,410.88533,27.93451,-46.1952785,399.8377225,23.531194499999998,-85.12242499999999,395.05570950000003
14,0.11666666666666667,65.085899,16.725601,415.547302,52.067284,-2.995059,395.817444,66.055954,-26.497433,394.274963,50.83987,-46.196907,383.823456,62.98539,-67.821793,385.719147,47.696693,-85.566231,377.015686,29.27733,-8.846416,410.884735,27.933851,-46.193737,399.832428,23.53215,-85.120766,395.051697
