Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,34.969166,18.1069365,418.7078095,23.280245,-1.6882774999999999,398.2082365,37.3309,-25.207554000000002,397.619171,22.8267755,-44.930403,386.28096000000005,34.806139,-66.58970249999999,389.09863299999995,20.075865,-84.38115300000001,379.468796,-0.475376,-7.4761155,411.821045,-1.1215225000000002,-44.8510135,400.7284695,-5.257979499999999,-83.782299,395.874588
2,0.016666666666666666,34.969372,18.100201,418.704773,23.28009,-1.688727,398.206879,37.329426,-25.210752,397.622864,22.82723,-44.933502,386.284027,34.806202,-66.589523,389.098785,20.077154,-84.383827,379.46817,-0.474235,-7.476316,411.8237,-1.120741,-44.851685,400.725098,-5.258505,-83.781609,395.868103
3,0.025,34.969593,18.1007995,418.708603,23.279532500000002,-1.6928334999999999,398.2083895,37.331346499999995,-25.2121145,397.623856,22.8264915,-44.9335805,386.283951,34.8057745,-66.59137,389.100418,20.0768,-84.382141,379.4666595,-0.47595,-7.482454499999999,411.825241,-1.121213,-44.8555375,400.7301635,-5.258622,-83.7829285,395.862625
5,0.041666666666666664,34.969475,18.098841,418.702454,23.279016,-1.69151,398.206665,37.333313,-25.213861,397.624542,22.827175,-44.930412,386.279846,34.804115,-66.590042,389.093994,20.078241,-84.384529,379.470215,-0.475338,-7.480871,411.822205,-1.120272,-44.851959,400.724213,-5.257854,-83.790398,395.87149
6,0.05,34.9694385,18.103898,418.704132,23.2810815,-1.6888605,398.207138,37.3313105,-25.209939,397.62507600000004,22.8281385,-44.933155,386.2813415,34.807062,-66.590046,389.09858699999995,20.0774735,-84.3808095,379.4678805,-0.473862,-7.479684499999999,411.821335,-1.1200714999999999,-44.854622,400.73071300000004,-5.257448,-83.7827495,395.8638915
8,0.06666666666666667,34.967991,18.104063,418.703491,23.280043,-1.685403,398.20282,37.332077,-25.207001,397.618683,22.829937,-44.930367,386.284515,34.805992,-66.589302,389.09906,20.075148,-84.381378,379.469513,-0.474924,-7.477208,411.821014,-1.119115,-44.852722,400.726318,-5.25656,-83.785957,395.876556
9,0.075,34.9685305,18.102545,418.7002105,23.281094500000002,-1.6886605000000001,398.20799250000005,37.331171,-25.2093815,397.618469,22.8271,-44.9345935,386.283096,34.805612999999994,-66.59077450000001,389.09779349999997,20.077921,-84.3861695,379.47348,-0.47336,-7.4784665,411.821152,-1.120999,-44.854229000000004,400.72454849999997,-5.2576730000000005,-83.78350850000001,395.8727415
11,0.09166666666666666,34.969181,18.10421,418.699829,23.279898,-1.686549,398.207458,37.331493,-25.207682,397.619507,22.827568,-44.931957,386.279724,34.805828,-66.590752,389.099487,20.077141,-84.383614,379.470856,-0.475411,-7.479635,411.813538,-1.119195,-44.85218,400.722565,-5.257148,-83.782646,395.871948
12,0.1,34.968052,18.102832499999998,418.70437649999997,23.2792975,-1.689999,398.2045445,37.3313065,-25.210238500000003,397.62222299999996,22.8282795,-44.932625,386.28245549999997,34.805147000000005,-66.591358,389.0969695,20.076447,-84.381855,379.4721985,-0.4750165,-7.479179500000001,411.82282999999995,-1.121202,-44.8520715,400.724152,-5.25672,-83.785984,395.87847899999997
14,0.11666666666666667,34.967827,18.101727,418.707611,23.279549,-1.689489,398.213623,37.331078,-25.2094,397.623413,22.828205,-44.932472,386.283905,34.80732,-66.591232,389.106018,20.076473,-84.378647,379.467712,-0.473646,-7.480228,411.824677,-1.120215,-44.853973,400.723633,-5.257584,-83.780983,395.860931
15,0.125,34.969372,18.100896499999998,418.7073365,23.280182,-1.6915745,398.206711,37.331474,-25.2118495,397.623535,22.828574500000002,-44.933037,386.279877,34.8064785,-66.5901645,389.0991515,20.077365,-84.3800545,379.469818,-0.474247,-7.4813045,411.8226165,-1.1190645,-44.853820999999996,400.7285005,-5.2552635,-83.7882345,395.8709255
17,0.14166666666666666,34.968018,18.099749,418.704163,23.281466,-1.692225,398.210205,37.32962,-25.210577,397.621307,22.829338,-44.934555,386.287872,34.806168,-66.590721,389.10141,20.077868,-84.383408,379.467316,-0.473935,-7.482464,411.827118,-1.120767,-44.855446,400.729156,-5.258277,-83.78421,395.869415
18,0.15,34.9689085,18.102049,418.7022095,23.280675000000002,-1.6906145,398.206833,37.33275999999999,-25.2111395,397.6231385,22.828311999999997,-44.9332235,386.2858275,34.80659300000001,-66.5914535,389.097183,20.078197,-84.382866,379.46966599999996,-0.475102,-7.480256499999999,411.821228,-1.118786,-44.8558065,400.731491,-5.2558135,-83.78368800000001,395.86763
20,0.16666666666666666,34.971848,18.103325,418.704681,23.278904,-1.688926,398.202759,37.332081,-25.211128,397.617554,22.828159,-44.933197,386.285339,34.807739,-66.591652,389.102539,20.077503,-84.382004,379.470612,-0.474792,-7.47795,411.819427,-1.119597,-44.854546,400.733002,-5.257858,-83.779129,395.864227
21,0.175,34.968335999999994,18.103755,418.70086649999996,23.2810545,-1.6872625,398.207123,37.3309555,-25.2071905,397.61868300000003,22.8288545,-44.931095,386.282562,34.805994,-66.59037799999999,389.09857150000005,20.0766345,-84.38046650000001,379.4691925,-0.47422549999999997,-7.4780265,411.821869,-1.1193645,-44.8512495,400.726242,-5.258129,-83.7810135,395.86593600000003
23,0.19166666666666665,34.968166,18.102848,418.704163,23.281467,-1.687027,398.208313,37.330986,-25.207369,397.618591,22.828262,-44.932045,386.281342,34.806019,-66.590286,389.103668,20.075573,-84.379303,379.465881,-0.473442,-7.477393,411.818512,-1.122017,-44.853271,400.725647,-5.256774,-83.784599,395.868927
24,0.2,34.9675995,18.1024825,418.7005005,23.279649,-1.6882525,398.2054445,37.332113500000006,-25.208376,397.622116,22.8280665,-44.929247000000004,386.28012049999995,34.8062935,-66.58787899999999,389.09556599999996,20.075826,-84.377262,379.465622,-0.4748635,-7.478845,411.81814599999996,-1.1187455000000002,-44.85289,400.73645,-5.257231,-83.781147,395.87057500000003
26,0.21666666666666667,34.968719,18.101179,418.699127,23.280916,-1.691687,398.212891,37.33099,-25.212666,397.624481,22.826546,-44.928753,386.282806,34.805847,-66.588554,389.098602,20.077223,-84.376846,379.462433,-0.474682,-7.478058,411.828339,-1.120896,-44.856133,400.731567,-5.257179,-83.784431,395.87146
27,0.225,34.9686375,18.100435,418.699982,23.280391,-1.691182,398.2082065,37.332161,-25.2110975,397.6279145,22.826873499999998,-44.932121499999994,386.2819515,34.807438,-66.58873399999999,389.0988615,20.078704000000002,-84.3814205,379.4669035,-0.474883,-7.480786,411.8264775,-1.1200934999999999,-44.855955,400.7304535,-5.2566685,-83.7841645,395.86528
29,0.24166666666666667,34.969318,18.103006,418.70343,23.282398,-1.691761,398.206604,37.331215,-25.209345,397.621246,22.83016,-44.933792,386.284546,34.808449,-66.591484,389.100037,20.079189,-84.379555,379.466309,-0.473163,-7.481104,411.826233,-1.118811,-44.853725,400.717438,-5.25373,-83.782616,395.864929
30,0.25,34.9695145,18.1038465,418.7044675,23.280670999999998,-1.6889615,398.20684800000004,37.331812,-25.207313499999998,397.61866799999996,22.8290845,-44.930378,386.278183,34.8081835,-66.588379,389.10116600000003,20.079296499999998,-84.38003549999999,379.46626249999997,-0.474426,-7.4787490000000005,411.8225555,-1.119737,-44.851091499999995,400.7286985,-5.255576,-83.782562,395.867523
