Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,26.6274205,5.2538155,421.3813935,15.9684505,-14.454104999999998,400.3825985,30.945625,-37.273592,399.6361695,17.407347,-57.2951165,387.5805055,30.212823999999998,-78.5010265,390.09066800000005,16.323926,-96.645775,379.7734835,-7.7730375,-21.445698999999998,413.4904175,-6.707342000000001,-58.523504,401.71270749999996,-9.170734,-97.52442149999999,395.902908
2,0.016666666666666666,26.629215,5.255212,421.385834,15.973521,-14.449735,400.384613,30.944296,-37.269756,399.636902,17.406263,-57.295193,387.575531,30.209352,-78.499626,390.086731,16.323763,-96.644279,379.770264,-7.771509,-21.447618,413.486572,-6.708283,-58.524208,401.709656,-9.171378,-97.521378,395.904785
3,0.025,26.626911,5.2569025,421.382431,15.9678085,-14.4533095,400.382843,30.9431325,-37.2710875,399.63159199999996,17.402056,-57.296555,387.57624799999996,30.21074,-78.499256,390.084015,16.319010499999997,-96.644634,379.7715915,-7.7723305,-21.4452335,413.4915465,-6.708622,-58.524048,401.720505,-9.172307499999999,-97.52459350000001,395.9080045
5,0.041666666666666664,26.62689,5.255419,421.384186,15.967703,-14.452479,400.383759,30.940878,-37.26989,399.63382,17.39753,-57.296429,387.575104,30.206797,-78.498985,390.088257,16.31728,-96.643745,379.77301,-7.773767,-21.44379,413.487823,-6.709915,-58.523132,401.722595,-9.173501,-97.526268,395.910431
6,0.05,26.626866,5.2551735,421.3822325,15.9670515,-14.4536735,400.38369750000004,30.9403045,-37.271286,399.63404849999995,17.397649,-57.2992285,387.5756225,30.2073335,-78.5005565,390.09110999999996,16.31639,-96.64548099999999,379.7734525,-7.773454,-21.44551,413.4908295,-6.7115865,-58.526632,401.7193755,-9.173044,-97.5267565,395.907196
8,0.06666666666666667,26.625477,5.25633,421.375366,15.966619,-14.452634,400.382812,30.943254,-37.271706,399.637848,17.396933,-57.294994,387.570251,30.206989,-78.49485,390.082581,16.315006,-96.642281,379.771332,-7.774479,-21.444843,413.495758,-6.711301,-58.524254,401.719116,-9.173557,-97.522919,395.907532
9,0.075,26.626413499999998,5.254794499999999,421.38162250000005,15.969688999999999,-14.4534455,400.387115,30.9418355,-37.271099,399.634415,17.3989105,-57.29705250000001,387.576828,30.2070935,-78.49790200000001,390.0890965,16.3165345,-96.6423455,379.7707065,-7.773023,-21.4437325,413.4875795,-6.711577500000001,-58.5233975,401.7210695,-9.175654999999999,-97.524643,395.909485
11,0.09166666666666666,26.627506,5.253972,421.381042,15.969239,-14.452378,400.382568,30.942865,-37.271164,399.632446,17.400682,-57.296879,387.584076,30.208065,-78.49855,390.086273,16.318245,-96.643341,379.77005,-7.773387,-21.443806,413.48584,-6.709949,-58.521473,401.708496,-9.174406,-97.523857,395.902863
12,0.1,26.6286265,5.2542795,421.38070700000003,15.9695225,-14.454070000000002,400.38571149999996,30.9435675,-37.272743,399.63847350000003,17.40215,-57.2970885,387.579468,30.209661500000003,-78.500046,390.08905,16.3202465,-96.644436,379.77015700000004,-7.772235,-21.444192,413.490051,-6.709251,-58.5232105,401.71977200000003,-9.173381,-97.5247155,395.90751650000004
14,0.11666666666666667,26.628206,5.255338,421.380188,15.966529,-14.451646,400.382172,30.942574,-37.273327,399.635101,17.401739,-57.297718,387.576904,30.208549,-78.502052,390.093964,16.319241,-96.645523,379.774506,-7.771601,-21.442175,413.490845,-6.709079,-58.522934,401.716461,-9.174651,-97.520187,395.899689
