Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,19.967046500000002,5.192203,421.769577,9.7175265,-14.496819,400.672455,24.646368,-37.272741499999995,400.09695450000004,11.3642745,-57.2378925,387.83793649999996,24.107216,-78.373932,390.457672,10.514420999999999,-96.476429,379.876999,-14.200519499999999,-21.486795,413.38870199999997,-12.94927,-58.546526,401.59158349999996,-15.2391325,-97.503296,395.58657800000003
2,0.016666666666666666,19.967211,5.190807,421.76709,9.716873,-14.495402,400.673218,24.64723,-37.272812,400.096069,11.36324,-57.239494,387.839417,24.106817,-78.374817,390.452454,10.514266,-96.47654,379.878052,-14.200622,-21.488605,413.392517,-12.948965,-58.546021,401.596344,-15.23796,-97.506027,395.590973
3,0.025,19.9674075,5.193481500000001,421.7685395,9.717765,-14.496964,400.6727905,24.6482885,-37.274254,400.097824,11.3643585,-57.238519499999995,387.836273,24.107386499999997,-78.37414150000001,390.45459,10.512392,-96.4780235,379.8786625,-14.199428999999999,-21.487053000000003,413.3867795,-12.948073,-58.5458945,401.5914765,-15.238139499999999,-97.5040665,395.585907
5,0.041666666666666664,19.967548,5.194217,421.769012,9.717985,-14.494274,400.670593,24.648212,-37.274342,400.09726,11.36451,-57.239086,387.839966,24.10745,-78.374603,390.444397,10.512663,-96.478432,379.876556,-14.200042,-21.488665,413.395325,-12.947061,-58.546574,401.592987,-15.238184,-97.502388,395.582153
6,0.05,19.966628999999998,5.195074,421.77090450000003,9.717216,-14.492478,400.6734465,24.647125,-37.269579,400.0935825,11.364525,-57.239334,387.8365325,24.105897,-78.376926,390.45173650000004,10.5119525,-96.47930500000001,379.8794405,-14.200952000000001,-21.485012,413.39054899999996,-12.947274,-58.5465815,401.5940245,-15.2386755,-97.50478749999999,395.5911255
8,0.06666666666666667,19.968212,5.194235,421.763245,9.718446,-14.491567,400.674622,24.647928,-37.271778,400.09259,11.363564,-57.23737,387.8367,24.107914,-78.374466,390.455994,10.512444,-96.477196,379.873322,-14.198852,-21.481657,413.392395,-12.947561,-58.545971,401.594513,-15.238542,-97.504471,395.591644
9,0.075,19.968877,5.194065,421.7637485,9.717416499999999,-14.495293499999999,400.676331,24.647852,-37.272059999999996,400.096954,11.364587499999999,-57.2380045,387.837494,24.108271,-78.377632,390.4529875,10.5135345,-96.47771850000001,379.8799745,-14.2000135,-21.485762,413.3858035,-12.9474425,-58.546053,401.591721,-15.23852,-97.5036925,395.58520550000003
11,0.09166666666666666,19.966581,5.191827,421.764404,9.717727,-14.495915,400.676086,24.647087,-37.273426,400.100281,11.362699,-57.239231,387.84375,24.105755,-78.370819,390.451965,10.512294,-96.47448,379.876862,-14.202149,-21.485962,413.396973,-12.949212,-58.546021,401.587952,-15.237332,-97.502396,395.591583
12,0.1,19.969463,5.1928345,421.76767,9.717916,-14.4970235,400.67309550000004,24.6472475,-37.2742425,400.0969085,11.364074500000001,-57.2370455,387.8400575,24.1078465,-78.372818,390.454651,10.5140985,-96.473953,379.8760225,-14.199726,-21.4868145,413.394623,-12.949329500000001,-58.543815499999994,401.58931,-15.237344499999999,-97.50341399999999,395.5863035
14,0.11666666666666667,19.968277,5.190962,421.766449,9.716252,-14.499687,400.675171,24.645926,-37.276833,400.092896,11.362295,-57.240257,387.838043,24.105337,-78.375412,390.454773,10.511662,-96.477501,379.877869,-14.200383,-21.490681,413.392609,-12.951224,-58.546345,401.583344,-15.23923,-97.504677,395.585724
