Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,33.3293035,5.5165965,420.8594205,22.4211065,-14.228509500000001,400.01158150000003,37.388349500000004,-36.976614,398.9833985,23.709508,-56.9571835,387.1022335,36.586956,-78.076851,389.32403550000004,22.6709395,-96.17444649999999,379.2288055,-1.0667525,-21.250274500000003,413.4826355,-0.177498,-58.333901999999995,401.59490949999997,-2.6168215,-97.2484475,395.693665
2,0.016666666666666666,33.328705,5.514212,420.859772,22.420662,-14.226439,400.016052,37.388496,-36.975464,398.976318,23.708733,-56.956909,387.101898,36.585377,-78.076782,389.317596,22.66931,-96.172661,379.234375,-1.068074,-21.255524,413.483856,-0.179047,-58.334053,401.592682,-2.618925,-97.245117,395.688019
3,0.025,33.3293325,5.515230000000001,420.8597565,22.420425,-14.230259499999999,400.01646400000004,37.388382,-36.978262,398.9817655,23.708527500000002,-56.956789,387.10504149999997,36.5864715,-78.0784225,389.323944,22.670682,-96.1770785,379.232758,-1.0667615,-21.2520865,413.4866485,-0.17847649999999998,-58.3343275,401.5911105,-2.6167974999999997,-97.250969,395.69406100000003
5,0.041666666666666664,33.328571,5.514696,420.858826,22.422203,-14.228996,400.015076,37.389973,-36.975822,398.984253,23.711721,-56.95723,387.105499,36.586159,-78.078461,389.326691,22.671371,-96.17601,379.231476,-1.066091,-21.252192,413.487793,-0.178719,-58.33194,401.587799,-2.619078,-97.248177,395.691284
6,0.05,33.329314999999994,5.5185604999999995,420.86039700000003,22.420842999999998,-14.227551,400.0115505,37.388419999999996,-36.9749185,398.979416,23.708396999999998,-56.9556465,387.1004025,36.586075,-78.0759355,389.32164,22.670322,-96.1747475,379.233032,-1.067513,-21.248638,413.48374950000004,-0.1782215,-58.333248499999996,401.5922855,-2.6174285,-97.24837149999999,395.695389
8,0.06666666666666667,33.329212,5.515759,420.859802,22.421701,-14.228112,400.016815,37.388214,-36.976475,398.983215,23.709089,-56.954853,387.103699,36.585743,-78.076935,389.324615,22.66942,-96.172523,379.232697,-1.067998,-21.250895,413.484741,-0.179216,-58.334797,401.594177,-2.618163,-97.24408,395.682281
9,0.075,33.3300495,5.515598499999999,420.8614345,22.42131,-14.230157,400.0147705,37.3875465,-36.9754965,398.97724900000003,23.709504000000003,-56.955286,387.10206600000004,36.586492500000006,-78.077717,389.32640100000003,22.671061,-96.175865,379.2309415,-1.0670074999999999,-21.2545925,413.486252,-0.17717899999999998,-58.335083,401.5959625,-2.6155454999999996,-97.2491875,395.694473
11,0.09166666666666666,33.329933,5.514185,420.859985,22.421257,-14.231386,400.018219,37.389793,-36.977257,398.984955,23.708921,-56.955822,387.105255,36.586044,-78.077141,389.324738,22.670101,-96.175186,379.232452,-1.067317,-21.252781,413.486847,-0.177627,-58.333084,401.598053,-2.618843,-97.248405,395.689453
12,0.1,33.3282395,5.515263,420.862717,22.421031,-14.229394,400.01380900000004,37.38772,-36.978370999999996,398.98112449999996,23.708211,-56.9584655,387.1074525,36.585974,-78.07971599999999,389.32724,22.668929,-96.176056,379.2371365,-1.0670835,-21.251762499999998,413.489563,-0.1798575,-58.3355485,401.5960695,-2.616809,-97.2494275,395.698074
14,0.11666666666666667,33.327278,5.516082,420.854919,22.422405,-14.229388,400.014343,37.38866,-36.977375,398.976685,23.709299,-56.957977,387.103394,36.587349,-78.079048,389.323486,22.670141,-96.17662,379.228333,-1.06542,-21.251619,413.487732,-0.177666,-58.336826,401.596954,-2.615658,-97.249794,395.697052
