Format Version,1.24,Take Name,Take 2025-02-25 11.29.36 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-25 11.29.36.369 上午,Capture Start Frame,9401519,Total Frames in Take,8331,Total Exported Frames,8331,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Unlabeled 2182,Unlabeled 2182,Unlabeled 2182,Unlabeled 2183,Unlabeled 2183,Unlabeled 2183,Unlabeled 2184,Unlabeled 2184,Unlabeled 2184,Unlabeled 2185,Unlabeled 2185,Unlabeled 2185,Unlabeled 2186,Unlabeled 2186,Unlabeled 2186,Unlabeled 2187,Unlabeled 2187,Unlabeled 2187,Unlabeled 2188,Unlabeled 2188,Unlabeled 2188,Unlabeled 2189,Unlabeled 2189,Unlabeled 2189,Unlabeled 2190,Unlabeled 2190,Unlabeled 2190
,ID,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,26370E49F32811EF4D75BD014E00259A,"BC35C1EDF32811EF4D75BD014E00259A","BC35C1EDF32811EF4D75BD014E00259A","BC35C1EDF32811EF4D75BD014E00259A","BC35C1EEF32811EF4D75BD014E00259A","BC35C1EEF32811EF4D75BD014E00259A","BC35C1EEF32811EF4D75BD014E00259A","BC35C1EFF32811EF4D75BD014E00259A","BC35C1EFF32811EF4D75BD014E00259A","BC35C1EFF32811EF4D75BD014E00259A","188EF0F692E6EF7911EF","188EF0F692E6EF7911EF","188EF0F692E6EF7911EF","188FF0F692E6EF7911EF","188FF0F692E6EF7911EF","188FF0F692E6EF7911EF","1890F0F692E6EF7911EF","1890F0F692E6EF7911EF","1890F0F692E6EF7911EF","1891F0F692E6EF7911EF","1891F0F692E6EF7911EF","1891F0F692E6EF7911EF","1892F0F692E6EF7911EF","1892F0F692E6EF7911EF","1892F0F692E6EF7911EF","1893F0F692E6EF7911EF","1893F0F692E6EF7911EF","1893F0F692E6EF7911EF","1894F0F692E6EF7911EF","1894F0F692E6EF7911EF","1894F0F692E6EF7911EF","1898F0F692E6EF7911EF","1898F0F692E6EF7911EF","1898F0F692E6EF7911EF","1899F0F692E6EF7911EF","1899F0F692E6EF7911EF","1899F0F692E6EF7911EF"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000416,0.008162,0.000362,0.999967,-5.029789,99.371529,463.264954,-13.713038,80.445244,453.893097,12.825496,107.791031,474.938690,-14.201794,109.878387,460.963074,-13.712113,80.429459,453.889618,12.808741,107.791634,474.929840,-14.185899,109.893646,460.975494,28.358089,-96.134956,378.961761,3.323548,-97.182770,395.843872,42.441799,-77.999443,388.853912,43.355255,-36.857819,398.396545,5.114018,-21.136662,413.478638,28.410835,-14.121177,399.672394,39.579197,5.662211,420.315399,29.525578,-56.886379,386.834778,5.844097,-58.243454,401.617371
1,0.008333,0.000336,0.008048,0.000352,0.999968,-5.031801,99.370949,463.266327,-13.713262,80.443336,453.895477,12.820975,107.791969,474.942810,-14.203083,109.877617,460.960693,-13.712043,80.430374,453.892944,12.808241,107.791832,474.936035,-14.191541,109.890724,460.970001,28.357136,-96.134491,378.968475,3.324139,-97.175636,395.840057,42.441208,-77.999573,388.851044,43.356434,-36.857368,398.395752,5.114139,-21.138151,413.475769,28.409060,-14.120627,399.677032,39.578297,5.661066,420.319275,29.525557,-56.886059,386.835266,5.845239,-58.244152,401.623352
2,0.016667,0.000496,0.008073,0.000384,0.999967,-5.031580,99.370583,463.265656,-13.712352,80.445442,453.889221,12.821272,107.788963,474.943939,-14.203629,109.877426,460.963867,-13.711466,80.430267,453.885834,12.806908,107.789429,474.936310,-14.190095,109.892151,460.974945,28.356384,-96.133713,378.967529,3.321017,-97.170845,395.842041,42.441216,-78.000687,388.849976,43.355297,-36.857235,398.396576,5.114715,-21.136963,413.479492,28.409750,-14.125440,399.676544,39.579178,5.660435,420.317017,29.527306,-56.888996,386.835907,5.844625,-58.245682,401.623871
3,0.025000,0.000386,0.008303,0.000371,0.999965,-5.031290,99.369118,463.264496,-13.716813,80.442108,453.896210,12.827132,107.789658,474.932709,-14.204156,109.875664,460.964630,-13.713005,80.427414,453.894592,12.807686,107.787262,474.921600,-14.188517,109.892845,460.977356,28.357229,-96.133965,378.961151,3.324042,-97.178864,395.845612,42.441227,-77.999641,388.851410,43.357288,-36.857536,398.396423,5.115592,-21.135298,413.484924,28.411186,-14.120554,399.680176,39.577789,5.660334,420.312347,29.526373,-56.888653,386.834473,5.844351,-58.245159,401.619995
4,0.033333,0.000594,0.008121,0.000455,0.999967,-5.030760,99.371544,463.265564,-13.709762,80.447029,453.886200,12.822023,107.790146,474.943787,-14.204511,109.877548,460.966736,-13.710854,80.426842,453.880524,12.806885,107.792892,474.936401,-14.188153,109.894981,460.979919,28.357279,-96.134819,378.962952,3.322927,-97.184067,395.846924,42.442375,-78.000305,388.849701,43.355595,-36.855339,398.393463,5.113918,-21.135580,413.479553,28.410135,-14.122472,399.681793,39.578209,5.660356,420.316223,29.526878,-56.888985,386.837250,5.845140,-58.246006,401.623505
5,0.041667,0.000671,0.008189,0.000468,0.999966,-5.030145,99.371536,463.266022,-13.709963,80.448257,453.884918,12.824021,107.788773,474.943115,-14.204463,109.877670,460.970032,-13.710765,80.424728,453.879761,12.808302,107.790466,474.933685,-14.187713,109.898911,460.984619,28.357038,-96.134552,378.965088,3.321336,-97.178375,395.836456,42.441776,-77.997253,388.849548,43.355293,-36.855019,398.399445,5.113394,-21.136898,413.483826,28.410872,-14.122912,399.681946,39.579563,5.661967,420.319061,29.526085,-56.888149,386.833649,5.844997,-58.244579,401.619385
