Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,39.578747,5.6616385000000005,420.317337,28.4099475,-14.120902000000001,399.674713,43.3558445,-36.8575935,398.3961485,29.5255675,-56.886219,386.835022,42.4415035,-77.99950799999999,388.852478,28.357612500000002,-96.1347235,378.965118,5.1140785,-21.1374065,413.4772035,5.844668,-58.243803,401.6203615,3.3238435,-97.179203,395.8419645
2,0.016666666666666666,39.579178,5.660435,420.317017,28.40975,-14.12544,399.676544,43.355297,-36.857235,398.396576,29.527306,-56.888996,386.835907,42.441216,-78.000687,388.849976,28.356384,-96.133713,378.967529,5.114715,-21.136963,413.479492,5.844625,-58.245682,401.623871,3.321017,-97.170845,395.842041
3,0.025,39.577999000000005,5.6603449999999995,420.314285,28.4106605,-14.121513,399.6809845,43.3564415,-36.8564375,398.394943,29.5266255,-56.888819,386.83586149999996,42.441801,-77.999973,388.8505555,28.357253999999998,-96.13439199999999,378.9620515,5.114755000000001,-21.135438999999998,413.4822385,5.8447455,-58.2455825,401.62175,3.3234845,-97.1814655,395.846268
5,0.041666666666666664,39.579563,5.661967,420.319061,28.410872,-14.122912,399.681946,43.355293,-36.855019,398.399445,29.526085,-56.888149,386.833649,42.441776,-77.997253,388.849548,28.357038,-96.134552,378.965088,5.113394,-21.136898,413.483826,5.844997,-58.244579,401.619385,3.321336,-97.178375,395.836456
6,0.05,39.577200000000005,5.6623695000000005,420.3094175,28.409298,-14.120604499999999,399.6734465,43.3541485,-36.856691,398.3936615,29.5254775,-56.8851795,386.8347165,42.440201,-77.998447,388.85089100000005,28.35655,-96.133873,378.96492,5.1132595,-21.1366005,413.482025,5.844566,-58.24453,401.619507,3.320804,-97.1754305,395.844528
8,0.06666666666666667,39.576149,5.660327,420.310333,28.411425,-14.12255,399.678558,43.355618,-36.857075,398.392548,29.526178,-56.886608,386.835541,42.441311,-77.999641,388.8526,28.357069,-96.136345,378.9664,5.11414,-21.138556,413.487122,5.845346,-58.243999,401.621063,3.321541,-97.182129,395.837158
9,0.075,39.5796795,5.659965,420.31733699999995,28.410244499999997,-14.1215185,399.680435,43.3557965,-36.8554635,398.3926545,29.5262615,-56.886566,386.832672,42.441719,-77.9978445,388.851639,28.357820500000003,-96.13233199999999,378.962738,5.1145985,-21.136325499999998,413.48672450000004,5.846447,-58.244341,401.622299,3.3231070000000003,-97.1769065,395.8433075
11,0.09166666666666666,39.577297,5.661402,420.314972,28.412106,-14.12187,399.679962,43.356007,-36.854408,398.40155,29.525248,-56.885284,386.832306,42.441345,-77.996986,388.849457,28.357349,-96.131805,378.965485,5.113631,-21.135267,413.476898,5.845632,-58.245075,401.628815,3.322064,-97.177864,395.836456
12,0.1,39.579971,5.660471,420.31544499999995,28.410805,-14.123384999999999,399.67669650000005,43.3551025,-36.8558655,398.3928985,29.5268085,-56.887022,386.83326750000003,42.441503499999996,-78.0000915,388.85188300000004,28.3585865,-96.133827,378.9618835,5.1143735,-21.137008,413.48353599999996,5.845529,-58.245346,401.6257475,3.321752,-97.1793255,395.83903499999997
14,0.11666666666666667,39.577477,5.661245,420.31958,28.409525,-14.122461,399.675842,43.357052,-36.857788,398.391113,29.525982,-56.885303,386.83075,42.442616,-77.997818,388.852814,28.357975,-96.1343,378.965149,5.113868,-21.137222,413.483887,5.844884,-58.245548,401.623444,3.322855,-97.182991,395.840027
15,0.125,39.578693,5.660962,420.3131105,28.410094,-14.1194795,399.6809385,43.3559135,-36.85479,398.3951265,29.5257825,-56.886475000000004,386.83049,42.4413395,-77.999302,388.85087599999997,28.356223999999997,-96.1336555,378.9629365,5.112728499999999,-21.135615,413.482834,5.845553,-58.243332,401.6215055,3.321193,-97.174553,395.84098800000004
17,0.14166666666666666,39.577347,5.662563,420.318512,28.411392,-14.11876,399.680389,43.354935,-36.853531,398.392365,29.52581,-56.886276,386.834198,42.44088,-77.999573,388.852936,28.357164,-96.134018,378.968506,5.115163,-21.135788,413.48764,5.844016,-58.242283,401.622162,3.322359,-97.17585,395.840942
18,0.15,39.578284999999994,5.6608085,420.31210350000003,28.411416000000003,-14.122027500000002,399.6812745,43.356618499999996,-36.8570595,398.397018,29.527504,-56.887035499999996,386.836151,42.4408035,-77.998039,388.850693,28.3569565,-96.1348685,378.961899,5.1142935000000005,-21.1369675,413.48474150000004,5.8449765,-58.2436085,401.62243650000005,3.3212575,-97.1793325,395.84082
20,0.16666666666666666,39.576515,5.662385,420.310181,28.409185,-14.120525,399.67923,43.356106,-36.856865,398.396667,29.524525,-56.88694,386.834137,42.441113,-78.000168,388.850433,28.35771,-96.133873,378.965302,5.113542,-21.136364,413.481934,5.845037,-58.244049,401.617188,3.320983,-97.178329,395.846191
21,0.175,39.5791835,5.6621005,420.31759650000004,28.409737,-14.121056,399.677933,43.355867,-36.855144499999994,398.3967285,29.526255499999998,-56.885973,386.830353,42.4426155,-77.998539,388.8551635,28.359033,-96.132435,378.9657135,5.113378,-21.135348999999998,413.48373449999997,5.845606999999999,-58.243714999999995,401.623596,3.3230915,-97.17407600000001,395.838165
23,0.19166666666666665,39.577553,5.65918,420.311676,28.412214,-14.120498,399.675842,43.355591,-36.856483,398.391632,29.526615,-56.887863,386.833282,42.443211,-77.997543,388.854431,28.358778,-96.135193,378.969055,5.115166,-21.137983,413.4823,5.845143,-58.244629,401.6185,3.323822,-97.182083,395.836731
24,0.2,39.578886,5.659689,420.316742,28.4110655,-14.12292,399.679489,43.356759999999994,-36.8564855,398.395355,29.5262325,-56.887791,386.834366,42.4419745,-78.00024049999999,388.8536985,28.3590135,-96.13397599999999,378.96406549999995,5.115054,-21.137475000000002,413.4835665,5.844366,-58.2444495,401.6210785,3.3228865,-97.18293399999999,395.83895900000005
26,0.21666666666666667,39.57851,5.661849,420.308197,28.410095,-14.119514,399.678223,43.354553,-36.855682,398.397736,29.526838,-56.88464,386.829102,42.441151,-77.997543,388.853271,28.358915,-96.135475,378.964661,5.11305,-21.137411,413.483612,5.846944,-58.242447,401.623413,3.321926,-97.179939,395.837799
27,0.225,39.5782545,5.662088,420.3168795,28.410833500000003,-14.122137500000001,399.679367,43.355847999999995,-36.855464999999995,398.39610300000004,29.52676,-56.887978000000004,386.8345185,42.441534000000004,-77.99770749999999,388.852112,28.3578225,-96.1351775,378.9658965,5.1140115,-21.134966,413.487076,5.8453675,-58.244055,401.6256255,3.321174,-97.180378,395.8439175
29,0.24166666666666667,39.578537,5.661559,420.311279,28.409845,-14.12301,399.678711,43.355797,-36.858696,398.396332,29.526253,-56.887707,386.835236,42.441158,-77.999702,388.851837,28.356152,-96.134445,378.968842,5.113336,-21.138618,413.482239,5.846994,-58.243099,401.619507,3.321377,-97.175095,395.837799
30,0.25,39.578375,5.662486,420.31854250000004,28.409606,-14.1202395,399.682587,43.355547,-36.855323999999996,398.3970185,29.526194500000003,-56.887057999999996,386.832077,42.4413075,-77.9997405,388.853317,28.3569945,-96.133911,378.96554549999996,5.114457,-21.136752,413.48449700000003,5.844362500000001,-58.245758,401.62468,3.321215,-97.17647149999999,395.842453
32,0.26666666666666666,39.578167,5.660155,420.317719,28.410717,-14.120393,399.681122,43.356472,-36.855267,398.397552,29.527191,-56.887085,386.835663,42.440586,-77.99894,388.850403,28.35721,-96.133316,378.963715,5.115034,-21.134642,413.480804,5.845231,-58.245842,401.624237,3.322143,-97.176216,395.850433
33,0.275,39.579332,5.662245,420.315689,28.410572,-14.1215935,399.679733,43.3554555,-36.857529,398.398056,29.526739,-56.888344000000004,386.833588,42.441894500000004,-77.99934400000001,388.852295,28.3565225,-96.13343449999999,378.96250899999995,5.11397,-21.138067,413.48155199999997,5.8451135,-58.24601,401.62374850000003,3.32246,-97.17279049999999,395.842148
35,0.2916666666666667,39.579876,5.661066,420.314301,28.410141,-14.123565,399.676514,43.354836,-36.856972,398.396179,29.527407,-56.88776,386.835388,42.441536,-77.999886,388.85202,28.357752,-96.134506,378.963287,5.114476,-21.137657,413.483582,5.845163,-58.244877,401.62619,3.322931,-97.176582,395.841156
36,0.3,39.5797405,5.662278000000001,420.3150785,28.410545499999998,-14.1218055,399.6784515,43.3563555,-36.856657,398.39793399999996,29.526618,-56.886902,386.834305,42.4415305,-77.999935,388.855133,28.3577035,-96.1349795,378.9662935,5.113775,-21.137214999999998,413.4816285,5.845374,-58.245184,401.62593100000004,3.322001,-97.1799585,395.843567
38,0.31666666666666665,39.576626,5.662248,420.319794,28.410273,-14.120508,399.681519,43.355228,-36.858101,398.396149,29.52639,-56.887226,386.827698,42.440933,-77.999046,388.852051,28.355122,-96.133919,378.966675,5.114247,-21.136415,413.482452,5.844772,-58.244362,401.623779,3.321617,-97.175743,395.842285
39,0.325,39.5788805,5.6627469999999995,420.318161,28.410345,-14.121297,399.6791535,43.355431,-36.857376,398.397644,29.5265095,-56.8871235,386.835007,42.4403935,-77.9997865,388.8531345,28.3566885,-96.1322515,378.962448,5.114415,-21.135693500000002,413.4858395,5.846185999999999,-58.242525,401.619919,3.3224535,-97.1767695,395.84758
41,0.3416666666666667,39.579735,5.662764,420.31781,28.411154,-14.120169,399.681244,43.355675,-36.8578,398.398743,29.526039,-56.886066,386.837982,42.440765,-78.000847,388.857361,28.356274,-96.133728,378.961639,5.11368,-21.135483,413.484924,5.846064,-58.242374,401.622437,3.320858,-97.176651,395.846802
