Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,23.369071,13.0027535,419.18133550000005,12.224938,-6.578211,398.1193085,26.478175999999998,-29.9879015,397.41355899999996,12.3717475,-49.685086999999996,385.50144950000004,24.447623999999998,-71.338055,388.229935,9.805086,-89.0132825,377.942398,-11.744177,-12.771900500000001,411.1299595,-11.842558499999999,-49.951351,399.51178,-15.669980500000001,-88.89225400000001,394.079468
2,0.016666666666666666,23.367558,13.004104,419.178711,12.225924,-6.58027,398.117004,26.476032,-29.987272,397.412354,12.370695,-49.683769,385.499786,24.447578,-71.339371,388.234528,9.805113,-89.01461,377.940948,-11.743963,-12.769272,411.123352,-11.842448,-49.953285,399.512146,-15.670802,-88.893097,394.075836
3,0.025,23.3680705,13.002001,419.180771,12.225226500000002,-6.577781,398.1141205,26.4789995,-29.988762,397.413528,12.371542999999999,-49.688152,385.497208,24.449126,-71.33921050000001,388.23436,9.806280000000001,-89.015163,377.941986,-11.74331,-12.7713515,411.1265565,-11.841710500000001,-49.953087,399.510513,-15.6694055,-88.89251300000001,394.07597350000003
5,0.041666666666666664,23.368269,13.003617,419.180939,12.224632,-6.576786,398.11319,26.477188,-29.987295,397.407379,12.370996,-49.68578,385.499512,24.447538,-71.339531,388.232483,9.80597,-89.01561,377.938568,-11.744132,-12.77247,411.129211,-11.843488,-49.952175,399.513306,-15.669719,-88.895012,394.083008
6,0.05,23.3690655,13.0048725,419.184219,12.223881500000001,-6.576354,398.112686,26.477625500000002,-29.986455999999997,397.411743,12.3704865,-49.6850395,385.4946445,24.448069,-71.3401225,388.2343595,9.8052565,-89.015297,377.9426575,-11.7436295,-12.769536500000001,411.1268155,-11.8416905,-49.950684,399.5066375,-15.6706115,-88.891903,394.075989
8,0.06666666666666667,23.368252,13.004061,419.18338,12.223707,-6.57639,398.111237,26.478151,-29.987602,397.419006,12.372791,-49.68327,385.497345,24.447552,-71.341644,388.238129,9.805385,-89.017197,377.942352,-11.743226,-12.770405,411.124054,-11.841071,-49.953903,399.516693,-15.671644,-88.893547,394.080811
9,0.075,23.36737,13.001847,419.1782075,12.2239455,-6.5796215,398.115219,26.478692000000002,-29.988037,397.41513050000003,12.3712625,-49.685528,385.496872,24.447898,-71.3416785,388.2352445,9.8054395,-89.01608250000001,377.9404295,-11.7435045,-12.7720395,411.126404,-11.841526,-49.9512485,399.51522850000003,-15.670773,-88.8934175,394.0753175
11,0.09166666666666666,23.369116,13.002666,419.180878,12.223847,-6.579014,398.118286,26.476528,-29.989607,397.413483,12.369921,-49.686127,385.496277,24.446926,-71.340569,388.230499,9.803387,-89.014275,377.938934,-11.743678,-12.772209,411.127014,-11.841994,-49.952675,399.512604,-15.670909,-88.892601,394.079102
12,0.1,23.3673775,13.004196,419.17807000000005,12.2241,-6.57639,398.1152955,26.477088000000002,-29.987650000000002,397.414032,12.371895,-49.6859605,385.50032,24.449132,-71.34056100000001,388.235092,9.8049115,-89.01499150000001,377.94235249999997,-11.744427,-12.770472999999999,411.1286775,-11.842300999999999,-49.951254000000006,399.513458,-15.670412500000001,-88.89220800000001,394.07318150000003
14,0.11666666666666667,23.368105,13.002172,419.176544,12.224862,-6.578934,398.119263,26.478958,-29.985929,397.413239,12.372062,-49.684032,385.501404,24.44796,-71.337814,388.228912,9.807314,-89.014664,377.939301,-11.743244,-12.771042,411.131989,-11.843105,-49.95068,399.512848,-15.669799,-88.894867,394.080841
15,0.125,23.3670605,13.0028215,419.1813355,12.224511,-6.577548,398.11557,26.477272,-29.9874455,397.41583249999996,12.372393500000001,-49.683937,385.500717,24.4489685,-71.340069,388.23226950000003,9.805906499999999,-89.0150715,377.9387665,-11.7434835,-12.7702645,411.1306455,-11.842839999999999,-49.9516105,399.5123595,-15.6702125,-88.8942035,394.07963600000005
17,0.14166666666666666,23.367863,13.003206,419.177155,12.225709,-6.578599,398.11969,26.479025,-29.987823,397.415771,12.372624,-49.686874,385.498169,24.44936,-71.339767,388.235382,9.806944,-89.014343,377.941437,-11.741123,-12.770841,411.126068,-11.841941,-49.954796,399.512756,-15.668793,-88.893997,394.075531
18,0.15,23.3667985,13.0033095,419.1794125,12.2235865,-6.57578,398.1159665,26.477783000000002,-29.9857225,397.41461200000003,12.3716595,-49.684551,385.4981385,24.4485005,-71.339489,388.23010250000004,9.8056225,-89.01381649999999,377.93682850000005,-11.7424825,-12.768954,411.12757899999997,-11.841651,-49.951273,399.51280199999997,-15.6690045,-88.891655,394.07435599999997
20,0.16666666666666666,23.368305,13.002861,419.183075,12.223753,-6.578684,398.10553,26.479492,-29.987118,397.410431,12.372701,-49.684765,385.498688,24.448753,-71.338837,388.23114,9.807085,-89.015701,377.937103,-11.743478,-12.771105,411.130829,-11.841246,-49.951759,399.512909,-15.668253,-88.892555,394.074127
21,0.175,23.3667595,13.00337,419.1780855,12.224871,-6.5773545,398.1133575,26.4775065,-29.986718,397.41308549999997,12.371361499999999,-49.685158,385.49577350000004,24.448631499999998,-71.3404005,388.2346805,9.806504,-89.014408,377.93809550000003,-11.742729,-12.770994,411.12973,-11.8414105,-49.9525475,399.5131685,-15.6702515,-88.89131549999999,394.0758975
23,0.19166666666666665,23.367035,13.005436,419.18161,12.224168,-6.576458,398.116425,26.478264,-29.98538,397.41507,12.372309,-49.685081,385.496124,24.45009,-71.338593,388.233612,9.806778,-89.014252,377.94043,-11.74378,-12.771025,411.12616,-11.841738,-49.952641,399.514893,-15.668453,-88.891434,394.079529
24,0.2,23.367297,13.0046935,419.17807000000005,12.224279,-6.5758589999999995,398.1178435,26.477252,-29.985154,397.4109955,12.370992000000001,-49.6831325,385.492981,24.44911,-71.33962650000001,388.232132,9.806499,-89.01399599999999,377.938675,-11.743819,-12.7696665,411.1262205,-11.8411435,-49.949175,399.5099795,-15.66843,-88.891541,394.0711215
26,0.21666666666666667,23.367867,13.003322,419.181305,12.223126,-6.579161,398.112976,26.479271,-29.984936,397.414093,12.370389,-49.684811,385.500397,24.449478,-71.338219,388.237671,9.806579,-89.014999,377.934509,-11.744086,-12.771368,411.126007,-11.841659,-49.951862,399.511414,-15.668506,-88.893127,394.077057
27,0.225,23.367806,13.00404,419.178955,12.224544,-6.575563,398.1116485,26.477975999999998,-29.9872445,397.41378799999995,12.3712,-49.684694,385.499725,24.450237,-71.340351,388.234375,9.808430999999999,-89.01400000000001,377.9393005,-11.7435215,-12.7723055,411.1268005,-11.8411975,-49.953255,399.51190199999996,-15.6692715,-88.8931965,394.0744935
29,0.24166666666666667,23.368443,13.00479,419.176056,12.223549,-6.575251,398.111786,26.477419,-29.984449,397.40921,12.370839,-49.679413,385.494751,24.449387,-71.337616,388.230896,9.806524,-89.012016,377.940277,-11.743864,-12.769088,411.13327,-11.841334,-49.949272,399.512024,-15.669446,-88.890625,394.072845
30,0.25,23.367834000000002,13.0052875,419.175766,12.2247065,-6.5754455,398.11465450000003,26.478654499999998,-29.9865225,397.41317749999996,12.3714665,-49.683266,385.4988865,24.448408,-71.337368,388.2287595,9.8062145,-89.01145199999999,377.93705750000004,-11.743542,-12.771343,411.126282,-11.841412,-49.951971,399.513916,-15.6694445,-88.88946949999999,394.07553099999996
32,0.26666666666666666,23.366714,13.003629,419.177185,12.225101,-6.577464,398.110046,26.477173,-29.984468,397.409698,12.371413,-49.682072,385.495758,24.449583,-71.336884,388.231445,9.805269,-89.01561,377.938477,-11.744629,-12.770252,411.129211,-11.841045,-49.950874,399.509644,-15.668558,-88.889763,394.071289
