Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,60.1435605,6.4454329999999995,412.90637200000003,46.218532499999995,-11.6225195,392.112381,59.4515435,-35.4681015,389.06838949999997,43.5945605,-53.9913655,377.7502745,55.081351999999995,-76.209705,378.44601450000005,39.105169000000004,-92.880356,368.8036955,23.391927,-17.587698500000002,407.258545,20.8076965,-54.14931850000001,394.03799449999997,15.064128499999999,-92.580284,387.11720249999996
2,0.016666666666666666,60.145451,6.440317,412.90094,46.220421,-11.624583,392.124573,59.447887,-35.469425,389.064026,43.594963,-53.992992,377.756409,55.081959,-76.212097,378.44397,39.102795,-92.881317,368.803162,23.382936,-17.585983,407.240753,20.810326,-54.147217,394.036316,15.063339,-92.577187,387.120911
3,0.025,60.1450235,6.447262500000001,412.903656,46.218832000000006,-11.625169,392.1126865,59.449560000000005,-35.469721,389.0653995,43.595177,-53.995157000000006,377.7574615,55.081205499999996,-76.2117235,378.444702,39.1089075,-92.88392999999999,368.81402549999996,23.386403,-17.589435,407.24363700000004,20.807603,-54.1561715,394.0259245,15.0637065,-92.57830050000001,387.120056
5,0.041666666666666664,60.141411,6.446245,412.89502,46.21381,-11.623147,392.10968,59.452461,-35.468987,389.072174,43.597153,-53.996033,377.751038,55.07811,-76.205757,378.434204,39.103722,-92.882523,368.800446,23.38159,-17.590916,407.232361,20.808401,-54.157169,394.031494,15.063686,-92.576935,387.118652
6,0.05,60.140716499999996,6.442781500000001,412.896118,46.2173555,-11.622389,392.109741,59.450922,-35.4694155,389.064743,43.594154,-53.990927,377.750641,55.080906,-76.209034,378.446274,39.107292,-92.8836975,368.81309550000003,23.387811499999998,-17.587308999999998,407.249069,20.807064,-54.1574975,394.0304565,15.0623625,-92.57723250000001,387.1162415
8,0.06666666666666667,60.140472,6.448397,412.896637,46.219791,-11.623944,392.130859,59.447529,-35.468971,389.063232,43.594418,-53.99445,377.748322,55.081223,-76.214249,378.446594,39.10627,-92.88327,368.812744,23.384422,-17.586912,407.241669,20.810499,-54.15588,394.030487,15.064347,-92.580055,387.119568
9,0.075,60.139047500000004,6.4469294999999995,412.8908235,46.217417,-11.622333999999999,392.1149295,59.450058,-35.465618,389.07171600000004,43.5949555,-53.992901,377.754913,55.080122,-76.2109985,378.4452665,39.1020085,-92.881813,368.8006745,23.386501000000003,-17.587643,407.245361,20.8063305,-54.152191,394.03294400000004,15.0620695,-92.576908,387.1204375
11,0.09166666666666666,60.140064,6.43874,412.89389,46.218979,-11.625423,392.112152,59.448978,-35.46936,389.064362,43.594093,-53.994591,377.753815,55.080246,-76.212219,378.446472,39.102467,-92.880852,368.804291,23.390387,-17.588964,407.265442,20.808119,-54.159756,394.033356,15.062308,-92.574265,387.11618
12,0.1,60.1424315,6.4437435,412.90437299999996,46.220537,-11.623749499999999,392.123459,59.448859999999996,-35.470005,389.062485,43.593935,-53.991394,377.75,55.079529,-76.2093505,378.4449005,39.103178,-92.8814505,368.804672,23.383701000000002,-17.5862235,407.2352755,20.805213000000002,-54.156006,394.0267485,15.061913,-92.579441,387.11972049999997
14,0.11666666666666667,60.144566,6.44087,412.907288,46.220287,-11.623882,392.109344,59.448196,-35.46973,389.064819,43.595539,-53.994766,377.755157,55.082344,-76.212265,378.447601,39.106033,-92.884888,368.807861,23.391727,-17.591389,407.261719,20.807623,-54.14785,394.03717,15.06302,-92.58049,387.122498
