Format Version,1.24,Take Name,Take 2025-02-27 06.56.51 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-27 06.56.51.395 下午,Capture Start Frame,97609,Total Frames in Take,7724,Total Exported Frames,7724,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Unlabeled 2635,Unlabeled 2635,Unlabeled 2635,Unlabeled 2636,Unlabeled 2636,Unlabeled 2636,Unlabeled 2637,Unlabeled 2637,Unlabeled 2637,Unlabeled 2638,Unlabeled 2638,Unlabeled 2638,Unlabeled 2639,Unlabeled 2639,Unlabeled 2639,Unlabeled 2640,Unlabeled 2640,Unlabeled 2640,Unlabeled 2641,Unlabeled 2641,Unlabeled 2641,Unlabeled 2642,Unlabeled 2642,Unlabeled 2642,Unlabeled 2643,Unlabeled 2643,Unlabeled 2643,Unlabeled 2646,Unlabeled 2646,Unlabeled 2646,Unlabeled 2648,Unlabeled 2648,Unlabeled 2648,Unlabeled 2649,Unlabeled 2649,Unlabeled 2649,Unlabeled 2651,Unlabeled 2651,Unlabeled 2651,Unlabeled 2653,Unlabeled 2653,Unlabeled 2653,Unlabeled 2654,Unlabeled 2654,Unlabeled 2654,Unlabeled 2655,Unlabeled 2655,Unlabeled 2655,Unlabeled 2656,Unlabeled 2656,Unlabeled 2656,Unlabeled 2661,Unlabeled 2661,Unlabeled 2661,Unlabeled 2663,Unlabeled 2663,Unlabeled 2663,Unlabeled 2665,Unlabeled 2665,Unlabeled 2665,Unlabeled 2666,Unlabeled 2666,Unlabeled 2666,Unlabeled 2667,Unlabeled 2667,Unlabeled 2667,Unlabeled 2668,Unlabeled 2668,Unlabeled 2668,Unlabeled 2669,Unlabeled 2669,Unlabeled 2669
,ID,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,85593991F4F911EF4D75BD014E00259A,"8BF47DD5F4F911EF4D75BD014E00259A","8BF47DD5F4F911EF4D75BD014E00259A","8BF47DD5F4F911EF4D75BD014E00259A","8BF47DD6F4F911EF4D75BD014E00259A","8BF47DD6F4F911EF4D75BD014E00259A","8BF47DD6F4F911EF4D75BD014E00259A","8BF47DD7F4F911EF4D75BD014E00259A","8BF47DD7F4F911EF4D75BD014E00259A","8BF47DD7F4F911EF4D75BD014E00259A","9D8BF0F692E6EF7911EF","9D8BF0F692E6EF7911EF","9D8BF0F692E6EF7911EF","9D8CF0F692E6EF7911EF","9D8CF0F692E6EF7911EF","9D8CF0F692E6EF7911EF","9D8DF0F692E6EF7911EF","9D8DF0F692E6EF7911EF","9D8DF0F692E6EF7911EF","9D8EF0F692E6EF7911EF","9D8EF0F692E6EF7911EF","9D8EF0F692E6EF7911EF","9D92F0F692E6EF7911EF","9D92F0F692E6EF7911EF","9D92F0F692E6EF7911EF","9D97F0F692E6EF7911EF","9D97F0F692E6EF7911EF","9D97F0F692E6EF7911EF","9D9DF0F692E6EF7911EF","9D9DF0F692E6EF7911EF","9D9DF0F692E6EF7911EF","9DA0F0F692E6EF7911EF","9DA0F0F692E6EF7911EF","9DA0F0F692E6EF7911EF","9DA1F0F692E6EF7911EF","9DA1F0F692E6EF7911EF","9DA1F0F692E6EF7911EF","9DAFF0F692E6EF7911EF","9DAFF0F692E6EF7911EF","9DAFF0F692E6EF7911EF","9DB1F0F692E6EF7911EF","9DB1F0F692E6EF7911EF","9DB1F0F692E6EF7911EF","9DB2F0F692E6EF7911EF","9DB2F0F692E6EF7911EF","9DB2F0F692E6EF7911EF","9DB4F0F692E6EF7911EF","9DB4F0F692E6EF7911EF","9DB4F0F692E6EF7911EF","9DB6F0F692E6EF7911EF","9DB6F0F692E6EF7911EF","9DB6F0F692E6EF7911EF","9DB7F0F692E6EF7911EF","9DB7F0F692E6EF7911EF","9DB7F0F692E6EF7911EF","9DB8F0F692E6EF7911EF","9DB8F0F692E6EF7911EF","9DB8F0F692E6EF7911EF","9DB9F0F692E6EF7911EF","9DB9F0F692E6EF7911EF","9DB9F0F692E6EF7911EF","9DBEF0F692E6EF7911EF","9DBEF0F692E6EF7911EF","9DBEF0F692E6EF7911EF","9DC0F0F692E6EF7911EF","9DC0F0F692E6EF7911EF","9DC0F0F692E6EF7911EF","9DC2F0F692E6EF7911EF","9DC2F0F692E6EF7911EF","9DC2F0F692E6EF7911EF","9DC3F0F692E6EF7911EF","9DC3F0F692E6EF7911EF","9DC3F0F692E6EF7911EF","9DC4F0F692E6EF7911EF","9DC4F0F692E6EF7911EF","9DC4F0F692E6EF7911EF","9DC5F0F692E6EF7911EF","9DC5F0F692E6EF7911EF","9DC5F0F692E6EF7911EF","9DC6F0F692E6EF7911EF","9DC6F0F692E6EF7911EF","9DC6F0F692E6EF7911EF"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000083,-0.000007,0.000034,1.000000,15.284626,101.403503,463.843536,4.799551,83.848557,453.273651,34.100845,107.682808,475.329803,6.953480,112.679092,462.927002,4.800642,83.849548,453.274506,34.101597,107.681526,475.329926,6.951640,112.679420,462.926056,13.609847,-16.857908,407.539062,50.303921,7.087653,414.080322,5.628658,-91.864342,387.337097,34.474243,-53.371437,378.650574,30.094347,-92.259979,369.583038,50.110416,-34.865059,390.357025,11.270829,-53.424461,394.265900,45.884041,-75.605026,379.646576,36.815422,-11.003101,392.908752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.000231,-0.000175,0.000102,1.000000,15.287843,101.405228,463.844421,4.808726,83.851967,453.265839,34.099342,107.683708,475.338898,6.955465,112.679955,462.928436,4.806393,83.847374,453.261292,34.104977,107.686493,475.342651,6.953621,112.683395,462.928192,13.611678,-16.854052,407.539856,50.303581,7.083221,414.084747,5.630883,-91.864471,387.357117,34.475685,-53.375702,378.654388,30.098959,-92.263184,369.588684,50.110462,-34.863640,390.355896,11.277763,-53.433060,394.280273,45.885086,-75.603050,379.649963,36.811546,-11.003897,392.880249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.000280,-0.000426,-0.000086,1.000000,15.283864,101.404236,463.830231,4.803438,83.844139,453.264313,34.091953,107.687363,475.327759,6.956202,112.681160,462.898560,4.803115,83.847168,453.265656,34.103313,107.685616,475.331390,6.943939,112.680298,462.887634,13.610379,-16.858900,407.542023,50.308445,7.087049,414.088013,5.632333,-91.865860,387.350677,34.474918,-53.378685,378.667694,30.095131,-92.268562,369.592560,50.112041,-34.866287,390.371704,11.281169,-53.424480,394.283020,45.884476,-75.606186,379.646545,36.815769,-11.000986,392.903717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.000179,-0.000200,-0.000030,1.000000,15.286731,101.402084,463.838715,4.803522,83.842918,453.274017,34.099304,107.685028,475.329010,6.957369,112.678246,462.913086,4.805523,83.847885,453.277374,34.104477,107.682594,475.329926,6.951473,112.675713,462.911560,13.611083,-16.857643,407.540100,50.303928,7.081879,414.082886,5.631498,-91.868668,387.356018,34.470310,-53.372032,378.648468,30.093733,-92.268761,369.598969,50.113163,-34.866920,390.363281,11.274730,-53.423531,394.247070,45.883064,-75.604965,379.646667,36.814236,-11.001086,392.889465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.000110,-0.000065,0.000116,1.000000,15.285031,101.401443,463.828674,4.804079,83.845337,453.256622,34.098877,107.683220,475.317505,6.952137,112.675713,462.911804,4.805221,83.845039,453.254547,34.098236,107.682281,475.315063,6.951178,112.677444,462.912476,13.609916,-16.826744,407.546051,50.303070,7.085113,414.076233,5.628903,-91.868164,387.351349,34.472988,-53.370869,378.644318,30.096989,-92.270546,369.598236,50.109093,-34.866230,390.361389,11.273396,-53.428219,394.256500,45.885368,-75.602776,379.646851,36.818222,-10.998861,392.900421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.000446,0.000091,-0.000171,1.000000,15.281508,101.405777,463.839600,4.787189,83.843933,453.290375,34.102543,107.689545,475.315582,6.954793,112.683800,462.912781,4.794468,83.856178,453.302856,34.097946,107.682526,475.310455,6.951202,112.680779,462.909210,13.611814,-16.854445,407.543304,50.303249,7.082764,414.084412,5.632830,-91.868050,387.353821,34.473915,-53.370754,378.655853,30.095381,-92.267906,369.595551,50.111156,-34.867222,390.371613,11.274295,-53.426590,394.259247,45.883446,-75.604446,379.645996,36.814865,-11.004022,392.895966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
