Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,50.303751000000005,7.085437000000001,414.0825345,36.813484,-11.003499,392.8945005,50.110439,-34.8643495,390.3564605,34.474964,-53.3735695,378.65248099999997,45.8845635,-75.604038,379.64826949999997,30.096653,-92.2615815,369.585861,13.6107625,-16.85598,407.53945899999997,11.274296,-53.428760499999996,394.2730865,5.629770499999999,-91.8644065,387.34710700000005
2,0.016666666666666666,50.308445,7.087049,414.088013,36.815769,-11.000986,392.903717,50.112041,-34.866287,390.371704,34.474918,-53.378685,378.667694,45.884476,-75.606186,379.646545,30.095131,-92.268562,369.59256,13.610379,-16.8589,407.542023,11.281169,-53.42448,394.28302,5.632333,-91.86586,387.350677
3,0.025,50.303499,7.083496,414.07955949999996,36.816229,-10.9999735,392.894943,50.111128,-34.866575,390.362335,34.471649,-53.371450499999995,378.646393,45.884215999999995,-75.6038705,379.646759,30.095361,-92.2696535,369.59860249999997,13.6104995,-16.8421935,407.5430755,11.274063,-53.425875,394.25178500000004,5.6302005,-91.868416,387.3536835
5,0.041666666666666664,50.303249,7.082764,414.084412,36.814865,-11.004022,392.895966,50.111156,-34.867222,390.371613,34.473915,-53.370754,378.655853,45.883446,-75.604446,379.645996,30.095381,-92.267906,369.595551,13.611814,-16.854445,407.543304,11.274295,-53.42659,394.259247,5.63283,-91.86805,387.353821
6,0.05,50.3052005,7.08532,414.080429,36.813536,-11.001005,392.89453100000003,50.1116885,-34.864958,390.37074299999995,34.4714925,-53.371911999999995,378.6462245,45.882351,-75.6033095,379.6450805,30.0952195,-92.2598915,369.59027100000003,13.6122,-16.857132,407.5301055,11.2739695,-53.4260315,394.2644045,5.6315539999999995,-91.865387,387.349823
8,0.06666666666666667,50.306362,7.084253,414.095764,36.818771,-10.998067,392.89801,50.110115,-34.865356,390.360168,34.473,-53.368473,378.642548,45.884151,-75.605186,379.644714,30.097748,-92.269035,369.598358,13.610416,-16.854404,407.547943,11.283117,-53.430695,394.300323,5.630167,-91.866493,387.357544
9,0.075,50.302288000000004,7.0834505,414.07572949999997,36.8158075,-11.0016625,392.9009395,50.109068,-34.867777000000004,390.3628995,34.469449999999995,-53.375349,378.64473,45.885763,-75.6038475,379.6498415,30.096939,-92.26762,369.59590149999997,13.61113,-16.855557,407.541611,11.274765,-53.429691500000004,394.2627565,5.63246,-91.866333,387.3494725
11,0.09166666666666666,50.303749,7.084452,414.083557,36.816868,-11.004257,392.906799,50.111061,-34.866539,390.354797,34.475456,-53.3699,378.65152,45.883778,-75.604225,379.645508,30.093557,-92.268257,369.581024,13.61082,-16.859089,407.537201,11.27682,-53.430202,394.271606,5.629353,-91.868607,387.347565
12,0.1,50.3045255,7.0852375,414.08245850000003,36.816075999999995,-11.002437,392.8926395,50.109875,-34.8663465,390.36431849999997,34.4758015,-53.373913,378.65824899999996,45.88451,-75.60576599999999,379.64765950000003,30.097246,-92.265251,369.5948945,13.611697,-16.854844999999997,407.54310599999997,11.283883,-53.432756499999996,394.29750049999996,5.629287,-91.86394100000001,387.34120199999995
14,0.11666666666666667,50.303116,7.084515,414.079285,36.814735,-11.002916,392.888916,50.111271,-34.867653,390.374939,34.472137,-53.368587,378.64444,45.885162,-75.602638,379.64447,30.097702,-92.269791,369.598877,13.610285,-16.857321,407.541321,11.273686,-53.426556,394.26178,5.629034,-91.866997,387.349152
