Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,137.1847005,54.6802025,414.1732485,123.3516805,34.5142285,398.916565,135.83419800000001,11.380343,396.72051999999996,120.66480250000001,-6.7715335,387.782425,134.2302015,-28.65399,382.00563050000005,117.47906850000001,-45.051254,375.346817,106.16498949999999,27.606060999999997,417.21176149999997,104.4226415,-9.3895555,405.509338,96.23769,-46.194725,396.9144135
2,0.016666666666666666,137.18454,54.685207,414.155884,123.351006,34.515877,398.910767,135.83609,11.386134,396.724609,120.663063,-6.771165,387.77774,134.22876,-28.652788,381.998108,117.479675,-45.050972,375.348969,106.173485,27.609547,417.227936,104.424332,-9.385112,405.506989,96.239212,-46.191353,396.91629
3,0.025,137.18192299999998,54.6788045,414.1532135,123.3500555,34.516009999999994,398.9128725,135.8343125,11.379373000000001,396.72186250000004,120.6624645,-6.7708545,387.776932,134.227913,-28.6563635,382.0027315,117.475845,-45.052143,375.342804,106.164444,27.607416999999998,417.21200550000003,104.42159649999999,-9.390994500000001,405.5099335,96.2367405,-46.1935655,396.9154665
5,0.041666666666666664,137.18692,54.679173,414.174652,123.348076,34.509544,398.903992,135.832687,11.379866,396.718292,120.661362,-6.775171,387.77597,134.229767,-28.659264,382.004425,117.477005,-45.051888,375.339355,106.16304,27.601637,417.207367,104.422234,-9.392931,405.507172,96.238243,-46.197136,396.918671
6,0.05,137.1828615,54.672981500000006,414.1596985,123.35216500000001,34.510234999999994,398.9188845,135.8347855,11.377683999999999,396.72554,120.6635585,-6.7738,387.77648899999997,134.229332,-28.657707000000002,382.001602,117.48099149999999,-45.056505,375.348114,106.165211,27.6008815,417.213791,104.42303849999999,-9.3942715,405.511124,96.23506549999999,-46.199289,396.907959
8,0.06666666666666667,137.184311,54.676979,414.156616,123.345207,34.509033,398.908417,135.832794,11.376348,396.720917,120.662224,-6.774292,387.779999,134.230972,-28.659426,382.003448,117.481255,-45.053818,375.347809,106.162514,27.599287,417.204407,104.423119,-9.390255,405.508942,96.234558,-46.19685,396.907227
9,0.075,137.18524150000002,54.676506,414.173569,123.34948349999999,34.515467,398.9137575,135.83596,11.3814955,396.7271575,120.6644135,-6.771623,387.7811125,134.23102599999999,-28.653123,382.0035705,117.4824335,-45.050794499999995,375.349701,106.166218,27.608468000000002,417.2166745,104.423576,-9.3875605,405.511505,96.23754500000001,-46.1936,396.9144745
11,0.09166666666666666,137.183075,54.680565,414.165344,123.351692,34.515415,398.909698,135.834915,11.385822,396.727722,120.66214,-6.768419,387.773193,134.227646,-28.653242,381.997559,117.481331,-45.050003,375.34903,106.165497,27.605854,417.211914,104.424774,-9.388017,405.513397,96.238297,-46.19241,396.918762
12,0.1,137.17974099999998,54.676818999999995,414.15083300000003,123.34667999999999,34.514454,398.9064485,135.8342365,11.3805455,396.722443,120.662426,-6.7699394999999996,387.7774965,134.2314225,-28.6534615,382.007202,117.471958,-45.046568,375.331863,106.16365049999999,27.605812,417.2060545,104.421856,-9.3911065,405.5114595,96.23466099999999,-46.191898,396.913681
14,0.11666666666666667,137.184265,54.672947,414.165985,123.347923,34.506783,398.906464,135.836182,11.380457,396.727692,120.660362,-6.774455,387.777863,134.229187,-28.656614,382.000305,117.476799,-45.052429,375.343536,106.16713,27.600683,417.219147,104.420624,-9.39305,405.508057,96.239464,-46.19577,396.919891
