Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,38.170457999999996,15.566095,416.502365,26.8069105,-3.5312585,398.458618,39.06238,-26.7709875,397.9229435,25.466320500000002,-44.197970999999995,385.6258395,39.486946,-66.029438,381.48405449999996,24.0070165,-81.742794,371.3351285,6.51329,-10.4212045,413.635529,6.227635,-47.066745499999996,400.1736145,-0.8178885,-83.3405455,388.9309535
2,0.016666666666666666,38.171093,15.565644,416.497772,26.807774,-3.529239,398.454712,39.062309,-26.77598,397.921661,25.468536,-44.203758,385.634247,39.486675,-66.031944,381.48233,24.00288,-81.740997,371.321045,6.511718,-10.422519,413.636749,6.227196,-47.070328,400.16568,-0.821466,-83.344238,388.937012
3,0.025,38.170347500000005,15.566949000000001,416.502396,26.805664,-3.5299139999999998,398.4497225,39.063719,-26.7733335,397.918335,25.4683675,-44.2010615,385.6323395,39.487114000000005,-66.03213500000001,381.483795,24.006241,-81.747566,371.3390655,6.5125165,-10.422038,413.6358035,6.2240055000000005,-47.0668985,400.179764,-0.818492,-83.338772,388.9272155
5,0.041666666666666664,38.17028,15.566195,416.498993,26.807451,-3.529869,398.457062,39.062645,-26.770971,397.920441,25.467249,-44.201061,385.631287,39.486008,-66.037689,381.490814,24.006128,-81.744156,371.345703,6.511435,-10.422361,413.637848,6.221715,-47.068233,400.187012,-0.821571,-83.344086,388.940979
6,0.05,38.173154999999994,15.5680155,416.5120085,26.807824,-3.530608,398.4550325,39.061321,-26.771071499999998,397.92269899999997,25.467351999999998,-44.203505,385.6367345,39.48531,-66.034359,381.488983,24.002748500000003,-81.748253,371.3417815,6.512342,-10.423660000000002,413.636505,6.2245805,-47.0704845,400.1736145,-0.823051,-83.341755,388.9337465
8,0.06666666666666667,38.169567,15.565976,416.505981,26.808376,-3.530531,398.461761,39.061119,-26.775417,397.918152,25.466059,-44.203323,385.631561,39.483406,-66.037766,381.492859,23.998962,-81.749741,371.333862,6.512648,-10.420463,413.633057,6.223112,-47.070618,400.175385,-0.825271,-83.346191,388.939667
9,0.075,38.1723425,15.566131500000001,416.50769049999997,26.807625,-3.5340285,398.45973200000003,39.062292,-26.7800705,397.9256745,25.4651595,-44.206149999999994,385.63327000000004,39.4832935,-66.037998,381.4924925,24.0008785,-81.7542345,371.3493805,6.5112315,-10.427194,413.63273649999996,6.2203800000000005,-47.0704555,400.175568,-0.824883,-83.344795,388.948212
11,0.09166666666666666,38.172802,15.567724,416.509827,26.804491,-3.531306,398.448669,39.06081,-26.77755,397.922577,25.463745,-44.207943,385.630676,39.480457,-66.045265,381.504089,23.997231,-81.760796,371.346039,6.511335,-10.422074,413.634888,6.22372,-47.073235,400.190735,-0.826912,-83.347549,388.954834
12,0.1,38.172173,15.5630045,416.503006,26.803753,-3.5349605,398.45091249999996,39.059473,-26.7815835,397.923782,25.462732000000003,-44.208803,385.636749,39.478607,-66.046585,381.501251,23.9961515,-81.760403,371.354111,6.510894,-10.424026,413.6347505,6.2187605,-47.07037,400.175995,-0.8292795,-83.3482515,388.9501495
14,0.11666666666666667,38.171932,15.566884,416.505615,26.803497,-3.535036,398.446503,39.061253,-26.78331,397.924377,25.461599,-44.214584,385.645294,39.47879,-66.047829,381.509399,23.992184,-81.759453,371.352356,6.511084,-10.423147,413.632935,6.217749,-47.075581,400.179871,-0.831073,-83.349014,388.956909
15,0.125,38.1714705,15.560811000000001,416.502243,26.8038285,-3.5360735,398.454254,39.060230000000004,-26.783300500000003,397.9265895,25.462342,-44.21395699999999,385.639374,39.476801,-66.0499455,381.505127,23.992510000000003,-81.7686195,371.35772699999995,6.511109,-10.425253999999999,413.6359405,6.217344000000001,-47.073629499999996,400.1839755,-0.831445,-83.350109,388.95849599999997
17,0.14166666666666666,38.171867,15.568324,416.503937,26.806793,-3.537158,398.457306,39.058449,-26.784405,397.924927,25.462122,-44.215279,385.643555,39.475224,-66.053055,381.50766,23.991459,-81.770554,371.356323,6.51097,-10.426982,413.639557,6.216536,-47.077579,400.18866,-0.833468,-83.350456,388.962219
18,0.15,38.170396499999995,15.561976,416.4937285,26.803891,-3.5374045,398.449936,39.0583115,-26.786443499999997,397.920334,25.459404499999998,-44.2154865,385.636673,39.475977,-66.0547335,381.5089725,23.99023,-81.7719115,371.360809,6.5101975,-10.426307000000001,413.6352085,6.2157824999999995,-47.0739745,400.186127,-0.8349865000000001,-83.350628,388.9618375
20,0.16666666666666666,38.168739,15.559832,416.487915,26.806234,-3.538797,398.458832,39.060688,-26.788109,397.927002,25.459826,-44.218113,385.650269,39.474415,-66.053566,381.51709,23.98904,-81.774437,371.364563,6.510151,-10.425258,413.638428,6.217953,-47.0755,400.187775,-0.835804,-83.354027,388.966705
21,0.175,38.170757,15.5625035,416.4999695,26.806398,-3.5401265,398.4555355,39.057712499999994,-26.7897435,397.93206799999996,25.459368,-44.2190495,385.64860550000003,39.4735395,-66.0562325,381.51661650000005,23.987407500000003,-81.77456649999999,371.365814,6.510987,-10.4267185,413.6372985,6.2147755,-47.077783499999995,400.1958465,-0.8360825000000001,-83.356907,388.9681395
23,0.19166666666666665,38.16991,15.560965,416.498566,26.805927,-3.542085,398.459351,39.058453,-26.788733,397.930389,25.457895,-44.222042,385.638184,39.4725,-66.058022,381.505432,23.986523,-81.772995,371.363403,6.510082,-10.426834,413.639954,6.215554,-47.081013,400.197113,-0.837098,-83.355591,388.968994
24,0.2,38.1716155,15.5588395,416.5102995,26.805478,-3.539393,398.45780950000005,39.057756499999996,-26.7889995,397.924423,25.458783,-44.219568499999994,385.6449435,39.4714565,-66.05802550000001,381.5184785,23.9859185,-81.77593999999999,371.367218,6.5098985,-10.426815999999999,413.6392515,6.2135035,-47.0772305,400.187454,-0.837659,-83.35734550000001,388.9702
26,0.21666666666666667,38.177189,15.563225,416.516357,26.806341,-3.541317,398.456207,39.058147,-26.790363,397.927917,25.458645,-44.222115,385.645172,39.473446,-66.060722,381.521484,23.986408,-81.777122,371.367249,6.510053,-10.428253,413.635223,6.216184,-47.07943,400.195007,-0.836495,-83.353432,388.968719
27,0.225,38.170429,15.5629885,416.50312799999995,26.804365500000003,-3.540501,398.4557645,39.0571705,-26.787736,397.926025,25.4586665,-44.219082,385.64482150000003,39.4732205,-66.056774,381.51829499999997,23.987145499999997,-81.77598950000001,371.370468,6.509186,-10.427814999999999,413.6345215,6.213521999999999,-47.078327,400.19827250000003,-0.8368800000000001,-83.351864,388.9649965
29,0.24166666666666667,38.171066,15.563264,416.499908,26.806973,-3.53691,398.453064,39.056438,-26.789965,397.923004,25.459824,-44.218918,385.642059,39.472313,-66.055504,381.514832,23.987528,-81.776825,371.366089,6.509077,-10.426141,413.629669,6.217435,-47.075443,400.195862,-0.836156,-83.351471,388.960571
30,0.25,38.171299000000005,15.5631305,416.5078585,26.8051825,-3.5420920000000002,398.4523925,39.059017,-26.7870085,397.9288175,25.4552505,-44.219137,385.6352845,39.473251000000005,-66.0575335,381.515549,23.988027000000002,-81.7742955,371.36546350000003,6.509926999999999,-10.428824500000001,413.6369935,6.216222,-47.0791205,400.187805,-0.836994,-83.35364150000001,388.969757
