Frame,Time,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z,Marker_5_X,Marker_5_Y,Marker_5_Z,Marker_6_X,Marker_6_Y,Marker_6_Z,Marker_7_X,Marker_7_Y,Marker_7_Z,Marker_8_X,Marker_8_Y,Marker_8_Z
0,0.0,48.825618500000004,30.604166,420.41294849999997,37.053696,10.055749,402.88723749999997,50.050009,-13.107638,402.0818485,36.0300275,-31.298885499999997,391.19458,50.5388435,-53.0415515,386.9145355,34.6573105,-69.5607335,378.517105,18.1148025,2.90827,419.267151,17.957739,-34.1001225,407.1987765,11.155233500000001,-71.03267650000001,397.9169005
2,0.016666666666666666,48.818935,30.602663,420.396759,37.047531,10.053843,402.876526,50.04961,-13.100801,402.088715,36.029606,-31.294987,391.193085,50.534637,-53.033203,386.904633,34.653957,-69.562874,378.515289,18.114948,2.902963,419.277588,17.957363,-34.099022,407.198578,11.154287,-71.031891,397.925995
3,0.025,48.818804,30.603980999999997,420.39970400000004,37.050995,10.0566685,402.8820645,50.048370500000004,-13.1050635,402.086853,36.0313245,-31.293136500000003,391.202408,50.53957,-53.0404245,386.9234925,34.656803,-69.5612485,378.51236,18.111637,2.908662,419.271713,17.956138000000003,-34.100170500000004,407.20223999999996,11.1547135,-71.03368,397.9217375
5,0.041666666666666664,48.824936,30.598276,420.420319,37.052914,10.059314,402.890839,50.05006,-13.104259,402.087677,36.030704,-31.299501,391.194458,50.541866,-53.039791,386.915771,34.662224,-69.562431,378.5271,18.108007,2.910088,419.259308,17.95681,-34.099747,407.197662,11.157882,-71.034088,397.925293
6,0.05,48.820389,30.6037035,420.40594450000003,37.0499285,10.056586,402.883011,50.048851,-13.1041965,402.0912325,36.0313895,-31.2944375,391.200836,50.5381165,-53.040892,386.913742,34.656707499999996,-69.55903599999999,378.513382,18.112682999999997,2.9050935,419.27639750000003,17.9567315,-34.0995805,407.195389,11.1546245,-71.032566,397.92129550000004
8,0.06666666666666667,48.823887,30.600735,420.416321,37.047245,10.053748,402.87442,50.048325,-13.113957,402.089813,36.028965,-31.294945,391.192688,50.539402,-53.042362,386.922974,34.659084,-69.566338,378.524902,18.111189,2.90537,419.259583,17.956652,-34.098801,407.197845,11.154709,-71.033226,397.92157
9,0.075,48.822849500000004,30.606091499999998,420.4018095,37.049032,10.057327,402.87847899999997,50.0505885,-13.1027605,402.086777,36.030634,-31.294159999999998,391.1938935,50.5408745,-53.0386065,386.91969300000005,34.658911,-69.55928800000001,378.517059,18.1143085,2.909045,419.257034,17.9575015,-34.099325,407.19726549999996,11.1578815,-71.031353,397.919983
11,0.09166666666666666,48.823071,30.602833,420.404663,37.053085,10.054727,402.886871,50.048923,-13.104252,402.086365,36.029488,-31.296722,391.193146,50.539787,-53.043705,386.913879,34.654942,-69.560089,378.509216,18.106588,2.905015,419.239838,17.95701,-34.098122,407.201721,11.155229,-71.035912,397.917603
12,0.1,48.821848,30.605461,420.41340649999995,37.0492095,10.0573885,402.8832855,50.047987,-13.104292999999998,402.08244349999995,36.0290375,-31.295913499999997,391.1966095,50.5390245,-53.0388985,386.917099,34.656374,-69.56086350000001,378.51806650000003,18.109710999999997,2.9112545,419.26290900000004,17.9566825,-34.0996685,407.1972965,11.1553735,-71.0333175,397.9265745
14,0.11666666666666667,48.821823,30.601217,420.410156,37.053989,10.054926,402.881897,50.051304,-13.106298,402.093872,36.035645,-31.293612,391.210266,50.541084,-53.04594,386.913788,34.660149,-69.561287,378.518677,18.110575,2.908655,419.268951,17.959276,-34.099655,407.203003,11.156812,-71.034958,397.920319
